entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q1183;Puerto Rico;названо в честь;1;6;to
Q47863;Midway Atoll;ISO 3166-1 цифровой;1;2;from
Q47863;Midway Atoll;категория на Викискладе;1;1;from
Q47863;Midway Atoll;ID отношения в OpenStreetMap;1;1;from
Q47863;Midway Atoll;часовой пояс;1;1;from
Q47863;Midway Atoll;код GACS;1;1;from
Q47863;Midway Atoll;код LoC and MARC;1;1;from
Q47863;Midway Atoll;FIPS 5-2 цифровой код (штат в США);1;1;from
Q47863;Midway Atoll;идентификатор местоположения ArchINFORM;1;1;from
Q47863;Midway Atoll;идентификатор таблицы данных Invasive Species Compendium;1;1;from
Q47863;Midway Atoll;дата основания/создания/возникновения;1;1;from
Q47863;Midway Atoll;код GNIS;1;1;from
Q47863;Midway Atoll;наивысшая точка;1;1;from
Q47863;Midway Atoll;географические координаты;1;2;from
Q47863;Midway Atoll;код Freebase;1;1;from
Q47863;Midway Atoll;максимальная температура;1;2;from
Q47863;Midway Atoll;Who's on First ID;1;1;from
Q47863;Midway Atoll;ISO 3166-2;1;1;from
Q47863;Midway Atoll;ISO 3166-1 alpha-3;1;2;from
Q123076;Palmyra Atoll;код US National Archives;1;1;from
Q47863;Midway Atoll;ISO 3166-1 alpha-2;1;2;from
Q47863;Midway Atoll;карта местонахождения;1;1;from
Q47863;Midway Atoll;код LCNAF;1;1;from
Q47863;Midway Atoll;это частный случай понятия;1;2;from
Q47863;Midway Atoll;изображение флага;1;1;from
Q47863;Midway Atoll;численность населения;1;7;from
Q47863;Midway Atoll;код US National Archives;1;1;from
Q47863;Midway Atoll;WOEID;1;1;from
Q47863;Midway Atoll;код в Большой каталанской энциклопедии;1;1;from
Q47863;Midway Atoll;код в энциклопедии «Британника онлайн»;1;1;from
Q47863;Midway Atoll;код GeoNames;1;2;from
Q47863;Midway Atoll;глубочайшая точка;1;1;from
Q47863;Midway Atoll;название на языке оригинала;1;1;from
Q47863;Midway Atoll;высота над уровнем моря;1;1;from
Q47863;Midway Atoll;площадь;1;1;from
Q47863;Midway Atoll;код в Большой российской энциклопедии онлайн;1;1;from
Q47863;Midway Atoll;код NKC;1;1;from
Q47863;Midway Atoll;находится в пределах природно-географического объекта;1;1;from
Q47863;Midway Atoll;минимум температуры;1;2;from
Q47863;Midway Atoll;ISO 3166-3;1;1;from
Q123076;Palmyra Atoll;описание флага;1;1;from
Q123076;Palmyra Atoll;государство;1;1;from
Q123076;Palmyra Atoll;изображение;1;1;from
Q123076;Palmyra Atoll;находится на берегу водоёма;1;1;from
Q123076;Palmyra Atoll;код VIAF;1;1;from
Q123076;Palmyra Atoll;код GND;1;1;from
Q123076;Palmyra Atoll;карта местонахождения;1;1;from
Q123076;Palmyra Atoll;код LCNAF;1;1;from
Q123076;Palmyra Atoll;часть света;1;1;from
Q123076;Palmyra Atoll;это частный случай понятия;1;2;from
Q123076;Palmyra Atoll;денежная единица;1;1;from
Q123076;Palmyra Atoll;изображение флага;1;1;from
Q123076;Palmyra Atoll;имеет границы с;1;1;from
Q123076;Palmyra Atoll;первооткрыватель или изобретатель;1;1;from
Q123076;Palmyra Atoll;десятичная классификация Дьюи;1;1;from
Q123076;Palmyra Atoll;названо в честь;1;1;from
Q123076;Palmyra Atoll;оператор;1;2;from
Q123076;Palmyra Atoll;административно-территориальная единица;1;23;to
Q47863;Midway Atoll;dmoz;1;1;from
Q47863;Midway Atoll;категория карт на Викискладе;1;1;from
Q47863;Midway Atoll;официальный сайт;1;1;from
Q47863;Midway Atoll;FIPS 6-4 (код округа в США);1;1;from
Q47863;Midway Atoll;FIPS 10-4 (страны и регионы);1;1;from
Q47863;Midway Atoll;основная категория по теме;1;1;from
Q47863;Midway Atoll;баннер Викигида;1;1;from
Q47863;Midway Atoll;место смерти;1;32;to
Q47863;Midway Atoll;история происходит в месте;1;2;to
Q47863;Midway Atoll;местонахождение;1;1;to
Q47863;Midway Atoll;состоит из;1;1;to
Q47863;Midway Atoll;основная тема;1;1;to
Q47863;Midway Atoll;категория объединяет темы;1;2;to
Q47863;Midway Atoll;общая тема категории;1;1;to
Q47863;Midway Atoll;административно делится на;1;1;to
Q47863;Midway Atoll;код VIAF;1;1;from
Q47863;Midway Atoll;находится на берегу водоёма;1;1;from
Q47863;Midway Atoll;изображение;1;1;from
Q43296;Wake Island;ISO 3166-2;1;1;from
Q43296;Wake Island;изображение флага;1;1;from
Q43296;Wake Island;изображение герба;1;1;from
Q43296;Wake Island;численность населения;1;4;from
Q43296;Wake Island;код US National Archives;1;1;from
Q43296;Wake Island;WOEID;1;1;from
Q43296;Wake Island;код в Большой каталанской энциклопедии;1;1;from
Q43296;Wake Island;на территорию претендует;1;1;from
Q43296;Wake Island;код в энциклопедии «Британника онлайн»;1;1;from
Q43296;Wake Island;статус наследия;1;4;from
Q43296;Wake Island;этнохороним;1;1;from
Q43296;Wake Island;код GeoNames;1;1;from
Q43296;Wake Island;глубочайшая точка;1;1;from
Q43296;Wake Island;подробная карта;1;1;from
Q43296;Wake Island;название на языке оригинала;1;1;from
Q43296;Wake Island;площадь;1;2;from
Q43296;Wake Island;это частный случай понятия;1;2;from
Q43296;Wake Island;карта местонахождения;1;1;from
Q43296;Wake Island;код GND;1;1;from
Q16641;American Samoa;страна происхождения;1;1;to
Q16641;American Samoa;основная тема портала Викимедиа;1;1;to
Q16641;American Samoa;находится в пределах природно-географического объекта;1;1;to
Q16641;American Samoa;местонахождение;1;7;to
Q16641;American Samoa;зона обслуживания;1;1;to
Q16641;American Samoa;тематически относится к;1;4;to
Q16641;American Samoa;расположение штаб-квартиры;1;1;to
Q16641;American Samoa;общая тема категории;1;1;to
Q43296;Wake Island;код VIAF;1;1;from
Q16641;American Samoa;является столицей;1;1;to
Q43296;Wake Island;административно-территориальная единица;1;2;to
Q43296;Wake Island;названо в честь;1;1;to
Q43296;Wake Island;государство;1;1;from
Q43296;Wake Island;изображение;1;1;from
Q43296;Wake Island;находится на берегу водоёма;1;1;from
Q43296;Wake Island;почтовый индекс;1;1;from
Q43296;Wake Island;находится в охранной зоне;1;2;from
Q47863;Midway Atoll;государство;1;1;from
Q43296;Wake Island;код темы Quora;1;1;from
Q43296;Wake Island;FIPS 10-4 (страны и регионы);1;1;from
Q43296;Wake Island;код SELIBR;1;1;from
Q43296;Wake Island;основная категория по теме;1;1;from
Q43296;Wake Island;галерея на Викискладе;1;1;from
Q43296;Wake Island;баннер Викигида;1;1;from
Q43296;Wake Island;местонахождение;1;3;to
Q43296;Wake Island;место смерти;1;2;to
Q43296;Wake Island;основная тема;1;2;to
Q43296;Wake Island;категория объединяет темы;1;2;to
Q43296;Wake Island;командовал;1;1;to
Q43296;Wake Island;общая тема категории;1;1;to
Q43296;Wake Island;административно делится на;1;1;to
Q47863;Midway Atoll;административно-территориальная единица;1;8;to
Q47863;Midway Atoll;оператор;1;1;from
Q47863;Midway Atoll;названо в честь;1;1;from
Q43296;Wake Island;FIPS 6-4 (код округа в США);1;1;from
Q43296;Wake Island;ключевое событие;1;17;from
Q43296;Wake Island;категория карт на Викискладе;1;1;from
Q43296;Wake Island;идентификатор таблицы данных Invasive Species Compendium;1;1;from
Q43296;Wake Island;категория на Викискладе;1;1;from
Q43296;Wake Island;часовой пояс;1;1;from
Q43296;Wake Island;код GACS;1;1;from
Q43296;Wake Island;код LoC and MARC;1;1;from
Q43296;Wake Island;FIPS 5-2 цифровой код (штат в США);1;1;from
Q43296;Wake Island;идентификатор местоположения ArchINFORM;1;1;from
Q43296;Wake Island;дата основания/создания/возникновения;1;1;from
Q43296;Wake Island;ISO 3166-3;1;1;from
Q43296;Wake Island;код GNIS;1;2;from
Q43296;Wake Island;наивысшая точка;1;1;from
Q43296;Wake Island;географические координаты;1;1;from
Q43296;Wake Island;код Freebase;1;1;from
Q43296;Wake Island;код NRHP;1;1;from
Q43296;Wake Island;находится в пределах природно-географического объекта;1;1;to
Q123076;Palmyra Atoll;численность населения;1;1;from
Q123076;Palmyra Atoll;WOEID;1;1;from
Q16641;American Samoa;место рождения;1;82;to
Q131008;Johnston Atoll;административно-территориальная единица;1;3;to
Q131008;Johnston Atoll;описание флага;1;1;from
Q131008;Johnston Atoll;государство;1;1;from
Q131008;Johnston Atoll;изображение;1;1;from
Q131008;Johnston Atoll;находится на берегу водоёма;1;1;from
Q131008;Johnston Atoll;код VIAF;1;1;from
Q131008;Johnston Atoll;карта местонахождения;1;1;from
Q131008;Johnston Atoll;код LCNAF;1;1;from
Q131008;Johnston Atoll;это частный случай понятия;1;4;from
Q131008;Johnston Atoll;изображение флага;1;1;from
Q131008;Johnston Atoll;изображение герба;1;1;from
Q131008;Johnston Atoll;численность населения;1;1;from
Q131008;Johnston Atoll;код US National Archives;1;1;from
Q131008;Johnston Atoll;WOEID;1;1;from
Q131008;Johnston Atoll;на территорию претендует;1;3;from
Q131008;Johnston Atoll;код в энциклопедии «Британника онлайн»;1;1;from
Q131008;Johnston Atoll;названо в честь;1;1;from
Q130895;Kingman Reef;административно делится на;1;1;to
Q123076;Palmyra Atoll;описывается в источниках;1;2;from
Q130895;Kingman Reef;общая тема категории;1;1;to
Q130895;Kingman Reef;наивысшая точка;1;1;from
Q130895;Kingman Reef;географические координаты;1;2;from
Q130895;Kingman Reef;код Freebase;1;1;from
Q130895;Kingman Reef;Who's on First ID;1;1;from
Q130895;Kingman Reef;находится в пределах природно-географического объекта;1;1;from
Q130895;Kingman Reef;категория карт на Викискладе;1;1;from
Q130895;Kingman Reef;ключевое событие;1;7;from
Q130895;Kingman Reef;WDPA;1;1;from
Q130895;Kingman Reef;категория защищённых зон МСОП;1;1;from
Q130895;Kingman Reef;FIPS 6-4 (код округа в США);1;1;from
Q130895;Kingman Reef;FIPS 10-4 (страны и регионы);1;1;from
Q130895;Kingman Reef;основная категория по теме;1;1;from
Q130895;Kingman Reef;пример использования свойства;1;1;to
Q130895;Kingman Reef;состоит из;1;1;to
Q130895;Kingman Reef;категория объединяет темы;1;1;to
Q131008;Johnston Atoll;код GeoNames;1;1;from
Q131008;Johnston Atoll;глубочайшая точка;1;1;from
Q131008;Johnston Atoll;код TGN;1;1;from
Q131008;Johnston Atoll;название на языке оригинала;1;1;from
Q131008;Johnston Atoll;находится в пределах природно-географического объекта;1;1;from
Q131008;Johnston Atoll;ISO 3166-3;1;1;from
Q131008;Johnston Atoll;категория карт на Викискладе;1;1;from
Q131008;Johnston Atoll;ключевое событие;1;8;from
Q131008;Johnston Atoll;WDPA;1;1;from
Q131008;Johnston Atoll;категория защищённых зон МСОП;1;1;from
Q131008;Johnston Atoll;FIPS 6-4 (код округа в США);1;1;from
Q131008;Johnston Atoll;FIPS 10-4 (страны и регионы);1;1;from
Q131008;Johnston Atoll;основная категория по теме;1;1;from
Q131008;Johnston Atoll;баннер Викигида;1;1;from
Q131008;Johnston Atoll;юрисдикция распространяется на;1;1;to
Q131008;Johnston Atoll;расположение штаб-квартиры;1;1;to
Q131008;Johnston Atoll;местонахождение;1;2;to
Q131008;Johnston Atoll;категория объединяет темы;1;1;to
Q131008;Johnston Atoll;общая тема категории;1;1;to
Q131008;Johnston Atoll;Who's on First ID;1;1;from
Q131008;Johnston Atoll;код Freebase;1;1;from
Q131008;Johnston Atoll;географические координаты;1;2;from
Q131008;Johnston Atoll;часть от;1;1;from
Q131008;Johnston Atoll;высота над уровнем моря;1;1;from
Q131008;Johnston Atoll;площадь;1;1;from
Q131008;Johnston Atoll;ISO 3166-1 alpha-2;1;2;from
Q131008;Johnston Atoll;ISO 3166-1 alpha-3;1;2;from
Q131008;Johnston Atoll;ISO 3166-1 цифровой;1;2;from
Q131008;Johnston Atoll;ISO 3166-2;1;1;from
Q131008;Johnston Atoll;категория на Викискладе;1;1;from
Q131008;Johnston Atoll;наивысшая точка;1;1;from
Q131008;Johnston Atoll;ID отношения в OpenStreetMap;1;1;from
Q131008;Johnston Atoll;часовой пояс;1;1;from
Q131008;Johnston Atoll;код LoC and MARC;1;1;from
Q131008;Johnston Atoll;FIPS 5-2 цифровой код (штат в США);1;1;from
Q131008;Johnston Atoll;дата основания/создания/возникновения;1;1;from
Q131008;Johnston Atoll;код GNIS;1;1;from
Q130895;Kingman Reef;код GNIS;1;1;from
Q130895;Kingman Reef;дата открытия;1;1;from
Q130895;Kingman Reef;дата основания/создания/возникновения;1;1;from
Q123076;Palmyra Atoll;FIPS 10-4 (страны и регионы);1;1;from
Q123076;Palmyra Atoll;часть от;1;1;from
Q123076;Palmyra Atoll;категория на Викискладе;1;1;from
Q123076;Palmyra Atoll;геоданные;1;1;from
Q123076;Palmyra Atoll;ID отношения в OpenStreetMap;1;1;from
Q123076;Palmyra Atoll;часовой пояс;1;2;from
Q123076;Palmyra Atoll;FIPS 5-2 цифровой код (штат в США);1;1;from
Q123076;Palmyra Atoll;дата основания/создания/возникновения;1;1;from
Q123076;Palmyra Atoll;дата открытия;1;1;from
Q123076;Palmyra Atoll;код GNIS;1;1;from
Q123076;Palmyra Atoll;географические координаты;1;1;from
Q123076;Palmyra Atoll;код Freebase;1;1;from
Q123076;Palmyra Atoll;Who's on First ID;1;1;from
Q123076;Palmyra Atoll;находится в пределах природно-географического объекта;1;1;to
Q123076;Palmyra Atoll;категория карт на Викискладе;1;1;from
Q123076;Palmyra Atoll;ключевое событие;1;4;from
Q123076;Palmyra Atoll;код темы Quora;1;1;from
Q123076;Palmyra Atoll;находится в охранной зоне;1;1;from
Q123076;Palmyra Atoll;ISO 3166-2;1;1;from
Q123076;Palmyra Atoll;изображение дорожного знака с названием населённого пункта;1;1;from
Q123076;Palmyra Atoll;код в энциклопедии «Британника онлайн»;1;1;from
Q123076;Palmyra Atoll;официальное название;1;1;from
Q123076;Palmyra Atoll;код GeoNames;1;1;from
Q123076;Palmyra Atoll;глубочайшая точка;1;1;from
Q123076;Palmyra Atoll;код TGN;1;1;from
Q123076;Palmyra Atoll;название на языке оригинала;1;1;from
Q123076;Palmyra Atoll;короткое название;1;1;from
Q123076;Palmyra Atoll;используемый язык;1;1;from
Q123076;Palmyra Atoll;высота над уровнем моря;1;1;from
Q123076;Palmyra Atoll;площадь;1;1;from
Q123076;Palmyra Atoll;код BabelNet;1;1;from
Q123076;Palmyra Atoll;код BNF;1;1;from
Q123076;Palmyra Atoll;тип электрического разъёма;1;2;from
Q123076;Palmyra Atoll;сетевое напряжение;1;1;from
Q123076;Palmyra Atoll;FIPS 6-4 (код округа в США);1;1;from
Q123076;Palmyra Atoll;основная категория по теме;1;1;from
Q130895;Kingman Reef;FIPS 5-2 цифровой код (штат в США);1;1;from
Q123076;Palmyra Atoll;баннер Викигида;1;1;from
Q130895;Kingman Reef;численность населения;1;1;from
Q130895;Kingman Reef;WOEID;1;1;from
Q130895;Kingman Reef;на территорию претендует;1;2;from
Q130895;Kingman Reef;код в энциклопедии «Британника онлайн»;1;1;from
Q130895;Kingman Reef;код GeoNames;1;1;from
Q130895;Kingman Reef;глубочайшая точка;1;1;from
Q130895;Kingman Reef;код TGN;1;1;from
Q130895;Kingman Reef;название на языке оригинала;1;1;from
Q130895;Kingman Reef;высота над уровнем моря;1;1;from
Q130895;Kingman Reef;площадь;1;1;from
Q130895;Kingman Reef;ISO 3166-2;1;1;from
Q130895;Kingman Reef;часть от;1;1;from
Q130895;Kingman Reef;категория на Викискладе;1;1;from
Q130895;Kingman Reef;ID отношения в OpenStreetMap;1;1;from
Q130895;Kingman Reef;часовой пояс;1;1;from
Q130895;Kingman Reef;первооткрыватель или изобретатель;1;1;from
Q130895;Kingman Reef;это частный случай понятия;1;3;from
Q130895;Kingman Reef;карта местонахождения;1;1;from
Q123076;Palmyra Atoll;общая тема категории;1;1;to
Q123076;Palmyra Atoll;место в MusicBrainz;1;1;from
Q123076;Palmyra Atoll;dmoz;1;1;from
Q123076;Palmyra Atoll;изображённый объект;1;2;to
Q123076;Palmyra Atoll;состоит из;1;1;to
Q123076;Palmyra Atoll;юрисдикция распространяется на;1;1;to
Q123076;Palmyra Atoll;категория объединяет темы;1;1;to
Q123076;Palmyra Atoll;административно делится на;1;1;to
Q130895;Kingman Reef;код VIAF;1;1;from
Q130895;Kingman Reef;административно-территориальная единица;1;1;from
Q130895;Kingman Reef;оператор;1;1;from
Q130895;Kingman Reef;названо в честь;1;1;from
Q130895;Kingman Reef;государство;1;1;from
Q130895;Kingman Reef;изображение;1;1;from
Q130895;Kingman Reef;находится на берегу водоёма;1;1;from
Q16641;American Samoa;история происходит в месте;1;4;to
Q16641;American Samoa;юрисдикция распространяется на;1;25;to
Q1183;Puerto Rico;административно делится на;1;78;from
Q1183;Puerto Rico;категория на Викискладе;1;1;from
Q1183;Puerto Rico;код Тезауруса ЮНЕСКО;1;1;from
Q1183;Puerto Rico;сабреддит;1;1;from
Q1183;Puerto Rico;ВВП (ППС);1;28;from
Q1183;Puerto Rico;ID отношения в OpenStreetMap;1;1;from
Q1183;Puerto Rico;код NLA;1;1;from
Q1183;Puerto Rico;святой покровитель;1;1;from
Q1183;Puerto Rico;часовой пояс;1;1;from
Q1183;Puerto Rico;код GACS;1;1;from
Q1183;Puerto Rico;произношение (звуковой файл);1;1;from
Q1183;Puerto Rico;основополагающий текст;1;1;from
Q1183;Puerto Rico;телефонный код страны;1;2;from
Q1183;Puerto Rico;код LoC and MARC;1;1;from
Q1183;Puerto Rico;код для сущности Wolfram Language;1;1;from
Q1183;Puerto Rico;суммарный коэффициент рождаемости;1;32;from
Q1183;Puerto Rico;идентификатор MeSH;1;1;from
Q1183;Puerto Rico;геоданные;1;1;from
Q1183;Puerto Rico;идентификатор темы Le Monde diplomatique;1;1;from
Q1183;Puerto Rico;гражданство;1;1222;to
