entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q49172136;Q49172136;административно-территориальная единица;1;1;from
Q32209723;Goose Neck;высота над уровнем моря;1;1;from
Q23982384;Istmo de la Pared;это частный случай понятия;1;1;from
Q23982384;Istmo de la Pared;код GeoNames;1;1;from
Q23982384;Istmo de la Pared;код GNS;1;1;from
Q23982384;Istmo de la Pared;географические координаты;1;1;from
Q24349687;Q24349687;государство;1;1;from
Q24349687;Q24349687;это частный случай понятия;1;1;from
Q24349687;Q24349687;код GeoNames;1;1;from
Q24349687;Q24349687;код GNS;1;1;from
Q24349687;Q24349687;географические координаты;1;1;from
Q24695097;La Coupée;административно-территориальная единица;1;1;from
Q24695097;La Coupée;государство;1;1;from
Q24695097;La Coupée;это частный случай понятия;1;1;from
Q24695097;La Coupée;код GeoNames;1;1;from
Q24695097;La Coupée;код GNS;1;1;from
Q24695097;La Coupée;географические координаты;1;1;from
Q24695097;La Coupée;находится в пределах природно-географического объекта;1;1;from
Q25660758;Piripaua;государство;1;1;from
Q25660758;Piripaua;это частный случай понятия;1;1;from
Q25660758;Piripaua;код GeoNames;1;1;from
Q25660758;Piripaua;New Zealand Gazetteer place ID;1;1;from
Q25660758;Piripaua;географические координаты;1;1;from
Q23982384;Istmo de la Pared;государство;1;1;from
Q23982384;Istmo de la Pared;административно-территориальная единица;1;1;from
Q23937298;El Istmo;географические координаты;1;1;from
Q23875731;Istmo de Perry;государство;1;1;from
Q23746460;El Atrocho;географические координаты;1;1;from
Q23748890;Drejet;административно-территориальная единица;1;1;from
Q23748890;Drejet;государство;1;1;from
Q23748890;Drejet;это частный случай понятия;1;1;from
Q23748890;Drejet;код GeoNames;1;1;from
Q23748890;Drejet;высота над уровнем моря;1;1;from
Q23748890;Drejet;код GNS;1;1;from
Q23748890;Drejet;географические координаты;1;1;from
Q23875731;Istmo de Perry;административно-территориальная единица;1;1;from
Q23875731;Istmo de Perry;это частный случай понятия;1;1;from
Q23937298;El Istmo;код GNS;1;1;from
Q23875731;Istmo de Perry;код GeoNames;1;1;from
Q23875731;Istmo de Perry;высота над уровнем моря;1;1;from
Q23875731;Istmo de Perry;код GNS;1;1;from
Q23875731;Istmo de Perry;географические координаты;1;1;from
Q23937298;El Istmo;административно-территориальная единица;1;1;from
Q23937298;El Istmo;государство;1;1;from
Q23937298;El Istmo;это частный случай понятия;1;1;from
Q23937298;El Istmo;код GeoNames;1;1;from
Q23937298;El Istmo;высота над уровнем моря;1;1;from
Q27015254;Q27015254;административно-территориальная единица;1;1;from
Q27015254;Q27015254;государство;1;1;from
Q27015254;Q27015254;код VIAF;1;1;from
Q31925548;Istmo de Auyaca;географические координаты;1;1;from
Q31919534;Haulover;это частный случай понятия;1;1;from
Q31919534;Haulover;код GeoNames;1;1;from
Q31919534;Haulover;высота над уровнем моря;1;1;from
Q31919534;Haulover;код GNIS;1;1;from
Q31919534;Haulover;географические координаты;1;1;from
Q31925548;Istmo de Auyaca;государство;1;1;from
Q31925548;Istmo de Auyaca;это частный случай понятия;1;1;from
Q31925548;Istmo de Auyaca;код GeoNames;1;1;from
Q31925548;Istmo de Auyaca;код GNS;1;1;from
Q32137284;Mittel Vilm;административно-территориальная единица;1;1;from
Q31919534;Haulover;административно-территориальная единица;1;1;from
Q32137284;Mittel Vilm;государство;1;1;from
Q32137284;Mittel Vilm;это частный случай понятия;1;2;from
Q32137284;Mittel Vilm;код GeoNames;1;1;from
Q32137284;Mittel Vilm;высота над уровнем моря;1;1;from
Q32137284;Mittel Vilm;код GNS;1;1;from
Q32137284;Mittel Vilm;географические координаты;1;2;from
Q32137284;Mittel Vilm;находится в пределах природно-географического объекта;1;1;from
Q32209723;Goose Neck;государство;1;1;from
Q32209723;Goose Neck;это частный случай понятия;1;1;from
Q31919534;Haulover;государство;1;1;from
Q31880155;Bhanga Nek;географические координаты;1;1;from
Q27015254;Q27015254;это частный случай понятия;1;1;from
Q31471179;Pitas Neck;административно-территориальная единица;1;1;from
Q27015254;Q27015254;код GeoNames;1;1;from
Q27015254;Q27015254;код GNS;1;1;from
Q27015254;Q27015254;географические координаты;1;1;from
Q29100895;Q29100895;административно-территориальная единица;1;1;from
Q29100895;Q29100895;государство;1;1;from
Q29100895;Q29100895;это частный случай понятия;1;1;from
Q29100895;Q29100895;код GeoNames;1;1;from
Q29100895;Q29100895;код GNS;1;1;from
Q29100895;Q29100895;географические координаты;1;1;from
Q31471179;Pitas Neck;государство;1;1;from
Q31880155;Bhanga Nek;код GNS;1;1;from
Q31471179;Pitas Neck;это частный случай понятия;1;1;from
Q31471179;Pitas Neck;код GeoNames;1;1;from
Q31471179;Pitas Neck;код GNS;1;1;from
Q31471179;Pitas Neck;географические координаты;1;1;from
Q31880155;Bhanga Nek;административно-территориальная единица;1;1;from
Q31880155;Bhanga Nek;государство;1;1;from
Q31880155;Bhanga Nek;это частный случай понятия;1;1;from
Q31880155;Bhanga Nek;код GeoNames;1;1;from
Q31880155;Bhanga Nek;высота над уровнем моря;1;1;from
Q23746460;El Atrocho;код GNS;1;1;from
Q23746460;El Atrocho;высота над уровнем моря;1;1;from
Q23746460;El Atrocho;код GeoNames;1;1;from
Q21896330;Narrowneck;высота над уровнем моря;1;1;from
Q21895767;East Neck;это частный случай понятия;1;1;from
Q21895767;East Neck;код GeoNames;1;1;from
Q21895767;East Neck;высота над уровнем моря;1;1;from
Q21895767;East Neck;код GNS;1;1;from
Q21895767;East Neck;географические координаты;1;1;from
Q21896330;Narrowneck;административно-территориальная единица;1;1;from
Q21896330;Narrowneck;государство;1;1;from
Q21896330;Narrowneck;это частный случай понятия;1;1;from
Q21896330;Narrowneck;код GeoNames;1;1;from
Q21896330;Narrowneck;код GNS;1;1;from
Q21895767;East Neck;административно-территориальная единица;1;1;from
Q21896330;Narrowneck;географические координаты;1;1;from
Q21923897;The Narrows;административно-территориальная единица;1;1;from
Q21923897;The Narrows;государство;1;1;from
Q21923897;The Narrows;это частный случай понятия;1;1;from
Q21923897;The Narrows;код GeoNames;1;1;from
Q21923897;The Narrows;высота над уровнем моря;1;1;from
Q21923897;The Narrows;код GNS;1;1;from
Q21923897;The Narrows;географические координаты;1;1;from
Q22461864;Istmo Riavel;административно-территориальная единица;1;1;from
Q21895767;East Neck;государство;1;1;from
Q21054277;Q21054277;географические координаты;1;1;from
Q22461864;Istmo Riavel;это частный случай понятия;1;1;from
Q20925750;Q20925750;код GeoNames;1;1;from
Q17775376;Q17775376;находится в пределах природно-географического объекта;1;1;from
Q20619897;Q20619897;административно-территориальная единица;1;1;from
Q20619897;Q20619897;государство;1;1;from
Q20619897;Q20619897;это частный случай понятия;1;1;from
Q20619897;Q20619897;код GeoNames;1;1;from
Q20619897;Q20619897;код GNS;1;1;from
Q20619897;Q20619897;географические координаты;1;1;from
Q20925750;Q20925750;государство;1;1;from
Q20925750;Q20925750;это частный случай понятия;1;1;from
Q20925750;Q20925750;высота над уровнем моря;1;1;from
Q21054277;Q21054277;код GNS;1;1;from
Q20925750;Q20925750;код GNS;1;1;from
Q20925750;Q20925750;географические координаты;1;1;from
Q20971094;Q20971094;это частный случай понятия;1;1;from
Q20971094;Q20971094;географические координаты;1;1;from
Q21054277;Q21054277;административно-территориальная единица;1;1;from
Q21054277;Q21054277;государство;1;1;from
Q21054277;Q21054277;это частный случай понятия;1;1;from
