entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q21582888;Q21582888;государство;1;1;from
Q27571395;Q27571395;государство;1;1;from
Q27569545;Q27569545;государство;1;1;from
Q27569545;Q27569545;это частный случай понятия;1;1;from
Q27569545;Q27569545;код GeoNames;1;1;from
Q27569545;Q27569545;код GNS;1;1;from
Q27569545;Q27569545;географические координаты;1;1;from
Q27571395;Q27571395;административно-территориальная единица;1;1;from
Q27571395;Q27571395;это частный случай понятия;1;1;from
Q27571627;Bobutovi Dolovi;код GNS;1;1;from
Q27571395;Q27571395;код GeoNames;1;1;from
Q27571395;Q27571395;код GNS;1;1;from
Q27571395;Q27571395;географические координаты;1;1;from
Q27571627;Bobutovi Dolovi;административно-территориальная единица;1;1;from
Q27571627;Bobutovi Dolovi;государство;1;1;from
Q27571627;Bobutovi Dolovi;это частный случай понятия;1;1;from
Q27569545;Q27569545;административно-территориальная единица;1;1;from
Q27568641;Meki Doli;географические координаты;1;1;from
Q27568641;Meki Doli;код GNS;1;1;from
Q27568641;Meki Doli;код GeoNames;1;1;from
Q27568641;Meki Doli;это частный случай понятия;1;1;from
Q27568641;Meki Doli;государство;1;1;from
Q27568641;Meki Doli;административно-территориальная единица;1;1;from
Q27568418;Q27568418;географические координаты;1;1;from
Q27568418;Q27568418;код GNS;1;1;from
Q27568418;Q27568418;код GeoNames;1;1;from
Q27568418;Q27568418;это частный случай понятия;1;1;from
Q27568418;Q27568418;государство;1;1;from
Q27568418;Q27568418;административно-территориальная единица;1;1;from
Q27568266;Bautina;географические координаты;1;1;from
Q27568266;Bautina;код GNS;1;1;from
Q27568266;Bautina;код GeoNames;1;1;from
Q27568266;Bautina;это частный случай понятия;1;1;from
Q27571627;Bobutovi Dolovi;код GeoNames;1;1;from
Q27571627;Bobutovi Dolovi;географические координаты;1;1;from
Q21739252;Donji Dabio;код GeoNames;1;1;from
Q31925887;Brdo;географические координаты;1;1;from
Q31925887;Brdo;административно-территориальная единица;1;1;from
Q31925887;Brdo;государство;1;1;from
Q31925887;Brdo;это частный случай понятия;1;1;from
Q31925887;Brdo;код GeoNames;1;1;from
Q31925887;Brdo;высота над уровнем моря;1;1;from
Q31925887;Brdo;код GNS;1;1;from
Q49297855;Q49297855;административно-территориальная единица;1;1;from
Q27571647;Q27571647;административно-территориальная единица;1;1;from
Q49297855;Q49297855;государство;1;1;from
Q49297855;Q49297855;это частный случай понятия;1;1;from
Q49297855;Q49297855;код GeoNames;1;1;from
Q49297855;Q49297855;код GNS;1;1;from
Q49297855;Q49297855;географические координаты;1;1;from
Q49297856;Q49297856;административно-территориальная единица;1;1;from
Q31883287;Androv Krš;географические координаты;1;1;from
Q31883287;Androv Krš;код GNS;1;1;from
Q31883287;Androv Krš;высота над уровнем моря;1;1;from
Q31883287;Androv Krš;код GeoNames;1;1;from
Q31883287;Androv Krš;это частный случай понятия;1;1;from
Q31883287;Androv Krš;государство;1;1;from
Q31883287;Androv Krš;административно-территориальная единица;1;1;from
Q29105620;Dayat Lmelh;географические координаты;1;1;from
Q29105620;Dayat Lmelh;код GNS;1;1;from
Q29105620;Dayat Lmelh;код GeoNames;1;1;from
Q29105620;Dayat Lmelh;это частный случай понятия;1;1;from
Q29105620;Dayat Lmelh;государство;1;1;from
Q27571647;Q27571647;географические координаты;1;1;from
Q27571647;Q27571647;код GNS;1;1;from
Q27571647;Q27571647;код GeoNames;1;1;from
Q27571647;Q27571647;это частный случай понятия;1;1;from
Q27571647;Q27571647;государство;1;1;from
Q27568266;Bautina;государство;1;1;from
Q27568266;Bautina;административно-территориальная единица;1;1;from
Q27568232;Q27568232;географические координаты;1;1;from
Q27566951;Q27566951;код GNS;1;1;from
Q27566937;Q27566937;код GNS;1;1;from
Q27566937;Q27566937;географические координаты;1;1;from
Q27566951;Q27566951;административно-территориальная единица;1;1;from
Q27566951;Q27566951;государство;1;1;from
Q27566951;Q27566951;это частный случай понятия;1;1;from
Q27566951;Q27566951;код GeoNames;1;1;from
Q27566951;Q27566951;географические координаты;1;1;from
Q27568232;Q27568232;код GNS;1;1;from
Q27567388;Pulove Rupe;административно-территориальная единица;1;1;from
Q27567388;Pulove Rupe;государство;1;1;from
Q27567388;Pulove Rupe;это частный случай понятия;1;1;from
Q27567388;Pulove Rupe;код GeoNames;1;1;from
Q27567388;Pulove Rupe;код GNS;1;1;from
Q27567388;Pulove Rupe;географические координаты;1;1;from
Q27566937;Q27566937;код GeoNames;1;1;from
Q27566937;Q27566937;это частный случай понятия;1;1;from
Q27566937;Q27566937;государство;1;1;from
Q27566937;Q27566937;административно-территориальная единица;1;1;from
Q27566902;Q27566902;географические координаты;1;1;from
Q27566902;Q27566902;код GNS;1;1;from
Q27566902;Q27566902;код GeoNames;1;1;from
