entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q2133154;Raufarhólshellir;административно-территориальная единица;1;1;from
Q49298361;Half Mile Tube;географические координаты;1;1;from
Q49298507;Saddle Butte Lava Tube;государство;1;1;from
Q49298507;Saddle Butte Lava Tube;административно-территориальная единица;1;1;from
Q49298504;Porcupine Lava Tube;географические координаты;1;1;from
Q49298504;Porcupine Lava Tube;код GNIS;1;1;from
Q49298504;Porcupine Lava Tube;код GeoNames;1;1;from
Q49298504;Porcupine Lava Tube;это частный случай понятия;1;1;from
Q49298504;Porcupine Lava Tube;государство;1;1;from
Q49298504;Porcupine Lava Tube;административно-территориальная единица;1;1;from
Q49298361;Half Mile Tube;код GNIS;1;1;from
Q49298507;Saddle Butte Lava Tube;код GeoNames;1;1;from
Q49298361;Half Mile Tube;код GeoNames;1;1;from
Q49298361;Half Mile Tube;это частный случай понятия;1;1;from
Q49298361;Half Mile Tube;государство;1;1;from
Q49298361;Half Mile Tube;административно-территориальная единица;1;1;from
Q16324533;Martian lava tube;на астрономическом теле;1;1;from
Q16324533;Martian lava tube;категория на Викискладе;1;1;from
Q16324533;Martian lava tube;подкласс от;1;1;from
Q16324533;Martian lava tube;это частный случай понятия;1;1;from
Q49298507;Saddle Butte Lava Tube;это частный случай понятия;1;1;from
Q49298507;Saddle Butte Lava Tube;код GNIS;1;1;from
Q14711802;Mammoth Cave (Utah);находится в пределах природно-географического объекта;1;1;from
Q69623908;Skull Cave;часть света;1;1;from
Q69623908;Skull Cave;названо в честь;1;1;to
Q69623908;Skull Cave;географические координаты;1;1;from
Q69623908;Skull Cave;изображение интерьера;1;1;from
Q69623908;Skull Cave;eBird hotspot ID;1;1;from
Q69623908;Skull Cave;категория на Викискладе;1;1;from
Q69623908;Skull Cave;находится в охранной зоне;1;1;from
Q69623908;Skull Cave;название на языке оригинала;1;1;from
Q69623908;Skull Cave;это частный случай понятия;1;2;from
Q69623908;Skull Cave;изображение;1;1;from
Q49298507;Saddle Butte Lava Tube;географические координаты;1;1;from
Q69623908;Skull Cave;государство;1;1;from
Q69623908;Skull Cave;административно-территориальная единица;1;1;from
Q51390009;Fugaku Wind Cave;географические координаты;1;1;from
Q51390009;Fugaku Wind Cave;категория на Викискладе;1;1;from
Q51390009;Fugaku Wind Cave;код GeoNames;1;1;from
Q51390009;Fugaku Wind Cave;это частный случай понятия;1;1;from
Q51390009;Fugaku Wind Cave;изображение;1;1;from
Q51390009;Fugaku Wind Cave;государство;1;1;from
Q16324533;Martian lava tube;изображение;1;2;from
Q14711802;Mammoth Cave (Utah);географические координаты;1;1;from
Q2133154;Raufarhólshellir;государство;1;1;from
Q3542167;Thurston Lava Tube;государство;1;1;from
Q5089381;Cheese Cave;государство;1;1;from
Q3542167;Thurston Lava Tube;географические координаты;1;1;from
Q3542167;Thurston Lava Tube;категория на Викискладе;1;1;from
Q3542167;Thurston Lava Tube;код TGN;1;1;from
Q3542167;Thurston Lava Tube;код GeoNames;1;1;from
Q3542167;Thurston Lava Tube;код в энциклопедии «Британника онлайн»;1;1;from
Q3542167;Thurston Lava Tube;это частный случай понятия;1;1;from
Q3542167;Thurston Lava Tube;изображение;1;1;from
Q3542167;Thurston Lava Tube;названо в честь;1;1;from
Q5089381;Cheese Cave;дата открытия;1;1;from
Q3542167;Thurston Lava Tube;административно-территориальная единица;1;1;from
Q3303757;Tunnel de la Atlantida;код Freebase;1;1;from
Q3303757;Tunnel de la Atlantida;это частный случай понятия;1;1;from
Q3303757;Tunnel de la Atlantida;государство;1;1;from
Q2133154;Raufarhólshellir;географические координаты;1;1;from
Q2133154;Raufarhólshellir;категория на Викискладе;1;1;from
Q2133154;Raufarhólshellir;код GeoNames;1;1;from
Q2133154;Raufarhólshellir;это частный случай понятия;1;1;from
Q5089381;Cheese Cave;это частный случай понятия;1;1;from
Q5089381;Cheese Cave;географические координаты;1;1;from
Q14711802;Mammoth Cave (Utah);категория на Викискладе;1;1;from
Q11016228;Q11016228;административно-территориальная единица;1;1;from
Q14711802;Mammoth Cave (Utah);находится в охранной зоне;1;1;from
Q14711802;Mammoth Cave (Utah);это частный случай понятия;1;2;from
Q14711802;Mammoth Cave (Utah);изображение;1;1;from
Q14711802;Mammoth Cave (Utah);государство;1;1;from
Q14711802;Mammoth Cave (Utah);административно-территориальная единица;1;1;from
Q11016228;Q11016228;географические координаты;1;1;from
Q11016228;Q11016228;это частный случай понятия;1;1;from
Q11016228;Q11016228;государство;1;1;from
Q6502213;Lava River Cave;Atlas Obscura identifier;1;1;from
Q5905493;Horse Lava Tube System;административно-территориальная единица;1;1;from
Q6502213;Lava River Cave;географические координаты;1;1;from
Q6502213;Lava River Cave;находится в охранной зоне;1;1;from
Q6502213;Lava River Cave;это частный случай понятия;1;1;from
Q6502213;Lava River Cave;государство;1;1;from
Q6502213;Lava River Cave;административно-территориальная единица;1;1;from
Q5905493;Horse Lava Tube System;географические координаты;1;1;from
Q5905493;Horse Lava Tube System;это частный случай понятия;1;1;from
Q5905493;Horse Lava Tube System;государство;1;1;from
Q69623908;Skull Cave;местонахождение;1;1;to
