entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q165688;Municipality of Leichhardt;административно-территориальная единица;1;1;to
Q7830074;Town of Roma;географические координаты;1;1;from
Q7830076;Town of Tennant Creek;государство;1;1;from
Q7830076;Town of Tennant Creek;изображение;1;1;from
Q7830076;Town of Tennant Creek;это частный случай понятия;1;2;from
Q7830076;Town of Tennant Creek;дата основания/создания/возникновения;1;1;from
Q7830076;Town of Tennant Creek;географические координаты;1;1;from
Q8039441;Wyaldra Shire;государство;1;1;from
Q8039441;Wyaldra Shire;это частный случай понятия;1;1;from
Q8049585;Yarrowlumla Shire;государство;1;1;from
Q8049585;Yarrowlumla Shire;это частный случай понятия;1;1;from
Q8049585;Yarrowlumla Shire;заменил;1;1;to
Q14935557;Shire of Allora;административно-территориальная единица;1;1;from
Q14935557;Shire of Allora;государство;1;1;from
Q14935557;Shire of Allora;это частный случай понятия;1;1;from
Q14935557;Shire of Allora;географические координаты;1;1;from
Q16253016;Ballandean Division;административно-территориальная единица;1;1;from
Q16253016;Ballandean Division;государство;1;1;from
Q16253016;Ballandean Division;это частный случай понятия;1;1;from
Q16255173;Boolooroo Shire;государство;1;1;from
Q16255173;Boolooroo Shire;это частный случай понятия;1;1;from
Q16892749;Ithaca Division;административно-территориальная единица;1;1;from
Q16892749;Ithaca Division;государство;1;1;from
Q16892749;Ithaca Division;это частный случай понятия;1;1;from
Q16892749;Ithaca Division;географические координаты;1;1;from
Q16893217;Kedron Division;административно-территориальная единица;1;1;from
Q16893217;Kedron Division;государство;1;1;from
Q16893217;Kedron Division;это частный случай понятия;1;1;from
Q16893217;Kedron Division;географические координаты;1;1;from
Q16895884;Nogoa Division;административно-территориальная единица;1;1;from
Q16895884;Nogoa Division;государство;1;1;from
Q7830076;Town of Tennant Creek;административно-территориальная единица;1;1;from
Q7830074;Town of Roma;это частный случай понятия;1;2;from
Q16895884;Nogoa Division;географические координаты;1;1;from
Q7830074;Town of Roma;государство;1;1;from
Q7498523;Shire of Woocoo;это частный случай понятия;1;1;from
Q7498523;Shire of Woocoo;дата основания/создания/возникновения;1;1;from
Q7498523;Shire of Woocoo;географические координаты;1;1;from
Q7498524;Shire of Woongarra;административно-территориальная единица;1;1;from
Q7498524;Shire of Woongarra;государство;1;1;from
Q7498524;Shire of Woongarra;это частный случай понятия;1;1;from
Q7498524;Shire of Woongarra;категория на Викискладе;1;1;from
Q7498524;Shire of Woongarra;географические координаты;1;1;from
Q7498530;Shire of Yeerongpilly;административно-территориальная единица;1;1;from
Q7498530;Shire of Yeerongpilly;государство;1;1;from
Q7498530;Shire of Yeerongpilly;это частный случай понятия;1;1;from
Q7498530;Shire of Yeerongpilly;географические координаты;1;1;from
Q7830062;Town of Goondiwindi;административно-территориальная единица;1;1;from
Q7830062;Town of Goondiwindi;государство;1;1;from
Q7830062;Town of Goondiwindi;это частный случай понятия;1;1;from
Q7830063;Town of Ithaca;административно-территориальная единица;1;1;from
