entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q25172061;Loch Dochard;административно-территориальная единица;1;1;from
Q3257691;Q3257691;административно-территориальная единица;1;1;from
Q3257708;Loch Nevis;государство;1;1;from
Q3257708;Loch Nevis;административно-территориальная единица;1;1;from
Q3257703;Loch Hourn;Gazetteer for Scotland place ID;1;2;from
Q3257703;Loch Hourn;географические координаты;1;1;from
Q3257703;Loch Hourn;категория на Викискладе;1;1;from
Q3257703;Loch Hourn;код GeoNames;1;1;from
Q3257703;Loch Hourn;это частный случай понятия;1;1;from
Q3257703;Loch Hourn;код VIAF;1;1;from
Q3257703;Loch Hourn;государство;1;1;from
Q3257703;Loch Hourn;административно-территориальная единица;1;1;from
Q3257691;Q3257691;географические координаты;1;1;from
Q3257691;Q3257691;это частный случай понятия;1;1;from
Q3257691;Q3257691;государство;1;1;from
Q2770104;Loch Nedd;географические координаты;1;1;from
Q2682750;Loch Carron;Gazetteer for Scotland place ID;1;2;from
Q2770104;Loch Nedd;категория на Викискладе;1;1;from
Q2770104;Loch Nedd;местонахождение;1;2;from
Q2770104;Loch Nedd;это частный случай понятия;1;1;from
Q2770104;Loch Nedd;государство;1;1;from
Q2770104;Loch Nedd;административно-территориальная единица;1;1;from
Q2750704;Loch Goil;основная тема;1;1;to
Q2750704;Loch Goil;изображённый объект;1;1;to
Q2750704;Loch Goil;Gazetteer for Scotland place ID;1;2;from
Q2750704;Loch Goil;географические координаты;1;1;from
Q2750704;Loch Goil;категория на Викискладе;1;1;from
Q2750704;Loch Goil;код GeoNames;1;1;from
Q2750704;Loch Goil;это частный случай понятия;1;1;from
Q2750704;Loch Goil;государство;1;1;from
Q3257708;Loch Nevis;это частный случай понятия;1;1;from
Q3257708;Loch Nevis;код GeoNames;1;1;from
Q3257708;Loch Nevis;категория на Викискладе;1;1;from
Q3257708;Loch Nevis;географические координаты;1;1;from
Q3777117;Portmore Lough;UK Lakes Portal ID;1;1;from
Q3777117;Portmore Lough;географические координаты;1;1;from
Q3777117;Portmore Lough;это частный случай понятия;1;1;from
Q3777117;Portmore Lough;государство;1;1;from
Q3676049;Loch Lubnaig;UK Lakes Portal ID;1;1;from
Q3676049;Loch Lubnaig;Gazetteer for Scotland place ID;1;2;from
Q3676049;Loch Lubnaig;географические координаты;1;1;from
Q3676049;Loch Lubnaig;категория на Викискладе;1;1;from
Q3676049;Loch Lubnaig;длина;1;1;from
Q3676049;Loch Lubnaig;код GeoNames;1;1;from
Q3676049;Loch Lubnaig;это частный случай понятия;1;1;from
Q3676049;Loch Lubnaig;бассейн объекта в странах;1;1;from
