entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q239736;Freiberg Mining Field;административно-территориальная единица;1;1;from
Q3107771;Q3107771;административно-территориальная единица;1;2;from
Q3141276;Vosges and Jura coal mining basins;это частный случай понятия;1;1;from
Q3141276;Vosges and Jura coal mining basins;карта местонахождения;1;1;from
Q3141276;Vosges and Jura coal mining basins;изображение;1;1;from
Q3141276;Vosges and Jura coal mining basins;государство;1;1;from
Q3107771;Q3107771;географические координаты;1;1;from
Q3107771;Q3107771;это частный случай понятия;1;1;from
Q3107771;Q3107771;государство;1;1;from
Q2674185;Q2674185;это частный случай понятия;1;1;from
Q5793725;Palentina mining basin;изображение;1;1;from
Q2674185;Q2674185;государство;1;1;from
Q2674185;Q2674185;административно-территориальная единица;1;1;from
Q2595277;Q2595277;часть от;1;1;from
Q2595277;Q2595277;это частный случай понятия;1;1;from
Q2595277;Q2595277;государство;1;1;from
Q2595277;Q2595277;названо в честь;1;1;from
Q2363919;Iron ore area of South Aldan;это частный случай понятия;1;1;from
Q3141276;Vosges and Jura coal mining basins;категория на Викискладе;1;1;from
Q3141276;Vosges and Jura coal mining basins;основная категория по теме;1;1;from
Q3141276;Vosges and Jura coal mining basins;общая тема категории;1;1;to
Q4868361;Bastnäs;административно-территориальная единица;1;1;from
Q5793725;Palentina mining basin;административно-территориальная единица;1;1;from
Q5430030;Fairbanks mining district;географические координаты;1;1;from
Q5430030;Fairbanks mining district;это частный случай понятия;1;1;from
Q5430030;Fairbanks mining district;государство;1;1;from
Q5430030;Fairbanks mining district;административно-территориальная единица;1;1;from
Q5148842;Colorado Mineral Belt;часть от;1;9;to
Q5148842;Colorado Mineral Belt;это частный случай понятия;1;1;from
Q5148842;Colorado Mineral Belt;государство;1;1;from
Q5148842;Colorado Mineral Belt;административно-территориальная единица;1;1;from
Q4868361;Bastnäs;типовая местность (геология);1;9;to
Q4868361;Bastnäs;названо в честь;1;2;to
Q4868361;Bastnäs;Microsoft Academic ID;1;1;from
Q4868361;Bastnäs;географические координаты;1;1;from
Q4868361;Bastnäs;это частный случай понятия;1;1;from
Q4868361;Bastnäs;государство;1;1;from
Q2363919;Iron ore area of South Aldan;государство;1;1;from
Q2363919;Iron ore area of South Aldan;административно-территориальная единица;1;1;from
Q2147825;Rhenish lignite mining area;общая тема категории;1;1;to
Q1945612;Ore Mountain Mining Region;официальный сайт;1;1;from
Q1945612;Ore Mountain Mining Region;географические координаты;1;1;from
Q1945612;Ore Mountain Mining Region;состоит из;1;22;from
Q1945612;Ore Mountain Mining Region;код в Предварительном списке Всемирного наследия;1;4;from
Q1945612;Ore Mountain Mining Region;категория на Викискладе;1;1;from
Q1945612;Ore Mountain Mining Region;критерий Всемирного наследия;1;3;from
Q1945612;Ore Mountain Mining Region;площадь;1;2;from
Q1945612;Ore Mountain Mining Region;статус наследия;1;13;from
Q1945612;Ore Mountain Mining Region;это частный случай понятия;1;2;from
Q1945612;Ore Mountain Mining Region;код GND;1;1;from
Q1945612;Ore Mountain Mining Region;код VIAF;1;1;from
Q1945612;Ore Mountain Mining Region;государство;1;2;from
Q1940110;Q1940110;общая тема категории;1;1;to
Q1940110;Q1940110;часть от;1;3;to
Q1940110;Q1940110;основная категория по теме;1;1;from
Q1940110;Q1940110;географические координаты;1;1;from
Q1945612;Ore Mountain Mining Region;код Всемирного наследия ЮНЕСКО;1;1;from
Q1945612;Ore Mountain Mining Region;часть от;1;22;to
Q2147825;Rhenish lignite mining area;местонахождение;1;2;to
Q1998058;Q1998058;это частный случай понятия;1;1;from
