entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q19038;Guria;административно-территориальная единица;1;15;to
Q200048;Kvemo Kartli;используемый язык;1;3;from
Q200048;Kvemo Kartli;официальный сайт;1;1;from
Q200048;Kvemo Kartli;категория карт на Викискладе;1;1;from
Q200048;Kvemo Kartli;код NKC;1;1;from
Q200048;Kvemo Kartli;код Freebase;1;1;from
Q200048;Kvemo Kartli;географические координаты;1;1;from
Q200048;Kvemo Kartli;дата основания/создания/возникновения;1;1;from
Q200048;Kvemo Kartli;ID отношения в OpenStreetMap;1;1;from
Q200048;Kvemo Kartli;категория на Викискладе;1;1;from
Q200048;Kvemo Kartli;ISO 3166-2;1;1;from
Q200048;Kvemo Kartli;площадь;1;1;from
Q200048;Kvemo Kartli;категория объединяет темы;1;6;to
Q200048;Kvemo Kartli;не путать с;1;1;to
Q200048;Kvemo Kartli;категория для людей, связанных с местностью;1;1;from
Q200048;Kvemo Kartli;категория для людей, похороненных здесь;1;1;from
Q200048;Kvemo Kartli;название на языке оригинала;1;1;from
Q200048;Kvemo Kartli;код GeoNames;1;1;from
Q200048;Kvemo Kartli;категория для людей, умерших здесь;1;1;from
Q200048;Kvemo Kartli;категория для людей, родившихся здесь;1;1;from
Q200048;Kvemo Kartli;должность главы правительства;1;1;from
Q200048;Kvemo Kartli;столица;1;1;from
Q200048;Kvemo Kartli;основная категория по теме;1;1;from
Q200048;Kvemo Kartli;местонахождение;1;2;to
Q200048;Kvemo Kartli;карта местонахождения;1;1;from
Q200309;Samegrelo-Zemo Svaneti;глава правительства;1;2;from
Q200309;Samegrelo-Zemo Svaneti;категория для людей, связанных с местностью;1;1;from
Q200309;Samegrelo-Zemo Svaneti;подробная карта;1;1;from
Q200309;Samegrelo-Zemo Svaneti;код GeoNames;1;1;from
Q200309;Samegrelo-Zemo Svaneti;категория для людей, умерших здесь;1;1;from
Q200309;Samegrelo-Zemo Svaneti;категория для людей, родившихся здесь;1;1;from
Q200309;Samegrelo-Zemo Svaneti;официальное название;1;1;from
Q200309;Samegrelo-Zemo Svaneti;основной шаблон по теме;1;2;from
Q200309;Samegrelo-Zemo Svaneti;должность главы правительства;1;1;from
Q200309;Samegrelo-Zemo Svaneti;численность населения;1;2;from
Q200309;Samegrelo-Zemo Svaneti;столица;1;1;from
Q200048;Kvemo Kartli;является столицей;1;1;to
Q200309;Samegrelo-Zemo Svaneti;это частный случай понятия;1;1;from
Q200309;Samegrelo-Zemo Svaneti;карта местонахождения;1;1;from
Q200309;Samegrelo-Zemo Svaneti;изображение;1;1;from
Q200309;Samegrelo-Zemo Svaneti;государство;1;1;to
Q200309;Samegrelo-Zemo Svaneti;административно делится на;1;1;to
Q200309;Samegrelo-Zemo Svaneti;административно-территориальная единица;1;29;to
Q200048;Kvemo Kartli;общая тема категории;1;1;to
Q200048;Kvemo Kartli;происходит из;1;3;to
Q200048;Kvemo Kartli;место рождения;1;1;to
Q200048;Kvemo Kartli;это частный случай понятия;1;1;from
Q200048;Kvemo Kartli;изображение;1;1;from
Q19038;Guria;административно делится на;1;1;to
Q200047;Shida Kartli;основной шаблон по теме;1;1;from
Q200047;Shida Kartli;рельефная позиционная карта;1;1;from
Q200047;Shida Kartli;позиционная карта;1;1;from
Q200047;Shida Kartli;не путать с;1;1;to
Q200047;Shida Kartli;категория для людей, связанных с местностью;1;1;from
Q200047;Shida Kartli;категория для людей, похороненных здесь;1;1;from
Q200047;Shida Kartli;название на языке оригинала;1;1;from
Q200047;Shida Kartli;код GeoNames;1;1;from
