entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q3593;Eshtaol;административно-территориальная единица;1;1;from
Q2777769;Ofer;высота над уровнем моря;1;1;from
Q2777775;Ramat Tzvi;изображение;1;1;from
Q2777775;Ramat Tzvi;государство;1;1;from
Q2777775;Ramat Tzvi;административно-территориальная единица;1;1;from
Q2777769;Ofer;Who's on First ID;1;1;from
Q2777769;Ofer;код Freebase;1;1;from
Q2777769;Ofer;географические координаты;1;1;from
Q2777769;Ofer;дата основания/создания/возникновения;1;1;from
Q2777769;Ofer;часовой пояс;1;1;from
Q2777769;Ofer;категория на Викискладе;1;1;from
Q2777769;Ofer;Израильский муниципальный код;1;1;from
Q2777769;Ofer;код GeoNames;1;1;from
Q2777775;Ramat Tzvi;это частный случай понятия;1;2;from
Q2777769;Ofer;численность населения;1;1;from
Q2777769;Ofer;это частный случай понятия;1;2;from
Q2777769;Ofer;изображение;1;1;from
Q2777769;Ofer;государство;1;1;from
Q2777769;Ofer;административно-территориальная единица;1;1;from
Q2777738;Manot;Who's on First ID;1;1;from
Q2777738;Manot;код Freebase;1;1;from
Q2777738;Manot;географические координаты;1;1;from
Q2777738;Manot;дата основания/создания/возникновения;1;1;from
Q2777738;Manot;часовой пояс;1;1;from
Q2777775;Ramat Tzvi;код VIAF;1;1;from
Q2777775;Ramat Tzvi;численность населения;1;1;from
Q2777738;Manot;высота над уровнем моря;1;1;from
Q2777886;Sho'eva;численность населения;1;1;from
Q2777888;Reihan;основатель;1;1;from
Q2777886;Sho'eva;заменён на;1;1;to
Q2777886;Sho'eva;Who's on First ID;1;1;from
Q2777886;Sho'eva;код Freebase;1;1;from
Q2777886;Sho'eva;географические координаты;1;1;from
Q2777886;Sho'eva;дата основания/создания/возникновения;1;1;from
Q2777886;Sho'eva;часовой пояс;1;1;from
Q2777886;Sho'eva;Израильский муниципальный код;1;1;from
Q2777886;Sho'eva;высота над уровнем моря;1;1;from
Q2777886;Sho'eva;код GeoNames;1;1;from
Q2777886;Sho'eva;это частный случай понятия;1;2;from
Q2777775;Ramat Tzvi;высота над уровнем моря;1;1;from
Q2777886;Sho'eva;код VIAF;1;1;from
Q2777886;Sho'eva;государство;1;1;from
Q2777886;Sho'eva;административно-территориальная единица;1;1;from
Q2777775;Ramat Tzvi;официальный сайт;1;1;from
Q2777775;Ramat Tzvi;код Freebase;1;1;from
Q2777775;Ramat Tzvi;географические координаты;1;1;from
Q2777775;Ramat Tzvi;дата основания/создания/возникновения;1;1;from
Q2777775;Ramat Tzvi;часовой пояс;1;1;from
Q2777775;Ramat Tzvi;категория на Викискладе;1;1;from
Q2777775;Ramat Tzvi;Израильский муниципальный код;1;1;from
Q2777738;Manot;Израильский муниципальный код;1;1;from
Q2777738;Manot;численность населения;1;1;from
Q2777420;Goren;категория на Викискладе;1;1;from
Q2777722;Kokhav Michael;это частный случай понятия;1;2;from
Q2777727;Lapidot;изображение;1;1;from
Q2777727;Lapidot;государство;1;1;from
Q2777727;Lapidot;административно-территориальная единица;1;1;from
Q2777722;Kokhav Michael;код Freebase;1;1;from
Q2777722;Kokhav Michael;географические координаты;1;1;from
Q2777722;Kokhav Michael;дата основания/создания/возникновения;1;1;from
Q2777722;Kokhav Michael;часовой пояс;1;1;from
Q2777722;Kokhav Michael;Израильский муниципальный код;1;1;from
Q2777722;Kokhav Michael;высота над уровнем моря;1;1;from
Q2777722;Kokhav Michael;численность населения;1;1;from
Q2777722;Kokhav Michael;государство;1;1;from
Q2777727;Lapidot;численность населения;1;1;from
Q2777722;Kokhav Michael;административно-территориальная единица;1;1;from
Q2777708;Prazon;место рождения;1;1;to
Q2777708;Prazon;код Freebase;1;1;from
Q2777708;Prazon;географические координаты;1;1;from
Q2777708;Prazon;дата основания/создания/возникновения;1;1;from
Q2777708;Prazon;часовой пояс;1;1;from
Q2777708;Prazon;Израильский муниципальный код;1;1;from
Q2777708;Prazon;высота над уровнем моря;1;1;from
Q2777708;Prazon;численность населения;1;1;from
Q2777708;Prazon;это частный случай понятия;1;2;from
Q2777727;Lapidot;это частный случай понятия;1;2;from
Q2777727;Lapidot;высота над уровнем моря;1;1;from
Q2777738;Manot;это частный случай понятия;1;2;from
Q2777731;Tefahot;код GeoNames;1;1;from
