entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q2416186;Mērsrags Municipality;административно-территориальная единица;1;5;to
Q2269685;Tērvete Municipality;географические координаты;1;1;from
Q2269685;Tērvete Municipality;Who's on First ID;1;1;from
Q2269685;Tērvete Municipality;официальный сайт;1;1;from
Q2269685;Tērvete Municipality;транскрипция в МФА;1;1;from
Q2269685;Tērvete Municipality;основная категория по теме;1;1;from
Q2269685;Tērvete Municipality;место в MusicBrainz;1;1;from
Q2269685;Tērvete Municipality;общая тема категории;1;1;to
Q2269685;Tērvete Municipality;место рождения;1;8;to
Q2269685;Tērvete Municipality;место смерти;1;1;to
Q2269685;Tērvete Municipality;категория объединяет темы;1;3;to
Q2269685;Tērvete Municipality;является столицей;1;1;to
Q2274832;Dundaga Municipality;административно-территориальная единица;1;4;to
Q2274832;Dundaga Municipality;административно делится на;1;1;to
Q2274832;Dundaga Municipality;государство;1;1;from
Q2274832;Dundaga Municipality;карта местонахождения;1;1;from
Q2274832;Dundaga Municipality;это частный случай понятия;1;1;from
Q2274832;Dundaga Municipality;столица;1;1;from
Q2274832;Dundaga Municipality;изображение флага;1;1;from
Q2274832;Dundaga Municipality;изображение герба;1;1;from
Q2274832;Dundaga Municipality;численность населения;1;4;from
Q2274832;Dundaga Municipality;код ATVK;1;1;from
Q2274832;Dundaga Municipality;список памятников;1;1;from
Q2274832;Dundaga Municipality;категория для людей, родившихся здесь;1;1;from
Q2274832;Dundaga Municipality;код GeoNames;1;1;from
Q2269685;Tērvete Municipality;код Freebase;1;1;from
Q2269685;Tērvete Municipality;дата основания/создания/возникновения;1;1;from
Q2268947;Ķekava Municipality;категория объединяет темы;1;1;to
Q2269685;Tērvete Municipality;категория на Викискладе;1;1;from
Q2268947;Ķekava Municipality;общая тема категории;1;1;to
Q2269685;Tērvete Municipality;административно-территориальная единица;1;5;to
Q2269685;Tērvete Municipality;административно делится на;1;1;to
Q2269685;Tērvete Municipality;государство;1;1;from
Q2269685;Tērvete Municipality;карта местонахождения;1;1;from
Q2269685;Tērvete Municipality;это частный случай понятия;1;1;from
Q2269685;Tērvete Municipality;столица;1;1;from
Q2269685;Tērvete Municipality;изображение флага;1;1;from
Q2269685;Tērvete Municipality;имеет границы с;1;3;to
Q2269685;Tērvete Municipality;изображение герба;1;1;from
Q2269685;Tērvete Municipality;численность населения;1;5;from
Q2269685;Tērvete Municipality;код ATVK;1;1;from
Q2269685;Tērvete Municipality;официальное название;1;1;from
Q2269685;Tērvete Municipality;список памятников;1;1;from
Q2269685;Tērvete Municipality;категория для людей, родившихся здесь;1;1;from
Q2269685;Tērvete Municipality;категория для людей, умерших здесь;1;1;from
Q2269685;Tērvete Municipality;код GeoNames;1;2;from
Q2269685;Tērvete Municipality;категория для людей, связанных с местностью;1;1;from
Q2269685;Tērvete Municipality;не путать с;1;1;to
Q2269685;Tērvete Municipality;площадь;1;1;from
Q2269685;Tērvete Municipality;код объекта в топонимической базе данных Латвии;1;1;from
Q2269685;Tērvete Municipality;код в Латвийском национальном адресном реестре;1;1;from
Q2269685;Tērvete Municipality;ISO 3166-2;1;1;from
Q2274832;Dundaga Municipality;категория для людей, связанных с местностью;1;1;from
Q2274832;Dundaga Municipality;площадь;1;1;from
Q2274832;Dundaga Municipality;код объекта в топонимической базе данных Латвии;1;1;from
Q2274832;Dundaga Municipality;код в Латвийском национальном адресном реестре;1;1;from
Q2277469;Preiļi Municipality;категория для людей, родившихся здесь;1;1;from
Q2277469;Preiļi Municipality;код GeoNames;1;1;from
Q2277469;Preiļi Municipality;категория для людей, связанных с местностью;1;1;from
Q2277469;Preiļi Municipality;не путать с;1;1;to
Q2277469;Preiļi Municipality;площадь;1;1;from
Q2277469;Preiļi Municipality;код объекта в топонимической базе данных Латвии;1;1;from
Q2277469;Preiļi Municipality;код в Латвийском национальном адресном реестре;1;1;from
Q2277469;Preiļi Municipality;ISO 3166-2;1;1;from
Q2277469;Preiļi Municipality;идентификатор Ringgold;1;1;from
Q2277469;Preiļi Municipality;категория на Викискладе;1;1;from
Q2277469;Preiļi Municipality;ID отношения в OpenStreetMap;1;1;from
Q2277469;Preiļi Municipality;дата основания/создания/возникновения;1;1;from
Q2277469;Preiļi Municipality;географические координаты;1;1;from
Q2277469;Preiļi Municipality;код Freebase;1;1;from
Q2277469;Preiļi Municipality;Who's on First ID;1;1;from
Q2277469;Preiļi Municipality;официальный сайт;1;1;from
Q2277469;Preiļi Municipality;основная категория по теме;1;1;from
Q2277469;Preiļi Municipality;место рождения;1;3;to
Q2277469;Preiļi Municipality;категория объединяет темы;1;2;to
Q2277469;Preiļi Municipality;место смерти;1;1;to
Q2277469;Preiļi Municipality;общая тема категории;1;1;to
Q2277478;Krustpils Municipality;административно-территориальная единица;1;8;to
Q2277478;Krustpils Municipality;административно делится на;1;1;to
Q2277469;Preiļi Municipality;список памятников;1;1;from
Q2277469;Preiļi Municipality;код ATVK;1;1;from
Q2277469;Preiļi Municipality;численность населения;1;4;from
Q2274832;Dundaga Municipality;категория объединяет темы;1;2;to
Q2274832;Dundaga Municipality;используемый язык;1;1;from
Q2274832;Dundaga Municipality;ISO 3166-2;1;1;from
Q2274832;Dundaga Municipality;категория на Викискладе;1;1;from
Q2274832;Dundaga Municipality;дата основания/создания/возникновения;1;1;from
Q2274832;Dundaga Municipality;географические координаты;1;1;from
Q2274832;Dundaga Municipality;код Freebase;1;1;from
Q2274832;Dundaga Municipality;Who's on First ID;1;1;from
Q2274832;Dundaga Municipality;официальный сайт;1;1;from
Q2274832;Dundaga Municipality;основная категория по теме;1;1;from
Q2274832;Dundaga Municipality;место рождения;1;3;to
Q2274832;Dundaga Municipality;имеет границы с;1;1;to
Q2277469;Preiļi Municipality;изображение герба;1;1;from
Q2274832;Dundaga Municipality;общая тема категории;1;1;to
Q2274832;Dundaga Municipality;происходит из;1;1;to
Q2277469;Preiļi Municipality;административно-территориальная единица;1;15;to
Q2277469;Preiļi Municipality;административно делится на;1;1;to
Q2277469;Preiļi Municipality;государство;1;1;from
Q2277469;Preiļi Municipality;код ISNI;1;1;from
Q2277469;Preiļi Municipality;карта местонахождения;1;1;from
Q2277469;Preiļi Municipality;это частный случай понятия;1;1;from
Q2277469;Preiļi Municipality;столица;1;1;from
Q2277469;Preiļi Municipality;изображение флага;1;1;from
Q2268947;Ķekava Municipality;является столицей;1;1;to
Q2268947;Ķekava Municipality;место в MusicBrainz;1;1;from
Q2299239;Skrunda Municipality;это частный случай понятия;1;1;from
Q2251931;Salacgrīva Municipality;список памятников;1;1;from
Q2251931;Salacgrīva Municipality;код GeoNames;1;1;from
Q2251931;Salacgrīva Municipality;категория для людей, связанных с местностью;1;1;from
Q2251931;Salacgrīva Municipality;не путать с;1;1;to
Q2251931;Salacgrīva Municipality;площадь;1;1;from
Q2251931;Salacgrīva Municipality;код объекта в топонимической базе данных Латвии;1;1;from
Q2251931;Salacgrīva Municipality;код в Латвийском национальном адресном реестре;1;1;from
Q2251931;Salacgrīva Municipality;ISO 3166-2;1;1;from
Q2251931;Salacgrīva Municipality;категория на Викискладе;1;1;from
Q2251931;Salacgrīva Municipality;дата основания/создания/возникновения;1;1;from
Q2251931;Salacgrīva Municipality;географические координаты;1;1;from
Q2251931;Salacgrīva Municipality;код Freebase;1;1;from
Q2251931;Salacgrīva Municipality;Who's on First ID;1;1;from
Q2251931;Salacgrīva Municipality;официальный сайт;1;1;from
Q2251931;Salacgrīva Municipality;транскрипция в МФА;1;1;from
Q2251931;Salacgrīva Municipality;основная категория по теме;1;1;from
Q2251931;Salacgrīva Municipality;место в MusicBrainz;1;1;from
Q2251931;Salacgrīva Municipality;общая тема категории;1;1;to
Q2251931;Salacgrīva Municipality;место рождения;1;4;to
Q2251931;Salacgrīva Municipality;категория объединяет темы;1;2;to
Q2251931;Salacgrīva Municipality;является столицей;1;1;to
Q2251931;Salacgrīva Municipality;следующее по порядку;1;1;to
Q2252820;Inčukalns Municipality;административно-территориальная единица;1;5;to
Q2252820;Inčukalns Municipality;административно делится на;1;1;to
Q2251931;Salacgrīva Municipality;категория для людей, родившихся здесь;1;1;from
Q2251931;Salacgrīva Municipality;официальное название;1;1;from
Q2268947;Ķekava Municipality;основная категория по теме;1;1;from
Q2251931;Salacgrīva Municipality;код ATVK;1;1;from
Q2232018;Mārupe Municipality;категория на Викискладе;1;1;from
Q2232018;Mārupe Municipality;дата основания/создания/возникновения;1;1;from
Q2232018;Mārupe Municipality;географические координаты;1;1;from
Q2232018;Mārupe Municipality;код Freebase;1;1;from
Q2232018;Mārupe Municipality;Who's on First ID;1;1;from
Q2232018;Mārupe Municipality;официальный сайт;1;1;from
Q2232018;Mārupe Municipality;основная категория по теме;1;1;from
