entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q339063;Saint Paul Parish;административно-территориальная единица;1;9;to
Q339063;Saint Paul Parish;государство;1;1;from
Q1431129;Saint David Parish;высота над уровнем моря;1;1;from
Q1431129;Saint David Parish;ISO 3166-2;1;1;from
Q1431129;Saint David Parish;категория на Викискладе;1;1;from
Q1431129;Saint David Parish;географические координаты;1;1;from
Q1431129;Saint David Parish;код Freebase;1;1;from
Q1431129;Saint David Parish;Who's on First ID;1;1;from
Q1431129;Saint David Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1431129;Saint David Parish;основная категория по теме;1;1;from
Q1431129;Saint David Parish;место смерти;1;1;to
Q1431129;Saint David Parish;место рождения;1;2;to
Q1431129;Saint David Parish;общая тема категории;1;1;to
Q1431129;Saint David Parish;административно делится на;1;1;to
Q1476285;Saint John Parish;административно-территориальная единица;1;40;to
Q1476285;Saint John Parish;государство;1;1;from
Q1476285;Saint John Parish;изображение;1;1;from
Q1476285;Saint John Parish;карта местонахождения;1;1;from
Q1476285;Saint John Parish;это частный случай понятия;1;1;from
Q1476285;Saint John Parish;категория для людей, родившихся здесь;1;1;from
Q1476285;Saint John Parish;код GeoNames;1;1;from
Q1476285;Saint John Parish;код TGN;1;1;from
Q1476285;Saint John Parish;категория для людей, связанных с местностью;1;1;from
Q1431129;Saint David Parish;код TGN;1;1;from
Q1431129;Saint David Parish;код GeoNames;1;1;from
Q1431129;Saint David Parish;это частный случай понятия;1;1;from
Q1431115;Saint Mark Parish;географические координаты;1;1;from
Q1431115;Saint Mark Parish;административно-территориальная единица;1;5;to
Q1431115;Saint Mark Parish;государство;1;1;from
Q1431115;Saint Mark Parish;изображение;1;1;from
Q1431115;Saint Mark Parish;карта местонахождения;1;1;from
Q1431115;Saint Mark Parish;это частный случай понятия;1;1;from
Q1431115;Saint Mark Parish;код GeoNames;1;1;from
Q1431115;Saint Mark Parish;код TGN;1;1;from
Q1431115;Saint Mark Parish;ISO 3166-2;1;1;from
Q1431115;Saint Mark Parish;категория на Викискладе;1;1;from
Q1431115;Saint Mark Parish;код Freebase;1;1;from
Q1431129;Saint David Parish;карта местонахождения;1;1;from
Q1431115;Saint Mark Parish;Who's on First ID;1;1;from
Q1431115;Saint Mark Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1431115;Saint Mark Parish;основная категория по теме;1;1;from
Q1431115;Saint Mark Parish;место в MusicBrainz;1;1;from
Q1431115;Saint Mark Parish;общая тема категории;1;1;to
Q1431115;Saint Mark Parish;административно делится на;1;1;to
Q1431129;Saint David Parish;административно-территориальная единица;1;78;to
Q1431129;Saint David Parish;государство;1;1;from
Q1431129;Saint David Parish;изображение;1;1;from
Q1476285;Saint John Parish;высота над уровнем моря;1;1;from
Q1476285;Saint John Parish;код BabelNet;1;1;from
Q1476285;Saint John Parish;ISO 3166-2;1;1;from
Q1476302;Saint Joseph Parish;высота над уровнем моря;1;1;from
Q1476294;Saint Peter Parish;административно делится на;1;1;to
Q1476302;Saint Joseph Parish;административно-территориальная единица;1;5;to
Q1476302;Saint Joseph Parish;государство;1;1;from
Q1476302;Saint Joseph Parish;изображение;1;1;from
Q1476302;Saint Joseph Parish;карта местонахождения;1;1;from
Q1476302;Saint Joseph Parish;это частный случай понятия;1;1;from
Q1476302;Saint Joseph Parish;столица;1;1;from
Q1476302;Saint Joseph Parish;код GeoNames;1;1;from
Q1476302;Saint Joseph Parish;код TGN;1;1;from
Q1476302;Saint Joseph Parish;ISO 3166-2;1;1;from
Q1476294;Saint Peter Parish;основная категория по теме;1;1;from
Q1476302;Saint Joseph Parish;категория на Викискладе;1;1;from
Q1476302;Saint Joseph Parish;географические координаты;1;1;from
Q1476302;Saint Joseph Parish;код Freebase;1;1;from
Q1476302;Saint Joseph Parish;Who's on First ID;1;1;from
Q1476302;Saint Joseph Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1476302;Saint Joseph Parish;основная категория по теме;1;1;from
Q1476302;Saint Joseph Parish;является столицей;1;1;to
Q1476302;Saint Joseph Parish;место рождения;1;2;to
Q1476302;Saint Joseph Parish;общая тема категории;1;1;to
Q1476294;Saint Peter Parish;общая тема категории;1;1;to
Q1476294;Saint Peter Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1476285;Saint John Parish;категория на Викискладе;1;1;from
Q1476294;Saint Peter Parish;государство;1;1;from
Q1476285;Saint John Parish;географические координаты;1;1;from
Q1476285;Saint John Parish;код Freebase;1;1;from
Q1476285;Saint John Parish;Who's on First ID;1;1;from
Q1476285;Saint John Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1476285;Saint John Parish;основная категория по теме;1;1;from
Q1476285;Saint John Parish;категория объединяет темы;1;2;to
Q1476285;Saint John Parish;общая тема категории;1;1;to
Q1476285;Saint John Parish;административно делится на;1;1;to
Q1476294;Saint Peter Parish;административно-территориальная единица;1;21;to
Q1476294;Saint Peter Parish;изображение;1;1;from
Q1476294;Saint Peter Parish;Who's on First ID;1;1;from
Q1476294;Saint Peter Parish;карта местонахождения;1;1;from
Q1476294;Saint Peter Parish;это частный случай понятия;1;1;from
Q1476294;Saint Peter Parish;код GeoNames;1;1;from
Q1476294;Saint Peter Parish;код TGN;1;1;from
Q1476294;Saint Peter Parish;высота над уровнем моря;1;1;from
Q1476294;Saint Peter Parish;ISO 3166-2;1;1;from
Q1476294;Saint Peter Parish;категория на Викискладе;1;1;from
Q1476294;Saint Peter Parish;географические координаты;1;1;from
Q1476294;Saint Peter Parish;код Freebase;1;1;from
Q1431108;Saint Patrick Parish;административно делится на;1;1;to
Q1431108;Saint Patrick Parish;общая тема категории;1;1;to
Q1431108;Saint Patrick Parish;место рождения;1;1;to
Q617801;Saint George Parish;место рождения;1;2;to
Q617801;Saint George Parish;код TGN;1;1;from
Q617801;Saint George Parish;высота над уровнем моря;1;1;from
Q617801;Saint George Parish;ISO 3166-2;1;1;from
Q617801;Saint George Parish;категория на Викискладе;1;1;from
Q617801;Saint George Parish;географические координаты;1;1;from
Q617801;Saint George Parish;код Freebase;1;1;from
Q617801;Saint George Parish;Who's on First ID;1;1;from
Q617801;Saint George Parish;FIPS 10-4 (страны и регионы);1;1;from
Q617801;Saint George Parish;основная категория по теме;1;1;from
Q617801;Saint George Parish;общая тема категории;1;1;to
Q617801;Saint George Parish;это частный случай понятия;1;1;from
Q617801;Saint George Parish;административно делится на;1;1;to
Q732322;Saint Andrew Parish;административно-территориальная единица;1;82;to
Q732322;Saint Andrew Parish;государство;1;1;from
Q732322;Saint Andrew Parish;изображение;1;1;from
Q732322;Saint Andrew Parish;карта местонахождения;1;1;from
Q732322;Saint Andrew Parish;это частный случай понятия;1;1;from
Q732322;Saint Andrew Parish;столица;1;1;from
Q732322;Saint Andrew Parish;код GeoNames;1;1;from
Q732322;Saint Andrew Parish;код TGN;1;1;from
Q617801;Saint George Parish;код GeoNames;1;1;from
Q617801;Saint George Parish;карта местонахождения;1;1;from
Q732322;Saint Andrew Parish;ISO 3166-2;1;1;from
Q339063;Saint Paul Parish;географические координаты;1;1;from
Q339063;Saint Paul Parish;изображение;1;1;from
Q339063;Saint Paul Parish;карта местонахождения;1;1;from
Q339063;Saint Paul Parish;это частный случай понятия;1;1;from
Q339063;Saint Paul Parish;код GeoNames;1;1;from
Q339063;Saint Paul Parish;код TGN;1;1;from
Q339063;Saint Paul Parish;категория для людей, связанных с местностью;1;1;from
Q339063;Saint Paul Parish;высота над уровнем моря;1;1;from
Q339063;Saint Paul Parish;ISO 3166-2;1;1;from
Q339063;Saint Paul Parish;категория на Викискладе;1;1;from
Q339063;Saint Paul Parish;код Freebase;1;1;from
Q617801;Saint George Parish;изображение;1;1;from
Q339063;Saint Paul Parish;Who's on First ID;1;1;from
Q339063;Saint Paul Parish;FIPS 10-4 (страны и регионы);1;1;from
Q339063;Saint Paul Parish;основная категория по теме;1;1;from
Q339063;Saint Paul Parish;место в MusicBrainz;1;1;from
Q339063;Saint Paul Parish;категория объединяет темы;1;1;to
Q339063;Saint Paul Parish;общая тема категории;1;1;to
Q339063;Saint Paul Parish;административно делится на;1;1;to
Q617801;Saint George Parish;административно-территориальная единица;1;6;to
Q617801;Saint George Parish;государство;1;1;from
Q732322;Saint Andrew Parish;высота над уровнем моря;1;1;from
Q732322;Saint Andrew Parish;категория на Викискладе;1;1;from
Q1431108;Saint Patrick Parish;место в MusicBrainz;1;1;from
Q1431108;Saint Patrick Parish;это частный случай понятия;1;1;from
Q1431099;Saint Luke Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1431099;Saint Luke Parish;основная категория по теме;1;1;from
Q1431099;Saint Luke Parish;место в MusicBrainz;1;1;from
Q1431099;Saint Luke Parish;общая тема категории;1;1;to
Q1431099;Saint Luke Parish;категория объединяет темы;1;1;to
Q1431099;Saint Luke Parish;административно делится на;1;1;to
Q1431108;Saint Patrick Parish;административно-территориальная единица;1;25;to
Q1431108;Saint Patrick Parish;государство;1;1;from
Q1431108;Saint Patrick Parish;карта местонахождения;1;1;from
Q1431108;Saint Patrick Parish;код GeoNames;1;1;from
Q1431099;Saint Luke Parish;код Freebase;1;1;from
Q1431108;Saint Patrick Parish;код TGN;1;1;from
Q1431108;Saint Patrick Parish;высота над уровнем моря;1;1;from
Q1431108;Saint Patrick Parish;ISO 3166-2;1;1;from
Q1431108;Saint Patrick Parish;категория на Викискладе;1;1;from
Q1431108;Saint Patrick Parish;географические координаты;1;1;from
Q1431108;Saint Patrick Parish;код Freebase;1;1;from
Q1431108;Saint Patrick Parish;Who's on First ID;1;1;from
Q1431108;Saint Patrick Parish;FIPS 10-4 (страны и регионы);1;1;from
Q1431108;Saint Patrick Parish;основная категория по теме;1;1;from
Q1431099;Saint Luke Parish;Who's on First ID;1;1;from
Q1431099;Saint Luke Parish;географические координаты;1;1;from
Q732322;Saint Andrew Parish;географические координаты;1;1;from
Q1431099;Saint Luke Parish;государство;1;1;from
Q732322;Saint Andrew Parish;код Freebase;1;1;from
Q732322;Saint Andrew Parish;Who's on First ID;1;1;from
Q732322;Saint Andrew Parish;FIPS 10-4 (страны и регионы);1;1;from
Q732322;Saint Andrew Parish;основная категория по теме;1;1;from
Q732322;Saint Andrew Parish;место в MusicBrainz;1;1;from
Q732322;Saint Andrew Parish;является столицей;1;1;to
Q732322;Saint Andrew Parish;общая тема категории;1;1;to
Q732322;Saint Andrew Parish;административно делится на;1;1;to
Q1431099;Saint Luke Parish;административно-территориальная единица;1;4;to
Q1431099;Saint Luke Parish;изображение;1;1;from
Q1431099;Saint Luke Parish;дата основания/создания/возникновения;1;2;from
Q1431099;Saint Luke Parish;карта местонахождения;1;1;from
Q1431099;Saint Luke Parish;это частный случай понятия;1;1;from
Q1431099;Saint Luke Parish;классификация Iconclass;1;1;from
Q1431099;Saint Luke Parish;категория для людей, родившихся здесь;1;1;from
Q1431099;Saint Luke Parish;код GeoNames;1;1;from
Q1431099;Saint Luke Parish;код TGN;1;1;from
Q1431099;Saint Luke Parish;высота над уровнем моря;1;1;from
Q1431099;Saint Luke Parish;ISO 3166-2;1;1;from
Q1431099;Saint Luke Parish;категория на Викискладе;1;1;from
Q1476302;Saint Joseph Parish;административно делится на;1;1;to
