entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q167984;Nahant Beach Boulevard;административно-территориальная единица;1;2;from
Q5148102;Colonel By Drive;файл KML;1;1;from
Q4744843;American River Parkway;географические координаты;1;1;from
Q4744843;American River Parkway;Who's on First ID;1;1;from
Q5148102;Colonel By Drive;административно-территориальная единица;1;1;from
Q5148102;Colonel By Drive;государство;1;1;from
Q5148102;Colonel By Drive;изображение;1;1;from
Q5148102;Colonel By Drive;это частный случай понятия;1;1;from
Q5148102;Colonel By Drive;длина;1;1;from
Q5148102;Colonel By Drive;проходит над/под;1;1;to
Q2484254;Alewife Brook Parkway;дата основания/создания/возникновения;1;1;from
Q6995312;Neponset Valley Parkway;административно-территориальная единица;1;1;from
Q6995312;Neponset Valley Parkway;государство;1;1;from
Q6995312;Neponset Valley Parkway;изображение;1;1;from
Q6995312;Neponset Valley Parkway;это частный случай понятия;1;1;from
Q6995312;Neponset Valley Parkway;статус наследия;1;1;from
Q6995312;Neponset Valley Parkway;географические координаты;1;1;from
Q6995312;Neponset Valley Parkway;код NRHP;1;1;from
Q4744843;American River Parkway;код GeoNames;1;1;from
Q4744843;American River Parkway;это частный случай понятия;1;1;from
Q4744843;American River Parkway;код LCNAF;1;1;from
Q4744843;American River Parkway;государство;1;1;from
Q2484254;Alewife Brook Parkway;код NRHP;1;1;from
Q2488389;Eastern Parkway;административно-территориальная единица;1;1;to
Q2488389;Eastern Parkway;государство;1;1;from
Q2488389;Eastern Parkway;изображение;1;1;from
Q2488389;Eastern Parkway;код LCNAF;1;1;from
Q2488389;Eastern Parkway;это частный случай понятия;1;2;from
Q2488389;Eastern Parkway;статус наследия;1;1;from
Q2488389;Eastern Parkway;файл KML;1;1;from
Q2488389;Eastern Parkway;категория на Викискладе;1;1;from
Q2488389;Eastern Parkway;archINFORM project ID;1;1;from
Q2488389;Eastern Parkway;географические координаты;1;1;from
Q2488389;Eastern Parkway;код NRHP;1;1;from
Q2488389;Eastern Parkway;расположение штаб-квартиры;1;2;to
Q2488389;Eastern Parkway;расположен на улице;1;4;to
Q4744843;American River Parkway;административно-территориальная единица;1;1;from
Q6995312;Neponset Valley Parkway;несёт на себе;1;1;to
Q7270321;Queen Elizabeth Driveway;ответственность несёт;1;1;from
Q7270321;Queen Elizabeth Driveway;владельцем является;1;1;from
Q7540501;Sligo Creek Parkway;длина;1;1;from
Q7540501;Sligo Creek Parkway;файл KML;1;1;from
Q7540501;Sligo Creek Parkway;конечная;1;5;from
Q7540501;Sligo Creek Parkway;расположение конечной точки;1;2;from
Q7540501;Sligo Creek Parkway;проходит над/под;1;1;to
Q16918386;Paxtang Parkway;это частный случай понятия;1;1;from
Q17108972;Long Sault Parkway;административно-территориальная единица;1;1;from
Q17108972;Long Sault Parkway;названо в честь;1;1;from
Q17108972;Long Sault Parkway;государство;1;1;from
Q17108972;Long Sault Parkway;это частный случай понятия;1;1;from
