entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q128514;Sotra Patera;названо в честь;1;1;from
Q25909009;Horus Patera;длина;1;1;from
Q25909010;Huo Shen Patera;на астрономическом теле;1;1;from
Q25909010;Huo Shen Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909010;Huo Shen Patera;длина;1;1;from
Q25909010;Huo Shen Patera;это частный случай понятия;1;1;from
Q25909009;Horus Patera;на астрономическом теле;1;1;from
Q25909009;Horus Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909009;Horus Patera;это частный случай понятия;1;1;from
Q25909011;Ilmarinen Patera;длина;1;1;from
Q25909008;Hiruko Patera;на астрономическом теле;1;1;from
Q25909008;Hiruko Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909008;Hiruko Patera;длина;1;1;from
Q25909008;Hiruko Patera;это частный случай понятия;1;1;from
Q25909007;Hi'iaka Patera;на астрономическом теле;1;1;from
Q25909007;Hi'iaka Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909011;Ilmarinen Patera;это частный случай понятия;1;1;from
Q25909011;Ilmarinen Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909015;Janus Patera;на астрономическом теле;1;1;from
Q25909013;Isum Patera;на астрономическом теле;1;1;from
Q25909015;Janus Patera;длина;1;1;from
Q25909015;Janus Patera;это частный случай понятия;1;1;from
Q25909014;Itzamna Patera;на астрономическом теле;1;1;from
Q25909014;Itzamna Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909014;Itzamna Patera;длина;1;1;from
Q25909014;Itzamna Patera;это частный случай понятия;1;1;from
Q25909013;Isum Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909011;Ilmarinen Patera;на астрономическом теле;1;1;from
Q25909013;Isum Patera;длина;1;1;from
Q25909013;Isum Patera;это частный случай понятия;1;1;from
Q25909012;Inti Patera;на астрономическом теле;1;1;from
Q25909012;Inti Patera;код Gazetteer of Planetary Nomenclature;1;1;from
Q25909012;Inti Patera;длина;1;1;from
Q25909012;Inti Patera;это частный случай понятия;1;1;from
Q25909007;Hi'iaka Patera;длина;1;1;from
Q25909007;Hi'iaka Patera;это частный случай понятия;1;1;from
Q25909006;Hephaestus Patera;на астрономическом теле;1;1;from
