entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q109128;Gwynedd;административно-территориальная единица;1;4057;to
Q817960;Rhondda Cynon Taf;код в энциклопедии «Британника онлайн»;1;1;from
Q748078;Neath Port Talbot County Borough;место смерти;1;1;to
Q748078;Neath Port Talbot County Borough;изображённый объект;1;1;to
Q748078;Neath Port Talbot County Borough;общая тема категории;1;1;to
Q817960;Rhondda Cynon Taf;административно-территориальная единица;1;492;to
Q817960;Rhondda Cynon Taf;государство;1;1;from
Q817960;Rhondda Cynon Taf;город-побратим;1;2;to
Q817960;Rhondda Cynon Taf;карта местонахождения;1;1;from
Q817960;Rhondda Cynon Taf;код LCNAF;1;1;from
Q817960;Rhondda Cynon Taf;это частный случай понятия;1;1;from
Q817960;Rhondda Cynon Taf;столица;1;1;from
Q817960;Rhondda Cynon Taf;имеет границы с;1;7;to
Q817960;Rhondda Cynon Taf;численность населения;1;6;from
Q817960;Rhondda Cynon Taf;WOEID;1;1;from
Q817960;Rhondda Cynon Taf;заменил;1;1;from
Q817960;Rhondda Cynon Taf;категория для людей, родившихся здесь;1;1;from
Q748078;Neath Port Talbot County Borough;зона обслуживания;1;1;to
Q817960;Rhondda Cynon Taf;код GeoNames;1;1;from
Q817960;Rhondda Cynon Taf;категория для людей, связанных с местностью;1;1;from
Q817960;Rhondda Cynon Taf;площадь;1;1;from
Q817960;Rhondda Cynon Taf;код BabelNet;1;1;from
Q817960;Rhondda Cynon Taf;используемый язык;1;7;from
Q817960;Rhondda Cynon Taf;ISO 3166-2;1;1;from
Q817960;Rhondda Cynon Taf;TOID;1;1;from
Q817960;Rhondda Cynon Taf;категория на Викискладе;1;1;from
Q817960;Rhondda Cynon Taf;геоданные;1;1;from
Q817960;Rhondda Cynon Taf;ID отношения в OpenStreetMap;1;1;from
Q817960;Rhondda Cynon Taf;географические координаты;1;1;from
Q817960;Rhondda Cynon Taf;код Freebase;1;1;from
Q817960;Rhondda Cynon Taf;Who's on First ID;1;1;from
Q817960;Rhondda Cynon Taf;категория карт на Викискладе;1;1;from
Q748078;Neath Port Talbot County Borough;юрисдикция распространяется на;1;1;to
Q748078;Neath Port Talbot County Borough;место жительства;1;3;to
Q817960;Rhondda Cynon Taf;код GSS (2011);1;1;from
Q748078;Neath Port Talbot County Borough;дата основания/создания/возникновения;1;1;from
Q748078;Neath Port Talbot County Borough;численность населения;1;6;from
Q748078;Neath Port Talbot County Borough;WOEID;1;1;from
Q748078;Neath Port Talbot County Borough;заменил;1;1;from
Q748078;Neath Port Talbot County Borough;код в энциклопедии «Британника онлайн»;1;1;from
Q748078;Neath Port Talbot County Borough;категория для людей, родившихся здесь;1;1;from
Q748078;Neath Port Talbot County Borough;код GeoNames;1;1;from
Q748078;Neath Port Talbot County Borough;категория для людей, связанных с местностью;1;1;from
Q748078;Neath Port Talbot County Borough;площадь;1;1;from
Q748078;Neath Port Talbot County Borough;используемый язык;1;7;from
Q748078;Neath Port Talbot County Borough;ISO 3166-2;1;2;from
Q748078;Neath Port Talbot County Borough;TOID;1;1;from
Q748078;Neath Port Talbot County Borough;категория на Викискладе;1;1;from
Q748078;Neath Port Talbot County Borough;геоданные;1;1;from
Q748078;Neath Port Talbot County Borough;ID отношения в OpenStreetMap;1;1;from
Q748078;Neath Port Talbot County Borough;географические координаты;1;1;from
Q748078;Neath Port Talbot County Borough;заменён на;1;1;to
Q748078;Neath Port Talbot County Borough;код Freebase;1;1;from
Q748078;Neath Port Talbot County Borough;Who's on First ID;1;1;from
Q748078;Neath Port Talbot County Borough;руководящий орган;1;1;from
Q748078;Neath Port Talbot County Borough;код GSS (2011);1;1;from
Q748078;Neath Port Talbot County Borough;официальный сайт;1;4;from
Q748078;Neath Port Talbot County Borough;FIPS 10-4 (страны и регионы);1;1;from
Q748078;Neath Port Talbot County Borough;основная категория по теме;1;1;from
Q748078;Neath Port Talbot County Borough;место в MusicBrainz;1;1;from
Q748078;Neath Port Talbot County Borough;dmoz;1;1;from
Q748078;Neath Port Talbot County Borough;административно делится на;1;2;to
Q748078;Neath Port Talbot County Borough;является столицей;1;1;to
Q748078;Neath Port Talbot County Borough;местонахождение;1;1;to
Q748078;Neath Port Talbot County Borough;категория объединяет темы;1;8;to
Q748078;Neath Port Talbot County Borough;место рождения;1;7;to
Q817960;Rhondda Cynon Taf;руководящий орган;1;1;from
Q817960;Rhondda Cynon Taf;официальный сайт;1;3;from
Q650682;Denbighshire;ISO 3166-2;1;1;from
Q817971;Conwy County Borough;dmoz;1;1;from
Q817971;Conwy County Borough;геоданные;1;1;from
Q817971;Conwy County Borough;идентификатор местоположения ArchINFORM;1;1;from
