entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q3817;Banteay Meanchey Province;административно-территориальная единица;1;28;to
Q751864;Svay Rieng Province;местонахождение;1;1;to
Q751864;Svay Rieng Province;местный телефонный код;1;1;from
Q751864;Svay Rieng Province;дата основания/создания/возникновения;1;1;from
Q751864;Svay Rieng Province;географические координаты;1;1;from
Q751864;Svay Rieng Province;Who's on First ID;1;1;from
Q751864;Svay Rieng Province;FIPS 10-4 (страны и регионы);1;1;from
Q751864;Svay Rieng Province;основная категория по теме;1;1;from
Q751864;Svay Rieng Province;является столицей;1;1;to
Q751864;Svay Rieng Province;место смерти;1;1;to
Q751864;Svay Rieng Province;место рождения;1;6;to
Q785896;Kratié Province;имеет границы с;1;3;to
Q751864;Svay Rieng Province;общая тема категории;1;1;to
Q751864;Svay Rieng Province;происходит из;1;1;to
Q785896;Kratié Province;административно-территориальная единица;1;83;to
Q785896;Kratié Province;административно делится на;1;1;to
Q785896;Kratié Province;государство;1;1;from
Q785896;Kratié Province;изображение;1;1;from
Q785896;Kratié Province;карта местонахождения;1;1;from
Q785896;Kratié Province;это частный случай понятия;1;1;from
Q751864;Svay Rieng Province;часовой пояс;1;1;from
Q751864;Svay Rieng Province;категория на Викискладе;1;1;from
Q751864;Svay Rieng Province;код темы Quora;1;1;from
Q751864;Svay Rieng Province;ISO 3166-2;1;1;from
Q748470;Kampot Province;место рождения;1;5;to
Q748470;Kampot Province;значимое место;1;1;to
Q748470;Kampot Province;общая тема категории;1;1;to
Q748470;Kampot Province;категория объединяет темы;1;1;to
Q748470;Kampot Province;является столицей;1;1;to
Q751864;Svay Rieng Province;административно-территориальная единица;1;19;to
Q751864;Svay Rieng Province;административно делится на;1;1;to
Q751864;Svay Rieng Province;государство;1;1;from
Q751864;Svay Rieng Province;изображение;1;1;from
Q751864;Svay Rieng Province;карта местонахождения;1;1;from
Q751864;Svay Rieng Province;это частный случай понятия;1;1;from
Q751864;Svay Rieng Province;столица;1;1;from
Q751864;Svay Rieng Province;имеет границы с;1;2;to
Q751864;Svay Rieng Province;численность населения;1;1;from
Q751864;Svay Rieng Province;код GeoNames;1;1;from
Q751864;Svay Rieng Province;площадь;1;1;from
Q751864;Svay Rieng Province;используемый язык;1;1;from
Q785896;Kratié Province;столица;1;1;from
Q785896;Kratié Province;численность населения;1;1;from
Q652830;Mondulkiri Province;место рождения;1;1;to
Q810923;Battambang Province;категория для людей, родившихся здесь;1;1;from
Q810923;Battambang Province;административно делится на;1;1;to
Q810923;Battambang Province;государство;1;1;from
Q810923;Battambang Province;изображение;1;1;from
Q810923;Battambang Province;карта местонахождения;1;1;from
Q810923;Battambang Province;это частный случай понятия;1;1;from
Q810923;Battambang Province;столица;1;1;from
Q810923;Battambang Province;имеет границы с;1;4;to
Q810923;Battambang Province;численность населения;1;1;from
Q810923;Battambang Province;код GeoNames;1;1;from
Q785896;Kratié Province;код GeoNames;1;1;from
Q810923;Battambang Province;площадь;1;1;from
Q810923;Battambang Province;используемый язык;1;1;from
Q810923;Battambang Province;ISO 3166-2;1;1;from
Q810923;Battambang Province;категория на Викискладе;1;1;from
Q810923;Battambang Province;местный телефонный код;1;1;from
Q810923;Battambang Province;дата основания/создания/возникновения;1;1;from
Q810923;Battambang Province;географические координаты;1;1;from
Q810923;Battambang Province;код Freebase;1;1;from
Q810923;Battambang Province;административно-территориальная единица;1;71;to
Q785896;Kratié Province;категория объединяет темы;1;1;to
Q785896;Kratié Province;общая тема категории;1;1;to
Q785896;Kratié Province;место создания;1;1;to
Q785896;Kratié Province;площадь;1;1;from
Q785896;Kratié Province;код BabelNet;1;1;from
Q785896;Kratié Province;используемый язык;1;5;from
Q785896;Kratié Province;ISO 3166-2;1;1;from
Q785896;Kratié Province;категория на Викискладе;1;1;from
Q785896;Kratié Province;часовой пояс;1;1;from
Q785896;Kratié Province;местный телефонный код;1;1;from
Q785896;Kratié Province;дата основания/создания/возникновения;1;1;from
Q785896;Kratié Province;географические координаты;1;1;from
Q785896;Kratié Province;код Freebase;1;1;from
Q785896;Kratié Province;Who's on First ID;1;1;from
Q785896;Kratié Province;категория карт на Викискладе;1;1;from
Q785896;Kratié Province;FIPS 10-4 (страны и регионы);1;1;from
Q785896;Kratié Province;основная категория по теме;1;1;from
Q785896;Kratié Province;происходит из;1;5;to
Q785896;Kratié Province;место рождения;1;2;to
Q785896;Kratié Province;является столицей;1;1;to
Q748470;Kampot Province;основная категория по теме;1;1;from
Q748470;Kampot Province;FIPS 10-4 (страны и регионы);1;2;from
Q748470;Kampot Province;категория карт на Викискладе;1;1;from
Q652867;Kampong Speu Province;является столицей;1;1;to
Q652867;Kampong Speu Province;географические координаты;1;1;from
Q652867;Kampong Speu Province;код Freebase;1;1;from
Q652867;Kampong Speu Province;Who's on First ID;1;1;from
Q652867;Kampong Speu Province;категория карт на Викискладе;1;1;from
Q652867;Kampong Speu Province;официальный сайт;1;1;from
Q652867;Kampong Speu Province;FIPS 10-4 (страны и регионы);1;1;from
Q652867;Kampong Speu Province;основная категория по теме;1;1;from
Q652867;Kampong Speu Province;место рождения;1;3;to
Q652867;Kampong Speu Province;общая тема категории;1;1;to
Q748470;Kampot Province;Who's on First ID;1;1;from
Q652867;Kampong Speu Province;место смерти;1;1;to
Q652867;Kampong Speu Province;происходит из;1;1;to
Q652867;Kampong Speu Province;категория объединяет темы;1;1;to
Q747846;Ratanakiri Province;административно-территориальная единица;1;25;to
Q747846;Ratanakiri Province;административно делится на;1;1;to
Q747846;Ratanakiri Province;государство;1;1;from
Q747846;Ratanakiri Province;изображение;1;1;from
Q747846;Ratanakiri Province;карта местонахождения;1;1;from
Q652867;Kampong Speu Province;дата основания/создания/возникновения;1;1;from
Q652867;Kampong Speu Province;местный телефонный код;1;1;from
Q652867;Kampong Speu Province;часовой пояс;1;1;from
Q652867;Kampong Speu Province;категория на Викискладе;1;1;from
Q652830;Mondulkiri Province;значимое место;1;1;to
Q652830;Mondulkiri Province;общая тема категории;1;1;to
