entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q379658;Maputo Province;административно-территориальная единица;1;379;to
Q622794;Nampula Province;код Freebase;1;1;from
Q622794;Nampula Province;категория объединяет темы;1;2;to
Q622794;Nampula Province;является столицей;1;1;to
Q622794;Nampula Province;происходит из;1;10;to
Q622794;Nampula Province;основная категория по теме;1;1;from
Q622794;Nampula Province;FIPS 10-4 (страны и регионы);1;1;from
Q622794;Nampula Province;Who's on First ID;1;1;from
Q622794;Nampula Province;географические координаты;1;1;from
Q622794;Nampula Province;административно делится на;1;1;to
Q622794;Nampula Province;категория на Викискладе;1;1;from
Q622794;Nampula Province;ISO 3166-2;1;1;from
Q622794;Nampula Province;используемый язык;1;10;from
Q622794;Nampula Province;площадь;1;1;from
Q622794;Nampula Province;категория для людей, связанных с местностью;1;1;from
Q622794;Nampula Province;код GeoNames;1;1;from
Q622794;Nampula Province;общая тема категории;1;1;to
Q622799;Niassa Province;административно-территориальная единица;1;1051;to
Q622792;Manica Province;государство;1;1;from
Q622799;Niassa Province;код в Большой каталанской энциклопедии;1;1;from
Q622799;Niassa Province;категория на Викискладе;1;1;from
Q622799;Niassa Province;ISO 3166-2;1;1;from
Q622799;Niassa Province;используемый язык;1;6;from
Q622799;Niassa Province;площадь;1;1;from
Q622799;Niassa Province;код TGN;1;1;from
Q622799;Niassa Province;код GeoNames;1;1;from
Q622799;Niassa Province;десятичная классификация Дьюи;1;1;from
Q622799;Niassa Province;названо в честь;1;1;from
Q622799;Niassa Province;имеет границы с;1;3;to
Q622799;Niassa Province;столица;1;1;from
Q622799;Niassa Province;это частный случай понятия;1;1;from
Q622799;Niassa Province;карта местонахождения;1;1;from
Q622799;Niassa Province;изображение;1;2;from
Q622799;Niassa Province;государство;1;1;from
Q622794;Nampula Province;категория для людей, родившихся здесь;1;1;from
Q622794;Nampula Province;официальное название;1;2;from
Q622794;Nampula Province;код в Большой каталанской энциклопедии;1;1;from
Q622792;Manica Province;площадь;1;1;from
Q622792;Manica Province;Who's on First ID;1;1;from
Q622792;Manica Province;код Freebase;1;1;from
Q622792;Manica Province;географические координаты;1;1;from
Q622792;Manica Province;категория на Викискладе;1;1;from
Q622792;Manica Province;ISO 3166-2;1;1;from
Q622792;Manica Province;используемый язык;1;5;from
Q622792;Manica Province;код GeoNames;1;1;from
Q622794;Nampula Province;численность населения;1;1;from
Q622792;Manica Province;код в Большой каталанской энциклопедии;1;1;from
Q622792;Manica Province;десятичная классификация Дьюи;1;1;from
Q622792;Manica Province;имеет границы с;1;3;to
Q622792;Manica Province;столица;1;1;from
Q622792;Manica Province;это частный случай понятия;1;1;from
Q622792;Manica Province;карта местонахождения;1;1;from
Q622792;Manica Province;FIPS 10-4 (страны и регионы);1;1;from
Q622792;Manica Province;основная категория по теме;1;1;from
Q622792;Manica Province;место рождения;1;1;to
Q622792;Manica Province;категория объединяет темы;1;1;to
Q622792;Manica Province;происходит из;1;5;to
Q622792;Manica Province;является столицей;1;1;to
Q622792;Manica Province;общая тема категории;1;1;to
Q622792;Manica Province;административно делится на;1;1;to
Q622794;Nampula Province;административно-территориальная единица;1;1159;to
Q622794;Nampula Province;названо в честь;1;1;from
Q622794;Nampula Province;государство;1;1;from
Q622794;Nampula Province;изображение;1;1;from
Q622794;Nampula Province;карта местонахождения;1;1;from
Q622794;Nampula Province;это частный случай понятия;1;1;from
Q622794;Nampula Province;столица;1;1;from
Q622794;Nampula Province;имеет границы с;1;3;to
Q622794;Nampula Province;десятичная классификация Дьюи;1;1;from
Q622799;Niassa Province;географические координаты;1;1;from
Q622799;Niassa Province;код Freebase;1;1;from
Q622799;Niassa Province;Who's on First ID;1;1;from
Q622803;Zambezia Province;государство;1;1;from
Q622803;Zambezia Province;десятичная классификация Дьюи;1;1;from
Q622803;Zambezia Province;имеет границы с;1;4;to
Q622803;Zambezia Province;столица;1;1;from
Q622803;Zambezia Province;это частный случай понятия;1;1;from
Q622803;Zambezia Province;карта местонахождения;1;1;from
Q622803;Zambezia Province;изображение;1;1;from
Q622803;Zambezia Province;названо в честь;1;1;from
Q622801;Sofala;место в MusicBrainz;1;1;from
Q622803;Zambezia Province;административно-территориальная единица;1;924;to
Q622801;Sofala;административно делится на;1;1;to
Q622801;Sofala;общая тема категории;1;1;to
Q622801;Sofala;место рождения;1;2;to
Q622801;Sofala;категория объединяет темы;1;1;to
Q622801;Sofala;происходит из;1;3;to
Q622803;Zambezia Province;численность населения;1;1;from
Q622803;Zambezia Province;код в Большой каталанской энциклопедии;1;1;from
Q622803;Zambezia Province;код GeoNames;1;1;from
Q622803;Zambezia Province;площадь;1;1;from
Q622803;Zambezia Province;код BabelNet;1;1;from
Q622803;Zambezia Province;используемый язык;1;15;from
Q622803;Zambezia Province;ISO 3166-2;1;1;from
Q622803;Zambezia Province;категория на Викискладе;1;1;from
Q622803;Zambezia Province;географические координаты;1;1;from
Q622803;Zambezia Province;код Freebase;1;1;from
Q622803;Zambezia Province;Who's on First ID;1;1;from
Q622803;Zambezia Province;FIPS 10-4 (страны и регионы);1;1;from
Q622803;Zambezia Province;основная категория по теме;1;1;from
Q622803;Zambezia Province;происходит из;1;15;to
Q622803;Zambezia Province;является столицей;1;1;to
Q622803;Zambezia Province;место рождения;1;1;to
Q622803;Zambezia Province;общая тема категории;1;1;to
Q622801;Sofala;является столицей;1;1;to
Q622801;Sofala;основная категория по теме;1;1;from
Q622799;Niassa Province;FIPS 10-4 (страны и регионы);1;1;from
Q622799;Niassa Province;является столицей;1;1;to
Q622801;Sofala;изображение;1;1;from
Q622801;Sofala;государство;1;1;from
Q622801;Sofala;названо в честь;1;1;to
Q622801;Sofala;административно-территориальная единица;1;364;to
Q622799;Niassa Province;административно делится на;1;1;to
Q622799;Niassa Province;общая тема категории;1;1;to
Q622799;Niassa Province;место активности;1;1;to
Q622801;Sofala;FIPS 10-4 (страны и регионы);1;1;from
Q622799;Niassa Province;местонахождение;1;2;to
Q622799;Niassa Province;место рождения;1;1;to
Q622799;Niassa Province;происходит из;1;6;to
Q622799;Niassa Province;обслуживаемый город;1;1;to
Q622799;Niassa Province;место в MusicBrainz;1;1;from
Q622799;Niassa Province;основная категория по теме;1;1;from
Q622801;Sofala;код VIAF;1;1;from
Q622801;Sofala;код GND;1;1;from
Q622801;Sofala;карта местонахождения;1;1;from
Q622801;Sofala;код LCNAF;1;1;from
Q622801;Sofala;это частный случай понятия;1;1;from
Q622801;Sofala;столица;1;1;from
Q622801;Sofala;имеет границы с;1;4;to
Q622801;Sofala;десятичная классификация Дьюи;1;1;from
Q622801;Sofala;категория для людей, родившихся здесь;1;1;from
Q622801;Sofala;код GeoNames;1;1;from
Q622801;Sofala;площадь;1;1;from
