entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q23533;Quảng Bình;административно-территориальная единица;1;20;to
Q36672;Bình Phước;код VIAF;1;1;from
Q36685;Hà Giang;государство;1;1;from
Q36685;Hà Giang;административно-территориальная единица;1;16;to
Q36681;Thái Bình;административно делится на;1;1;to
Q36681;Thái Bình;является столицей;1;1;to
Q36681;Thái Bình;общая тема категории;1;1;to
Q36681;Thái Bình;место жительства;1;1;to
Q36681;Thái Bình;место рождения;1;32;to
Q36681;Thái Bình;категория объединяет темы;1;3;to
Q36681;Thái Bình;основная категория по теме;1;1;from
Q36681;Thái Bình;FIPS 10-4 (страны и регионы);1;1;from
Q36681;Thái Bình;официальный сайт;1;1;from
Q36681;Thái Bình;Who's on First ID;1;1;from
Q36681;Thái Bình;географические координаты;1;1;from
Q36681;Thái Bình;категория на Викискладе;1;1;from
Q36681;Thái Bình;ISO 3166-2;1;1;from
Q36681;Thái Bình;код BabelNet;1;1;from
Q36681;Thái Bình;площадь;1;1;from
Q36681;Thái Bình;высота над уровнем моря;1;1;from
Q36681;Thái Bình;категория для людей, связанных с местностью;1;1;from
Q36681;Thái Bình;код GeoNames;1;1;from
Q36681;Thái Bình;категория для людей, родившихся здесь;1;1;from
Q36681;Thái Bình;код в Большой каталанской энциклопедии;1;1;from
Q36681;Thái Bình;имеет границы с;1;1;to
Q36681;Thái Bình;столица;1;1;from
Q36681;Thái Bình;это частный случай понятия;1;1;from
Q36681;Thái Bình;код LCNAF;1;1;from
Q36681;Thái Bình;карта местонахождения;1;1;from
Q36681;Thái Bình;код GND;1;1;from
Q36681;Thái Bình;код VIAF;1;1;from
Q36685;Hà Giang;изображение;1;1;from
Q36685;Hà Giang;код VIAF;1;1;from
Q36685;Hà Giang;карта местонахождения;1;1;from
Q36685;Hà Giang;основная категория по теме;1;1;from
Q36690;Đắk Lắk;столица;1;1;from
Q36690;Đắk Lắk;это частный случай понятия;1;1;from
Q36690;Đắk Lắk;код LCNAF;1;1;from
Q36690;Đắk Lắk;карта местонахождения;1;1;from
Q36690;Đắk Lắk;код VIAF;1;1;from
Q36690;Đắk Lắk;изображение;1;1;from
Q36690;Đắk Lắk;государство;1;1;from
Q36690;Đắk Lắk;административно-территориальная единица;1;539;to
Q36685;Hà Giang;административно делится на;1;1;to
Q36685;Hà Giang;является столицей;1;1;to
Q36685;Hà Giang;общая тема категории;1;1;to
Q36685;Hà Giang;место рождения;1;1;to
Q36685;Hà Giang;происходит из;1;11;to
Q36685;Hà Giang;FIPS 10-4 (страны и регионы);1;1;from
Q36685;Hà Giang;это частный случай понятия;1;1;from
Q36685;Hà Giang;официальный сайт;1;1;from
Q36685;Hà Giang;Who's on First ID;1;1;from
Q36685;Hà Giang;код Freebase;1;1;from
Q36685;Hà Giang;географические координаты;1;1;from
Q36685;Hà Giang;категория на Викискладе;1;1;from
Q36685;Hà Giang;ISO 3166-2;1;1;from
Q36685;Hà Giang;используемый язык;1;12;from
