entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q80953;Kasaï-Oriental;административно-территориальная единица;1;20;to
Q671442;Bandundu Province;часовой пояс;1;1;from
Q826585;Tanganyika Province;государство;1;1;from
Q671442;Bandundu Province;общая тема категории;1;1;to
Q671442;Bandundu Province;является столицей;1;1;to
Q671442;Bandundu Province;местонахождение;1;1;to
Q671442;Bandundu Province;место рождения;1;4;to
Q671442;Bandundu Province;происходит из;1;24;to
Q671442;Bandundu Province;место в MusicBrainz;1;1;from
Q671442;Bandundu Province;баннер Викигида;1;1;from
Q671442;Bandundu Province;основная категория по теме;1;1;from
Q671442;Bandundu Province;FIPS 10-4 (страны и регионы);1;1;from
Q671442;Bandundu Province;Who's on First ID;1;1;from
Q671442;Bandundu Province;код Freebase;1;1;from
Q671442;Bandundu Province;географические координаты;1;1;from
Q671442;Bandundu Province;категория на Викискладе;1;1;from
Q831370;Orientale Province;площадь;1;1;from
Q671442;Bandundu Province;ISO 3166-2;1;1;from
Q671442;Bandundu Province;используемый язык;1;24;from
Q671442;Bandundu Province;площадь;1;1;from
Q671442;Bandundu Province;название на языке оригинала;1;1;from
Q671442;Bandundu Province;код GeoNames;1;1;from
Q671442;Bandundu Province;код в Большой каталанской энциклопедии;1;1;from
Q671442;Bandundu Province;численность населения;1;1;from
Q671442;Bandundu Province;имеет границы с;1;4;to
Q671442;Bandundu Province;столица;1;1;from
Q671442;Bandundu Province;это частный случай понятия;1;1;from
Q671442;Bandundu Province;карта местонахождения;1;1;from
Q671442;Bandundu Province;код GND;1;1;from
Q671442;Bandundu Province;изображение;1;1;from
Q826585;Tanganyika Province;карта местонахождения;1;1;from
Q826585;Tanganyika Province;это частный случай понятия;1;1;from
Q826585;Tanganyika Province;столица;1;1;from
Q826585;Tanganyika Province;код GeoNames;1;1;from
Q831370;Orientale Province;код GeoNames;1;1;from
Q831370;Orientale Province;официальное название;1;1;from
Q831370;Orientale Province;заменён на;1;4;from
Q831370;Orientale Province;численность населения;1;1;from
Q831370;Orientale Province;имеет границы с;1;2;to
Q831370;Orientale Province;столица;1;1;from
Q831370;Orientale Province;это частный случай понятия;1;1;from
Q831370;Orientale Province;карта местонахождения;1;1;from
Q831370;Orientale Province;государство;1;1;from
Q831370;Orientale Province;административно-территориальная единица;1;44;to
Q826585;Tanganyika Province;является столицей;1;1;to
Q826585;Tanganyika Province;место жительства;1;3;to
Q826585;Tanganyika Province;имеет границы с;1;1;to
Q826585;Tanganyika Province;местонахождение;1;1;to
Q826585;Tanganyika Province;место рождения;1;2;to
Q826585;Tanganyika Province;общая тема категории;1;3;to
Q826585;Tanganyika Province;административно-территориальная единица;1;9;to
Q826585;Tanganyika Province;заменён на;1;1;to
Q826585;Tanganyika Province;происходит из;1;5;to
Q826585;Tanganyika Province;основная категория по теме;1;1;from
Q826585;Tanganyika Province;официальный сайт;1;1;from
Q826585;Tanganyika Province;код Freebase;1;1;from
Q826585;Tanganyika Province;географические координаты;1;1;from
Q826585;Tanganyika Province;категория на Викискладе;1;1;from
Q826585;Tanganyika Province;ISO 3166-2;1;1;from
Q826585;Tanganyika Province;используемый язык;1;5;from
Q826585;Tanganyika Province;площадь;1;1;from
Q671442;Bandundu Province;государство;1;1;from
Q671442;Bandundu Province;административно делится на;1;1;to
Q671442;Bandundu Province;названо в честь;1;1;from
Q630900;Tshopo;это частный случай понятия;1;1;from
Q630900;Tshopo;государство;1;1;from
Q605672;Haut-Lomami District;является столицей;1;1;to
Q605672;Haut-Lomami District;общая тема категории;1;1;to
Q605672;Haut-Lomami District;административно-территориальная единица;1;5;to
Q605672;Haut-Lomami District;заменён на;1;1;to
Q605672;Haut-Lomami District;происходит из;1;2;to
Q605672;Haut-Lomami District;основная категория по теме;1;1;from
Q605672;Haut-Lomami District;код Freebase;1;1;from
Q605672;Haut-Lomami District;географические координаты;1;1;from
Q605672;Haut-Lomami District;категория на Викискладе;1;1;from
Q605672;Haut-Lomami District;ISO 3166-2;1;1;from
Q605672;Haut-Lomami District;используемый язык;1;2;from
Q605672;Haut-Lomami District;площадь;1;1;from
Q605672;Haut-Lomami District;код GeoNames;1;1;from
Q605672;Haut-Lomami District;столица;1;1;from
Q605672;Haut-Lomami District;это частный случай понятия;1;1;from
Q605672;Haut-Lomami District;карта местонахождения;1;1;from
Q605672;Haut-Lomami District;государство;1;1;from
Q488326;South Kivu;административно делится на;1;1;to
Q488326;South Kivu;общая тема категории;1;1;to
Q488326;South Kivu;категория объединяет темы;1;1;to
Q488326;South Kivu;является столицей;1;1;to
Q488326;South Kivu;основная тема;1;1;to
Q488326;South Kivu;место рождения;1;2;to
Q488326;South Kivu;происходит из;1;17;to
Q488326;South Kivu;место в MusicBrainz;1;1;from
Q488326;South Kivu;основная категория по теме;1;1;from
Q630900;Tshopo;карта местонахождения;1;1;from
Q630900;Tshopo;столица;1;1;from
Q671442;Bandundu Province;административно-территориальная единица;1;3057;to
Q630900;Tshopo;код GeoNames;1;1;from
Q652056;Bas-Uele;заменён на;1;1;to
Q652056;Bas-Uele;является столицей;1;1;to
Q652056;Bas-Uele;происходит из;1;7;to
Q652056;Bas-Uele;административно-территориальная единица;1;8;to
Q652056;Bas-Uele;основная категория по теме;1;1;from
Q652056;Bas-Uele;код Freebase;1;1;from
Q652056;Bas-Uele;географические координаты;1;1;from
Q652056;Bas-Uele;ISO 3166-2;1;1;from
Q652056;Bas-Uele;используемый язык;1;7;from
Q652056;Bas-Uele;площадь;1;1;from
Q652056;Bas-Uele;код GeoNames;1;1;from
Q652056;Bas-Uele;численность населения;1;1;from
Q652056;Bas-Uele;столица;1;1;from
Q652056;Bas-Uele;это частный случай понятия;1;1;from
Q652056;Bas-Uele;карта местонахождения;1;1;from
Q652056;Bas-Uele;государство;1;1;from
Q630900;Tshopo;заменён на;1;1;to
Q630900;Tshopo;общая тема категории;1;2;to
Q630900;Tshopo;имеет границы с;1;1;to
Q630900;Tshopo;административно-территориальная единица;1;8;to
Q630900;Tshopo;происходит из;1;7;to
Q630900;Tshopo;основная категория по теме;1;1;from
Q630900;Tshopo;географические координаты;1;1;from
Q630900;Tshopo;категория на Викискладе;1;1;from
Q630900;Tshopo;ISO 3166-2;1;1;from
Q630900;Tshopo;используемый язык;1;8;from
Q630900;Tshopo;площадь;1;1;from
Q831370;Orientale Province;название на языке оригинала;1;1;from
Q831370;Orientale Province;используемый язык;1;59;from
Q80953;Kasaï-Oriental;государство;1;1;from
Q1163429;Mai-Ndombe Province;общая тема категории;1;1;to
Q3091458;Kinshasa;происходит из;1;1;to
Q3091458;Kinshasa;место активности;1;1;to
Q3091458;Kinshasa;Who's on First ID;1;1;from
Q3091458;Kinshasa;географические координаты;1;1;from
Q3091458;Kinshasa;категория на Викискладе;1;1;from
Q3091458;Kinshasa;используемый язык;1;1;from
Q3091458;Kinshasa;площадь;1;1;from
Q3091458;Kinshasa;не путать с;1;1;to
Q3091458;Kinshasa;код GeoNames;1;1;from
Q3091458;Kinshasa;это частный случай понятия;1;2;from
Q3091458;Kinshasa;карта местонахождения;1;1;from
Q3091458;Kinshasa;государство;1;1;from
Q3091458;Kinshasa;административно-территориальная единица;1;2;to
Q1163429;Mai-Ndombe Province;административно-территориальная единица;1;2;to
Q831370;Orientale Province;ISO 3166-2;1;1;from
Q1163429;Mai-Ndombe Province;происходит из;1;5;to
Q1163429;Mai-Ndombe Province;основная категория по теме;1;1;from
Q1163429;Mai-Ndombe Province;код Freebase;1;1;from
