entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q37965;Boxcar Rapids;административно-территориальная единица;1;1;from
Q55571529;Big Eddy;географические координаты;1;1;from
Q55571529;Big Eddy;код GeoNames;1;1;from
Q55571529;Big Eddy;это частный случай понятия;1;1;from
Q55571529;Big Eddy;государство;1;1;from
Q55571529;Big Eddy;административно-территориальная единица;1;1;from
Q55571528;Big Eddy;географические координаты;1;1;from
Q55571528;Big Eddy;код GNIS;1;1;from
Q55571528;Big Eddy;код GeoNames;1;1;from
Q55571528;Big Eddy;это частный случай понятия;1;1;from
Q55571528;Big Eddy;государство;1;1;from
Q55571528;Big Eddy;административно-территориальная единица;1;1;from
Q55571526;Big Eddy;географические координаты;1;1;from
Q55571526;Big Eddy;код GNIS;1;1;from
Q55571526;Big Eddy;код GeoNames;1;1;from
Q55571526;Big Eddy;это частный случай понятия;1;1;from
Q55571526;Big Eddy;государство;1;1;from
Q55571526;Big Eddy;административно-территориальная единица;1;1;from
Q55571523;Big Eddy;географические координаты;1;1;from
Q55571523;Big Eddy;код GNIS;1;1;from
Q55571523;Big Eddy;код GeoNames;1;1;from
Q55571529;Big Eddy;код GNIS;1;1;from
Q55571530;Big Elm Eddy;административно-территориальная единица;1;1;from
Q55571523;Big Eddy;государство;1;1;from
Q55571530;Big Elm Eddy;государство;1;1;from
Q55571542;Big Shoals;это частный случай понятия;1;1;from
Q55571542;Big Shoals;государство;1;1;from
Q55571542;Big Shoals;административно-территориальная единица;1;1;from
Q55571540;Big Shoals;географические координаты;1;1;from
Q55571540;Big Shoals;код GNIS;1;1;from
Q55571540;Big Shoals;код GeoNames;1;1;from
Q55571540;Big Shoals;это частный случай понятия;1;1;from
Q55571540;Big Shoals;государство;1;1;from
Q55571540;Big Shoals;административно-территориальная единица;1;1;from
Q55571535;Big Rapids;географические координаты;1;1;from
Q55571535;Big Rapids;код GNIS;1;1;from
Q55571535;Big Rapids;код GeoNames;1;1;from
Q55571535;Big Rapids;это частный случай понятия;1;1;from
Q55571535;Big Rapids;государство;1;1;from
Q55571535;Big Rapids;административно-территориальная единица;1;1;from
Q55571530;Big Elm Eddy;географические координаты;1;1;from
Q55571530;Big Elm Eddy;код GNIS;1;1;from
Q55571530;Big Elm Eddy;код GeoNames;1;1;from
Q55571530;Big Elm Eddy;это частный случай понятия;1;1;from
Q55571523;Big Eddy;это частный случай понятия;1;1;from
Q55571523;Big Eddy;административно-территориальная единица;1;1;from
Q55576630;Buck Shoals;код GeoNames;1;1;from
Q55570926;Berry Shoals;государство;1;1;from
Q55570905;Q55570905;географические координаты;1;1;from
Q55570905;Q55570905;код GeoNames;1;1;from
Q55570905;Q55570905;это частный случай понятия;1;1;from
Q55570905;Q55570905;государство;1;1;from
Q55570905;Q55570905;административно-территориальная единица;1;1;from
Q55570820;Q55570820;географические координаты;1;1;from
Q55570820;Q55570820;код GeoNames;1;1;from
Q55570820;Q55570820;это частный случай понятия;1;1;from
Q55570820;Q55570820;государство;1;1;from
Q55570820;Q55570820;административно-территориальная единица;1;1;from
Q55570444;Q55570444;географические координаты;1;1;from
Q55570444;Q55570444;код GNS;1;1;from
Q55570444;Q55570444;код GeoNames;1;1;from
Q55570444;Q55570444;это частный случай понятия;1;1;from
Q55570444;Q55570444;государство;1;1;from
Q55570444;Q55570444;административно-территориальная единица;1;1;from
Q55570382;Q55570382;географические координаты;1;1;from
Q55570382;Q55570382;код GNS;1;1;from
Q55570382;Q55570382;код GeoNames;1;1;from
Q55570926;Berry Shoals;административно-территориальная единица;1;1;from
Q55570926;Berry Shoals;это частный случай понятия;1;1;from
Q55571521;Big Black Rapids;географические координаты;1;1;from
Q55570926;Berry Shoals;код GeoNames;1;1;from
Q55571521;Big Black Rapids;код GNIS;1;1;from
Q55571521;Big Black Rapids;код GeoNames;1;1;from
Q55571521;Big Black Rapids;это частный случай понятия;1;1;from
Q55571521;Big Black Rapids;государство;1;1;from
Q55571521;Big Black Rapids;административно-территориальная единица;1;1;from
Q55571455;Bickerstaff Eddy;географические координаты;1;1;from
Q55571455;Bickerstaff Eddy;код GNIS;1;1;from
Q55571455;Bickerstaff Eddy;код GeoNames;1;1;from
Q55571455;Bickerstaff Eddy;это частный случай понятия;1;1;from
Q55571455;Bickerstaff Eddy;государство;1;1;from
Q55571455;Bickerstaff Eddy;административно-территориальная единица;1;1;from
Q55570982;Q55570982;географические координаты;1;1;from
Q55570982;Q55570982;код GNS;1;1;from
Q55570982;Q55570982;код GeoNames;1;1;from
Q55570982;Q55570982;это частный случай понятия;1;1;from
Q55570982;Q55570982;государство;1;1;from
Q55570982;Q55570982;административно-территориальная единица;1;1;from
Q55570926;Berry Shoals;географические координаты;1;1;from
Q55570926;Berry Shoals;код GNIS;1;1;from
Q55571542;Big Shoals;код GeoNames;1;1;from
Q55571542;Big Shoals;код GNIS;1;1;from
Q55571542;Big Shoals;географические координаты;1;1;from
Q55576241;Brooks Shoal;код GeoNames;1;1;from
Q55576241;Brooks Shoal;государство;1;1;from
Q55576241;Brooks Shoal;административно-территориальная единица;1;1;from
Q55575865;Breland Eddy;географические координаты;1;1;from
Q55575865;Breland Eddy;код GNIS;1;1;from
Q55575865;Breland Eddy;код GeoNames;1;1;from
Q55575865;Breland Eddy;это частный случай понятия;1;1;from
Q55575865;Breland Eddy;государство;1;1;from
Q55575865;Breland Eddy;административно-территориальная единица;1;1;from
Q55574535;Q55574535;географические координаты;1;1;from
Q55574535;Q55574535;код GNS;1;1;from
Q55574535;Q55574535;код GeoNames;1;1;from
Q55574535;Q55574535;это частный случай понятия;1;1;from
Q55574535;Q55574535;государство;1;1;from
Q55574535;Q55574535;административно-территориальная единица;1;1;from
Q55574391;Bombazee Rips;географические координаты;1;1;from
Q55574391;Bombazee Rips;код GNIS;1;1;from
Q55574391;Bombazee Rips;код GeoNames;1;1;from
Q55574391;Bombazee Rips;это частный случай понятия;1;1;from
Q55574391;Bombazee Rips;государство;1;1;from
Q55576241;Brooks Shoal;это частный случай понятия;1;1;from
Q55576241;Brooks Shoal;код GNIS;1;1;from
Q55571620;Q55571620;государство;1;1;from
Q55576241;Brooks Shoal;географические координаты;1;1;from
Q55576630;Buck Shoals;государство;1;1;from
Q55576630;Buck Shoals;административно-территориальная единица;1;1;from
Q55576441;Bryant Shoals;географические координаты;1;1;from
Q55576441;Bryant Shoals;код GNIS;1;1;from
Q55576441;Bryant Shoals;код GeoNames;1;1;from
Q55576441;Bryant Shoals;это частный случай понятия;1;1;from
Q55576441;Bryant Shoals;государство;1;1;from
Q55576441;Bryant Shoals;административно-территориальная единица;1;1;from
Q55576273;Q55576273;географические координаты;1;1;from
Q55576273;Q55576273;код GeoNames;1;1;from
Q55576273;Q55576273;это частный случай понятия;1;1;from
Q55576273;Q55576273;государство;1;1;from
Q55576273;Q55576273;административно-территориальная единица;1;1;from
Q55576258;Brown Riffles;географические координаты;1;1;from
Q55576258;Brown Riffles;код GNIS;1;1;from
Q55576258;Brown Riffles;код GeoNames;1;1;from
Q55576258;Brown Riffles;это частный случай понятия;1;1;from
