entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q868515;Labé Region;административно-территориальная единица;1;7;to
Q870166;Faranah Region;имеет границы с;1;4;to
Q870191;Kankan Region;используемый язык;1;4;from
Q870191;Kankan Region;код BabelNet;1;1;from
Q870191;Kankan Region;площадь;1;1;from
Q870191;Kankan Region;название на языке оригинала;1;1;from
Q870191;Kankan Region;код TGN;1;1;from
Q870191;Kankan Region;код GeoNames;1;1;from
Q870191;Kankan Region;код в Большой каталанской энциклопедии;1;1;from
Q870191;Kankan Region;численность населения;1;1;from
Q870191;Kankan Region;имеет границы с;1;2;to
Q870191;Kankan Region;столица;1;1;from
Q870191;Kankan Region;это частный случай понятия;1;1;from
Q870191;Kankan Region;карта местонахождения;1;1;from
Q870191;Kankan Region;государство;1;1;from
Q870191;Kankan Region;административно-территориальная единица;1;436;to
Q870166;Faranah Region;административно делится на;1;1;to
Q870166;Faranah Region;общая тема категории;1;1;to
Q870166;Faranah Region;является столицей;1;1;to
Q870166;Faranah Region;место рождения;1;1;to
Q870166;Faranah Region;происходит из;1;8;to
Q870166;Faranah Region;место в MusicBrainz;1;1;from
Q870166;Faranah Region;основная категория по теме;1;1;from
Q870166;Faranah Region;код Freebase;1;1;from
Q870166;Faranah Region;географические координаты;1;1;from
Q870166;Faranah Region;ISO 3166-2;1;1;from
Q870166;Faranah Region;используемый язык;1;8;from
Q870166;Faranah Region;площадь;1;1;from
Q870166;Faranah Region;не путать с;1;1;to
Q870166;Faranah Region;код TGN;1;1;from
Q870166;Faranah Region;код GeoNames;1;1;from
Q870191;Kankan Region;ISO 3166-2;1;1;from
Q870191;Kankan Region;географические координаты;1;1;from
Q870191;Kankan Region;код Freebase;1;1;from
Q1043650;Mamou Region;ISO 3166-2;1;1;from
Q1373230;Conakry region;географические координаты;1;1;from
Q1373230;Conakry region;категория на Викискладе;1;1;from
Q1373230;Conakry region;код в Большой каталанской энциклопедии;1;1;from
Q1373230;Conakry region;это частный случай понятия;1;1;from
Q1373230;Conakry region;карта местонахождения;1;1;from
Q1373230;Conakry region;государство;1;1;from
Q1043650;Mamou Region;административно делится на;1;1;to
Q1043650;Mamou Region;общая тема категории;1;1;to
Q1043650;Mamou Region;является столицей;1;1;to
Q1043650;Mamou Region;происходит из;1;2;to
Q1043650;Mamou Region;основная категория по теме;1;1;from
Q1043650;Mamou Region;код Freebase;1;1;from
Q1043650;Mamou Region;географические координаты;1;1;from
Q1043650;Mamou Region;используемый язык;1;2;from
Q870191;Kankan Region;основная категория по теме;1;1;from
Q1043650;Mamou Region;площадь;1;1;from
Q1043650;Mamou Region;код TGN;1;1;from
Q1043650;Mamou Region;код GeoNames;1;1;from
Q1043650;Mamou Region;имеет границы с;1;3;to
Q1043650;Mamou Region;столица;1;1;from
Q1043650;Mamou Region;это частный случай понятия;1;1;from
Q1043650;Mamou Region;карта местонахождения;1;1;from
Q1043650;Mamou Region;государство;1;1;from
Q1043650;Mamou Region;административно-территориальная единица;1;4;to
Q870191;Kankan Region;административно делится на;1;1;to
Q870191;Kankan Region;является столицей;1;1;to
Q870191;Kankan Region;общая тема категории;1;1;to
