entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q178449;Analanjirofo;административно-территориальная единица;1;14;to
Q1352996;Alaotra-Mangoro;столица;1;1;from
Q1352996;Alaotra-Mangoro;карта местонахождения;1;1;from
Q1352996;Alaotra-Mangoro;государство;1;1;from
Q1344087;Menabe;общая тема категории;1;1;to
Q1344087;Menabe;административно-территориальная единица;1;11;to
Q1344087;Menabe;основная категория по теме;1;1;from
Q1344087;Menabe;Who's on First ID;1;1;from
Q1344087;Menabe;код Freebase;1;1;from
Q1344087;Menabe;географические координаты;1;1;from
Q1344087;Menabe;часовой пояс;1;1;from
Q1344087;Menabe;категория на Викискладе;1;1;from
Q1344087;Menabe;площадь;1;1;from
Q1344087;Menabe;код GeoNames;1;1;from
Q1344087;Menabe;столица;1;1;from
Q1344087;Menabe;это частный случай понятия;1;1;from
Q1344087;Menabe;код LCNAF;1;1;from
Q1344087;Menabe;карта местонахождения;1;1;from
Q1344087;Menabe;код VIAF;1;1;from
Q1352996;Alaotra-Mangoro;это частный случай понятия;1;1;from
Q1352996;Alaotra-Mangoro;изображение герба;1;1;from
Q1165783;Sofia Region;общая тема категории;1;1;to
Q1352996;Alaotra-Mangoro;код GeoNames;1;1;from
Q1440747;Haute Matsiatra;категория на Викискладе;1;1;from
Q1440747;Haute Matsiatra;площадь;1;1;from
Q1440747;Haute Matsiatra;код GeoNames;1;1;from
Q1440747;Haute Matsiatra;столица;1;1;from
Q1440747;Haute Matsiatra;это частный случай понятия;1;1;from
Q1440747;Haute Matsiatra;карта местонахождения;1;1;from
Q1440747;Haute Matsiatra;изображение;1;1;from
Q1440747;Haute Matsiatra;государство;1;1;from
Q1352996;Alaotra-Mangoro;общая тема категории;1;1;to
Q1352996;Alaotra-Mangoro;категория объединяет темы;1;1;to
Q1352996;Alaotra-Mangoro;административно-территориальная единица;1;8;to
Q1352996;Alaotra-Mangoro;основная категория по теме;1;1;from
Q1352996;Alaotra-Mangoro;Who's on First ID;1;1;from
Q1352996;Alaotra-Mangoro;код Freebase;1;1;from
Q1352996;Alaotra-Mangoro;географические координаты;1;1;from
Q1352996;Alaotra-Mangoro;часовой пояс;1;1;from
Q1352996;Alaotra-Mangoro;площадь;1;1;from
Q1344087;Menabe;государство;1;1;from
Q1165783;Sofia Region;административно-территориальная единица;1;11;to
Q178449;Analanjirofo;государство;1;1;from
