entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q182860;Parco naturale regionale dell'Antola;административно-территориальная единица;1;1;from
Q7186499;Phleger Estate;государство;1;1;from
Q7122701;Pacific Spirit Regional Park;государство;1;1;from
Q7122701;Pacific Spirit Regional Park;изображение;1;1;from
Q7122701;Pacific Spirit Regional Park;это частный случай понятия;1;1;from
Q7122701;Pacific Spirit Regional Park;категория на Викискладе;1;1;from
Q7122701;Pacific Spirit Regional Park;географические координаты;1;1;from
Q7127918;Palliser Regional Park;административно-территориальная единица;1;1;from
Q7127918;Palliser Regional Park;государство;1;1;from
Q7127918;Palliser Regional Park;это частный случай понятия;1;1;from
Q7127918;Palliser Regional Park;код GeoNames;1;1;from
Q7127918;Palliser Regional Park;категория на Викискладе;1;1;from
Q7127918;Palliser Regional Park;географические координаты;1;1;from
Q7186499;Phleger Estate;административно-территориальная единица;1;1;from
Q7186499;Phleger Estate;это частный случай понятия;1;1;from
Q7056127;North Mississippi Regional Park;географические координаты;1;1;from
Q7186499;Phleger Estate;географические координаты;1;1;from
Q7208006;Point Defiance Park;административно-территориальная единица;1;1;from
Q7208006;Point Defiance Park;государство;1;1;from
Q7208006;Point Defiance Park;изображение;1;1;from
Q7208006;Point Defiance Park;код VIAF;1;1;from
Q7208006;Point Defiance Park;это частный случай понятия;1;2;from
Q7208006;Point Defiance Park;код GeoNames;1;1;from
Q7208006;Point Defiance Park;категория на Викискладе;1;1;from
Q7208006;Point Defiance Park;географические координаты;1;1;from
Q7208006;Point Defiance Park;основная категория по теме;1;1;from
Q7208006;Point Defiance Park;конечная;1;1;to
Q7208006;Point Defiance Park;общая тема категории;1;1;to
Q7122701;Pacific Spirit Regional Park;административно-территориальная единица;1;1;from
Q7116321;Oyster Bay Regional Shoreline;географические координаты;1;1;from
Q7116321;Oyster Bay Regional Shoreline;дата основания/создания/возникновения;1;1;from
Q7116321;Oyster Bay Regional Shoreline;код GeoNames;1;1;from
Q7075725;Occoquan Regional Park;административно-территориальная единица;1;1;from
Q7075725;Occoquan Regional Park;оператор;1;1;from
Q7075725;Occoquan Regional Park;государство;1;1;from
Q7075725;Occoquan Regional Park;изображение;1;1;from
Q7075725;Occoquan Regional Park;это частный случай понятия;1;1;from
Q7075725;Occoquan Regional Park;код темы Quora;1;1;from
Q7075725;Occoquan Regional Park;категория на Викискладе;1;1;from
Q7075725;Occoquan Regional Park;географические координаты;1;1;from
Q7081087;Ohlone Wilderness;административно-территориальная единица;1;1;from
Q7081087;Ohlone Wilderness;государство;1;1;from
Q7081087;Ohlone Wilderness;изображение;1;1;from
Q7081087;Ohlone Wilderness;это частный случай понятия;1;1;from
Q7081087;Ohlone Wilderness;географические координаты;1;1;from
Q7115142;Oxbow Regional Park;административно-территориальная единица;1;1;from
Q7115142;Oxbow Regional Park;оператор;1;1;from
Q7115142;Oxbow Regional Park;государство;1;1;from
Q7115142;Oxbow Regional Park;изображение;1;1;from
Q7115142;Oxbow Regional Park;это частный случай понятия;1;1;from
Q7115142;Oxbow Regional Park;код GeoNames;1;1;from
Q7115142;Oxbow Regional Park;категория на Викискладе;1;1;from
Q7115142;Oxbow Regional Park;географические координаты;1;1;from
Q7115142;Oxbow Regional Park;код Freebase;1;1;from
Q7116321;Oyster Bay Regional Shoreline;административно-территориальная единица;1;1;from
Q7116321;Oyster Bay Regional Shoreline;государство;1;1;from
