entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q59119;Holstein Switzerland;административно-территориальная единица;1;1;from
Q1804182;Q1804182;государство;1;1;from
Q7877450;Uemachi Plateau;государство;1;1;from
Q7877450;Uemachi Plateau;административно-территориальная единица;1;1;from
Q7114287;Owari Hills;географические координаты;1;1;from
Q7114287;Owari Hills;это частный случай понятия;1;1;from
Q7114287;Owari Hills;государство;1;1;from
Q1804182;Q1804182;часть от;1;1;to
Q1804182;Q1804182;находится в пределах природно-географического объекта;1;1;from
Q1804182;Q1804182;это частный случай понятия;1;2;from
Q1804182;Q1804182;карта местонахождения;1;1;from
Q1804182;Q1804182;административно-территориальная единица;1;1;from
Q1502721;Tama Hills;высота над уровнем моря;1;1;from
Q1555254;Q1555254;состоит из;1;1;to
Q1555254;Q1555254;часть от;1;1;to
Q1555254;Q1555254;это частный случай понятия;1;2;from
Q1555254;Q1555254;государство;1;2;from
Q1502721;Tama Hills;общая тема категории;1;1;to
Q1502721;Tama Hills;основная категория по теме;1;1;from
Q1502721;Tama Hills;код Freebase;1;1;from
Q1502721;Tama Hills;географические координаты;1;1;from
Q1502721;Tama Hills;категория на Викискладе;1;1;from
Q7877450;Uemachi Plateau;это частный случай понятия;1;1;from
Q7877450;Uemachi Plateau;географические координаты;1;1;from
Q7877450;Uemachi Plateau;находится в пределах природно-географического объекта;1;1;to
Q10860565;Q10860565;государство;1;1;from
Q64524450;Q64524450;горный хребет;1;1;from
Q64524450;Q64524450;высота над уровнем моря;1;1;from
Q64524450;Q64524450;это частный случай понятия;1;2;from
Q64524450;Q64524450;государство;1;1;from
Q64524450;Q64524450;названо в честь;1;1;from
Q64524450;Q64524450;административно-территориальная единица;1;1;from
Q48752330;Momoyama;находится в пределах природно-географического объекта;1;1;to
Q48752330;Momoyama;это частный случай понятия;1;1;from
Q48752330;Momoyama;государство;1;1;from
Q48752330;Momoyama;названо в честь;1;1;to
Q48752330;Momoyama;административно-территориальная единица;1;1;from
Q11464828;Q11464828;географические координаты;1;1;from
Q11464828;Q11464828;это частный случай понятия;1;1;from
Q11464828;Q11464828;государство;1;1;from
Q11464828;Q11464828;административно-территориальная единица;1;1;from
Q11353411;Q11353411;это частный случай понятия;1;1;from
Q11353411;Q11353411;государство;1;1;from
Q10860565;Q10860565;географические координаты;1;1;from
Q10860565;Q10860565;это частный случай понятия;1;1;from
Q1502721;Tama Hills;площадь;1;1;from
Q1502721;Tama Hills;это частный случай понятия;1;1;from
Q59119;Holstein Switzerland;государство;1;1;from
Q306950;Eastern Upper Lusatia;государство;1;2;from
Q306950;Eastern Upper Lusatia;основная категория по теме;1;1;from
Q306950;Eastern Upper Lusatia;находится в пределах природно-географического объекта;1;1;to
Q306950;Eastern Upper Lusatia;код NKC;1;1;from
Q306950;Eastern Upper Lusatia;код Freebase;1;1;from
Q306950;Eastern Upper Lusatia;состоит из;1;2;to
Q306950;Eastern Upper Lusatia;Czech Geomorphological Unit Code;1;1;from
Q306950;Eastern Upper Lusatia;часть от;1;5;to
Q306950;Eastern Upper Lusatia;это частный случай понятия;1;5;from
Q306950;Eastern Upper Lusatia;изображение;1;2;from
Q306950;Eastern Upper Lusatia;административно-территориальная единица;1;2;from
Q1502721;Tama Hills;изображение;1;1;from
Q59119;Holstein Switzerland;часть от;1;1;to
Q59119;Holstein Switzerland;находится в пределах природно-географического объекта;1;2;to
Q59119;Holstein Switzerland;официальный сайт;1;1;from
Q59119;Holstein Switzerland;код Freebase;1;1;from
Q59119;Holstein Switzerland;географические координаты;1;1;from
Q59119;Holstein Switzerland;категория на Викискладе;1;1;from
Q59119;Holstein Switzerland;код GeoNames;1;1;from
Q59119;Holstein Switzerland;это частный случай понятия;1;1;from
Q59119;Holstein Switzerland;изображение;1;1;from
Q306950;Eastern Upper Lusatia;общая тема категории;1;1;to
Q835695;Kraichgau;административно-территориальная единица;1;1;from
Q835695;Kraichgau;государство;1;1;from
Q835695;Kraichgau;код VIAF;1;1;from
Q1502721;Tama Hills;государство;1;1;from
Q1502721;Tama Hills;административно-территориальная единица;1;1;from
Q835695;Kraichgau;общая тема категории;1;1;to
Q835695;Kraichgau;основная тема;1;1;to
Q835695;Kraichgau;место рождения;1;1;to
Q835695;Kraichgau;часть от;1;3;to
Q835695;Kraichgau;находится в пределах природно-географического объекта;1;279;to
Q835695;Kraichgau;основная категория по теме;1;1;from
Q835695;Kraichgau;код NKC;1;1;from
Q835695;Kraichgau;код Freebase;1;1;from
Q835695;Kraichgau;географические координаты;1;1;from
Q835695;Kraichgau;категория на Викискладе;1;1;from
Q835695;Kraichgau;код BNF;1;1;from
Q835695;Kraichgau;код GAMEO;1;1;from
Q835695;Kraichgau;код TGN;1;1;from
Q835695;Kraichgau;код GeoNames;1;1;from
Q835695;Kraichgau;код в энциклопедии «Британника онлайн»;1;1;from
Q835695;Kraichgau;это частный случай понятия;1;1;from
Q835695;Kraichgau;код GND;1;1;from
Q64524450;Q64524450;географические координаты;1;1;from
