entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q67189795;Elambulassery Nalussery Temple;административно-территориальная единица;1;1;from
Q6783718;Masonic Temple;архитектор;1;1;from
Q6783718;Masonic Temple;archINFORM project ID;1;1;from
Q6783718;Masonic Temple;географические координаты;1;1;from
Q6783718;Masonic Temple;код NRHP;1;1;from
Q6783722;Masonic Temple;административно-территориальная единица;1;1;from
Q6783722;Masonic Temple;государство;1;1;from
Q6783722;Masonic Temple;изображение;1;1;from
Q6783722;Masonic Temple;это частный случай понятия;1;1;from
Q6783722;Masonic Temple;статус наследия;1;1;from
Q6783722;Masonic Temple;archINFORM project ID;1;1;from
Q6783722;Masonic Temple;географические координаты;1;1;from
Q6783722;Masonic Temple;код NRHP;1;1;from
Q6783738;Masonic Temple;административно-территориальная единица;1;1;from
Q6783738;Masonic Temple;государство;1;1;from
Q6783738;Masonic Temple;это частный случай понятия;1;1;from
Q6783738;Masonic Temple;географические координаты;1;1;from
Q6783741;Masonic Temple;административно-территориальная единица;1;1;from
Q6783741;Masonic Temple;государство;1;1;from
Q6783741;Masonic Temple;изображение;1;1;from
Q6783741;Masonic Temple;это частный случай понятия;1;1;from
Q6783741;Masonic Temple;статус наследия;1;1;from
Q6783741;Masonic Temple;archINFORM project ID;1;1;from
Q6783718;Masonic Temple;статус наследия;1;1;from
Q6783718;Masonic Temple;это частный случай понятия;1;1;from
Q6783741;Masonic Temple;код NRHP;1;1;from
Q6783718;Masonic Temple;изображение;1;1;from
Q6663168;Lo Pan Temple;это частный случай понятия;1;1;from
Q6663168;Lo Pan Temple;категория на Викискладе;1;1;from
Q6663168;Lo Pan Temple;географические координаты;1;1;from
Q6663168;Lo Pan Temple;категория Викисклада для интерьера элемента;1;1;from
Q6663168;Lo Pan Temple;категория объединяет темы;1;1;to
Q6689499;Louisville Kentucky Temple;административно-территориальная единица;1;1;from
Q6689499;Louisville Kentucky Temple;отношение к религии;1;1;from
Q6689499;Louisville Kentucky Temple;архитектурный стиль;1;1;from
Q6689499;Louisville Kentucky Temple;государство;1;1;from
Q6689499;Louisville Kentucky Temple;изображение;1;1;from
Q6689499;Louisville Kentucky Temple;это частный случай понятия;1;2;from
Q6689499;Louisville Kentucky Temple;географические координаты;1;1;from
Q6743404;Malibu Hindu Temple;административно-территориальная единица;1;1;from
Q6743404;Malibu Hindu Temple;государство;1;1;from
Q6743404;Malibu Hindu Temple;изображение;1;1;from
Q6743404;Malibu Hindu Temple;это частный случай понятия;1;1;from
Q6743404;Malibu Hindu Temple;категория на Викискладе;1;1;from
Q6743404;Malibu Hindu Temple;географические координаты;1;1;from
Q6783718;Masonic Temple;административно-территориальная единица;1;1;from
Q6783718;Masonic Temple;архитектурный стиль;1;1;from
Q6783718;Masonic Temple;государство;1;1;from
Q6783741;Masonic Temple;географические координаты;1;1;from
Q6783742;Masonic Temple;административно-территориальная единица;1;1;from
Q7128466;Palmyra New York Temple;это частный случай понятия;1;1;from
Q6805321;Medford Oregon Temple;это частный случай понятия;1;1;from
Q6805321;Medford Oregon Temple;географические координаты;1;1;from
Q6943826;Muthappan Temple;административно-территориальная единица;1;1;from
Q6943826;Muthappan Temple;государство;1;1;from
Q6943826;Muthappan Temple;изображение;1;1;from
Q6943826;Muthappan Temple;это частный случай понятия;1;1;from
Q6943826;Muthappan Temple;указания, как добраться;1;1;from
Q6943826;Muthappan Temple;категория на Викискладе;1;1;from
Q6943826;Muthappan Temple;географические координаты;1;1;from
Q7077371;Odd Fellows Temple;административно-территориальная единица;1;1;from
Q7077371;Odd Fellows Temple;государство;1;1;from
Q7077371;Odd Fellows Temple;изображение;1;1;from
Q7077371;Odd Fellows Temple;это частный случай понятия;1;1;from
Q7077371;Odd Fellows Temple;архитектор;1;1;from
Q7077371;Odd Fellows Temple;заказчик произведения;1;1;from
Q7077371;Odd Fellows Temple;дата основания/создания/возникновения;1;1;from
Q7077371;Odd Fellows Temple;географические координаты;1;1;from
Q7128466;Palmyra New York Temple;административно-территориальная единица;1;2;from
Q7128466;Palmyra New York Temple;архитектурный стиль;1;1;from
Q7128466;Palmyra New York Temple;государство;1;1;from
Q7128466;Palmyra New York Temple;изображение;1;1;from
Q7128466;Palmyra New York Temple;код VIAF;1;1;from
Q6805321;Medford Oregon Temple;категория на Викискладе;1;1;from
Q6805321;Medford Oregon Temple;изображение;1;1;from
Q6783742;Masonic Temple;архитектурный стиль;1;1;from
Q6805321;Medford Oregon Temple;государство;1;1;from
Q6783742;Masonic Temple;государство;1;1;from
Q6783742;Masonic Temple;изображение;1;1;from
Q6783742;Masonic Temple;это частный случай понятия;1;1;from
Q6783742;Masonic Temple;статус наследия;1;1;from
Q6783742;Masonic Temple;archINFORM project ID;1;1;from
Q6783742;Masonic Temple;географические координаты;1;1;from
Q6783742;Masonic Temple;код NRHP;1;1;from
