entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q1492;Barcelona;административно-территориальная единица;1;4688;to
Q14960;Brno;соединяется с;1;1;to
Q14960;Brno;основная тема;1;5;to
Q14960;Brno;изображённый объект;1;3;to
Q14960;Brno;категория объединяет темы;1;26;to
Q14960;Brno;место съёмок;1;2;to
Q14960;Brno;награда от;1;1;to
Q14960;Brno;основные направления;1;2;to
Q14960;Brno;начало пути;1;2;to
Q14960;Brno;пункт назначения;1;1;to
Q14960;Brno;обслуживаемый город;1;1;to
Q14960;Brno;юрисдикция распространяется на;1;2;to
Q14960;Brno;история происходит в месте;1;1;to
Q14960;Brno;официальная резиденция;1;1;to
Q14960;Brno;общая тема категории;1;1;to
Q14960;Brno;предположительно одно и то же с;1;1;to
Q14960;Brno;элемент для смысла;1;1;to
Q35997;İzmir;административно-территориальная единица;1;328;to
Q35997;İzmir;административно делится на;1;11;from
Q35997;İzmir;предыдущее по порядку;1;1;from
Q14960;Brno;расположение конечной точки;1;8;to
Q14960;Brno;место погребения;1;20;to
Q14960;Brno;ключевое событие;1;1;from
Q14960;Brno;место рождения;1;2410;to
Q14960;Brno;транскрипция в МФА;1;1;from
Q14960;Brno;основная категория по теме;1;1;from
Q14960;Brno;галерея на Викискладе;1;1;from
Q14960;Brno;баннер Викигида;1;1;from
Q14960;Brno;электронная почта;1;1;from
Q14960;Brno;место в MusicBrainz;1;1;from
Q14960;Brno;dmoz;1;1;from
Q14960;Brno;пример использования свойства;1;1;to
Q14960;Brno;место жительства;1;41;to
Q14960;Brno;место создания;1;17;to
Q14960;Brno;место смерти;1;1267;to
Q14960;Brno;местонахождение;1;121;to
Q14960;Brno;место активности;1;59;to
Q14960;Brno;столица;1;9;to
Q14960;Brno;материнская компания (организация, учреждение);1;42;to
Q14960;Brno;место публикации;1;166;to
Q14960;Brno;названо в честь;1;159;to
Q14960;Brno;владельцем является;1;8;to
Q35997;İzmir;государство;1;6;from
Q35997;İzmir;изображение;1;1;from
Q35997;İzmir;город-побратим;1;31;to
Q35997;İzmir;код места в Foursquare;1;1;from
Q35997;İzmir;категория для людей, родившихся здесь;1;1;from
Q35997;İzmir;категория для людей, умерших здесь;1;1;from
Q35997;İzmir;этнохороним;1;2;from
Q35997;İzmir;код GeoNames;1;1;from
Q35997;İzmir;название на языке оригинала;1;1;from
Q35997;İzmir;категория фильмов, снятых в этом месте;1;1;from
Q35997;İzmir;категория для людей, похороненных здесь;1;1;from
Q35997;İzmir;категория для людей, связанных с местностью;1;1;from
Q35997;İzmir;код места в Facebook;1;1;from
Q35997;İzmir;находится на берегу водоёма;1;3;from
Q35997;İzmir;учётная запись в Твиттере;1;2;from
Q35997;İzmir;учётная запись в Instagram;1;1;from
Q35997;İzmir;учётная запись Facebook;1;1;from
Q35997;İzmir;высота над уровнем моря;1;1;from
Q35997;İzmir;площадь;1;1;from
Q35997;İzmir;история темы;1;1;from
Q35997;İzmir;код YSO;1;1;from
Q35997;İzmir;классификация климата Кёппена;1;1;from
Q35997;İzmir;прозвище;1;1;from
Q35997;İzmir;официальное название;1;1;from
