entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q985;Baden-Württemberg;административно-территориальная единица;1;6340;to
Q1205;Thuringia;государство;1;5;to
Q1205;Thuringia;изображение флага;1;1;from
Q1205;Thuringia;столица;1;1;from
Q1205;Thuringia;это частный случай понятия;1;1;from
Q1205;Thuringia;код LCNAF;1;1;from
Q1205;Thuringia;карта местонахождения;1;1;from
Q1205;Thuringia;описание герба;1;1;from
Q1205;Thuringia;код GND;1;1;from
Q1205;Thuringia;код VIAF;1;1;from
Q1205;Thuringia;код ISNI;1;1;from
Q1205;Thuringia;высший судебный орган;1;1;from
Q1205;Thuringia;законодательный орган;1;1;from
Q1205;Thuringia;изображение;1;1;from
Q1205;Thuringia;полученные награды;1;2;from
Q1202;Saxony;категория на Викискладе;1;1;from
Q1205;Thuringia;описание флага;1;1;from
Q1205;Thuringia;предыдущее по порядку;1;1;from
Q1205;Thuringia;административно делится на;1;1;to
Q1205;Thuringia;названо в честь;1;5;to
Q1205;Thuringia;административно-территориальная единица;1;2899;to
Q1202;Saxony;заменён на;1;4;to
Q1202;Saxony;расположение штаб-квартиры;1;1;to
Q1202;Saxony;является столицей;1;1;to
Q1202;Saxony;лицевая сторона для;1;1;to
Q1202;Saxony;общая тема категории;1;1;to
Q1202;Saxony;состоит из;1;1;to
Q1202;Saxony;подписавшийся;1;1;to
Q1205;Thuringia;имеет границы с;1;7;to
Q1205;Thuringia;глава правительства;1;9;from
Q1205;Thuringia;главный регулирующий текст;1;1;from
Q1205;Thuringia;изображение герба;1;1;from
Q1205;Thuringia;код BNF;1;1;from
Q1205;Thuringia;код BabelNet;1;1;from
Q1205;Thuringia;код YSO;1;1;from
Q1205;Thuringia;история темы;1;1;from
Q1205;Thuringia;площадь;1;1;from
Q1205;Thuringia;высота над уровнем моря;1;1;from
Q1205;Thuringia;категория для людей, связанных с местностью;1;1;from
Q1205;Thuringia;категория для людей, похороненных здесь;1;1;from
Q1205;Thuringia;категория фильмов, снятых в этом месте;1;1;from
Q1205;Thuringia;название на языке оригинала;1;1;from
Q1205;Thuringia;код TGN;1;2;from
Q1205;Thuringia;код GeoNames;1;1;from
Q1205;Thuringia;категория для людей, умерших здесь;1;1;from
Q1205;Thuringia;категория для людей, родившихся здесь;1;1;from
Q1205;Thuringia;текст девиза;1;1;from
Q1205;Thuringia;код в энциклопедии «Британника онлайн»;1;1;from
Q1205;Thuringia;код региона Германии;1;1;from
Q1205;Thuringia;заменил;1;6;from
Q1205;Thuringia;описывается в источниках;1;1;from
Q1205;Thuringia;должность главы правительства;1;1;from
Q1205;Thuringia;код в Большой каталанской энциклопедии;1;1;from
Q1205;Thuringia;значение в OmegaWiki;1;1;from
Q1205;Thuringia;портал Викимедиа;1;1;from
Q1205;Thuringia;численность населения;1;2;from
Q1205;Thuringia;десятичная классификация Дьюи;1;1;from
Q1202;Saxony;награда от;1;1;to
