entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q170462;Sarawak;форма правления;1;1;from
Q189701;Terengganu;находится на берегу водоёма;1;1;from
Q189701;Terengganu;код GND;1;1;from
Q189701;Terengganu;карта местонахождения;1;1;from
Q189701;Terengganu;код LCNAF;1;1;from
Q189701;Terengganu;это частный случай понятия;1;1;from
Q189701;Terengganu;столица;1;1;from
Q189701;Terengganu;изображение флага;1;1;from
Q189701;Terengganu;имеет границы с;1;3;to
Q189701;Terengganu;глава правительства;1;1;from
Q189701;Terengganu;изображение герба;1;1;from
Q189701;Terengganu;численность населения;1;1;from
Q189701;Terengganu;код в Большой каталанской энциклопедии;1;1;from
Q189701;Terengganu;описывается в источниках;1;1;from
Q189701;Terengganu;код в энциклопедии «Британника онлайн»;1;1;from
Q189701;Terengganu;код GeoNames;1;1;from
Q189701;Terengganu;код TGN;1;1;from
Q189701;Terengganu;категория для людей, связанных с местностью;1;1;from
Q189701;Terengganu;владеет;1;1;from
Q189701;Terengganu;должность главы государства;1;1;from
Q189701;Terengganu;площадь;1;1;from
Q189701;Terengganu;почтовый индекс;1;1;from
Q189701;Terengganu;используемый язык;1;2;from
Q189701;Terengganu;код VIAF;1;1;from
Q189701;Terengganu;государство;1;6;to
Q189701;Terengganu;код темы Quora;1;1;from
Q189701;Terengganu;административно-территориальная единица;1;1309;to
Q188953;Perak;код Freebase;1;1;from
Q188953;Perak;Who's on First ID;1;1;from
Q188953;Perak;категория карт на Викискладе;1;1;from
Q188953;Perak;официальный сайт;1;1;from
Q188953;Perak;FIPS 10-4 (страны и регионы);1;1;from
Q188953;Perak;основная категория по теме;1;1;from
Q188953;Perak;галерея на Викискладе;1;1;from
Q188953;Perak;баннер Викигида;1;1;from
Q188953;Perak;место в MusicBrainz;1;1;from
Q188953;Perak;dmoz;1;1;from
Q188953;Perak;место рождения;1;92;to
Q188953;Perak;место жительства;1;3;to
Q188953;Perak;расположение штаб-квартиры;1;1;to
Q188953;Perak;местонахождение;1;7;to
Q188953;Perak;юрисдикция распространяется на;1;2;to
Q188953;Perak;является столицей;1;1;to
Q188953;Perak;происходит из;1;9;to
Q188953;Perak;обслуживаемый город;1;1;to
Q188953;Perak;место смерти;1;2;to
Q188953;Perak;общая тема категории;1;1;to
Q188953;Perak;категория объединяет темы;1;5;to
Q189701;Terengganu;ISO 3166-2;1;1;from
Q189701;Terengganu;категория на Викискладе;1;1;from
Q188953;Perak;местный телефонный код;1;1;from
Q189701;Terengganu;общая тема категории;1;1;to
