entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q61952939;Armenia within the Kingdom of Georgia;государство;1;1;from
Q2062829;Domini di Terraferma;дата основания/создания/возникновения;1;1;from
Q2062829;Domini di Terraferma;код Freebase;1;1;from
Q2062829;Domini di Terraferma;основная категория по теме;1;1;from
Q2062829;Domini di Terraferma;местонахождение;1;1;to
Q2062829;Domini di Terraferma;общая тема категории;1;1;to
Q2511505;Vauvert;административно-территориальная единица;1;1;from
Q2511505;Vauvert;государство;1;1;from
Q2511505;Vauvert;карта местонахождения;1;1;from
Q2511505;Vauvert;это частный случай понятия;1;1;from
Q2511505;Vauvert;географические координаты;1;1;from
Q2593136;Senegambia and Niger;административно-территориальная единица;1;1;from
Q2593136;Senegambia and Niger;государство;1;1;from
Q2593136;Senegambia and Niger;код ISNI;1;1;from
Q2593136;Senegambia and Niger;код VIAF;1;1;from
Q2593136;Senegambia and Niger;код LCNAF;1;1;from
Q2593136;Senegambia and Niger;часть света;1;1;from
Q2593136;Senegambia and Niger;это частный случай понятия;1;1;from
Q2593136;Senegambia and Niger;денежная единица;1;1;from
Q2593136;Senegambia and Niger;изображение флага;1;1;from
Q2593136;Senegambia and Niger;дата основания/создания/возникновения;1;1;from
Q2593136;Senegambia and Niger;дата прекращения существования;1;1;from
Q2593136;Senegambia and Niger;код Freebase;1;1;from
Q2748571;Dominion of New England;форма правления;1;1;from
Q2748571;Dominion of New England;код VIAF;1;1;from
Q2062829;Domini di Terraferma;дата прекращения существования;1;1;from
Q2062829;Domini di Terraferma;название на языке оригинала;1;1;from
Q2748571;Dominion of New England;это частный случай понятия;1;1;from
Q2062829;Domini di Terraferma;код в энциклопедии «Британника онлайн»;1;1;from
Q1969050;Sierra Nevada National Park;находится в охранной зоне;1;3;to
Q1998931;North-Western Territory;карта местонахождения;1;1;from
Q1998931;North-Western Territory;это частный случай понятия;1;1;from
Q1998931;North-Western Territory;заменён на;1;1;from
Q1998931;North-Western Territory;часть от;1;1;from
Q1998931;North-Western Territory;дата прекращения существования;1;1;from
Q1998931;North-Western Territory;географические координаты;1;1;from
Q1998931;North-Western Territory;код Freebase;1;1;from
Q1998931;North-Western Territory;основная категория по теме;1;1;from
Q1998931;North-Western Territory;имеет границы с;1;1;to
Q1998931;North-Western Territory;общая тема категории;1;1;to
Q1998931;North-Western Territory;заменил;1;1;to
Q2053766;Jäniskoski-Niskakoski territory;административно-территориальная единица;1;1;from
Q2053766;Jäniskoski-Niskakoski territory;государство;1;2;from
Q2053766;Jäniskoski-Niskakoski territory;карта местонахождения;1;1;from
Q2053766;Jäniskoski-Niskakoski territory;это частный случай понятия;1;1;from
Q2053766;Jäniskoski-Niskakoski territory;географические координаты;1;1;from
Q2053766;Jäniskoski-Niskakoski territory;основная категория по теме;1;1;from
Q2053766;Jäniskoski-Niskakoski territory;общая тема категории;1;1;to
Q2062829;Domini di Terraferma;административно-территориальная единица;1;1;from
Q2062829;Domini di Terraferma;государство;1;1;from
Q2062829;Domini di Terraferma;это частный случай понятия;1;1;from
Q2062829;Domini di Terraferma;юрисдикция распространяется на;1;1;from
Q2748571;Dominion of New England;код LCNAF;1;1;from
Q2748571;Dominion of New England;столица;1;1;from
Q1969050;Sierra Nevada National Park;официальный сайт;1;1;from
Q3206533;La Baule – Presqu’île de Guérande;находится на берегу водоёма;1;1;from
Q3206533;La Baule – Presqu’île de Guérande;категория на Викискладе;1;1;from
Q3206533;La Baule – Presqu’île de Guérande;основная категория по теме;1;1;from
Q3206533;La Baule – Presqu’île de Guérande;общая тема категории;1;1;to
Q3432234;Dutch Bengal;это частный случай понятия;1;1;from
Q3432234;Dutch Bengal;изображение герба;1;1;from
Q3432234;Dutch Bengal;дата основания/создания/возникновения;1;1;from
Q3432234;Dutch Bengal;дата прекращения существования;1;1;from
Q3473124;Sapaudia;это частный случай понятия;1;2;from
Q3473124;Sapaudia;код Pleiades;1;1;from
Q3473124;Sapaudia;географические координаты;1;1;from
Q3575879;Q3575879;государство;1;1;from
