entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q18883;Polkovnik Savovo;административно-территориальная единица;1;2;from
Q2467790;Klokotnitsa;категория на Викискладе;1;1;from
Q2467790;Klokotnitsa;часовой пояс;1;2;from
Q2467790;Klokotnitsa;местный телефонный код;1;1;from
Q2467790;Klokotnitsa;географические координаты;1;1;from
Q2467790;Klokotnitsa;код Freebase;1;1;from
Q2467790;Klokotnitsa;Who's on First ID;1;1;from
Q2467790;Klokotnitsa;LAU;1;1;from
Q2467790;Klokotnitsa;местонахождение;1;1;to
Q2469067;Boynitsa;административно-территориальная единица;1;2;from
Q2469067;Boynitsa;государство;1;1;from
Q2469067;Boynitsa;это частный случай понятия;1;1;from
Q2469067;Boynitsa;численность населения;1;1;from
Q2469067;Boynitsa;код GeoNames;1;1;from
Q2469067;Boynitsa;высота над уровнем моря;1;1;from
Q2469067;Boynitsa;почтовый индекс;1;1;from
Q2469067;Boynitsa;код EKATTE;1;2;from
Q2469067;Boynitsa;часовой пояс;1;2;from
Q2469067;Boynitsa;географические координаты;1;1;from
Q2469067;Boynitsa;код Freebase;1;1;from
Q2469067;Boynitsa;Who's on First ID;1;1;from
Q2469067;Boynitsa;LAU;1;1;from
Q2469067;Boynitsa;место рождения;1;2;to
Q2469110;Borino;административно-территориальная единица;1;20;to
Q2469110;Borino;государство;1;1;from
Q2467790;Klokotnitsa;код EKATTE;1;2;from
Q2467790;Klokotnitsa;почтовый индекс;1;1;from
Q2469110;Borino;это частный случай понятия;1;1;from
Q2467790;Klokotnitsa;высота над уровнем моря;1;1;from
Q2467715;Sinemorets;географические координаты;1;1;from
Q2467715;Sinemorets;код Freebase;1;1;from
Q2467715;Sinemorets;Who's on First ID;1;1;from
Q2467715;Sinemorets;LAU;1;1;from
Q2467727;Dimovo, Smolyan Province;административно-территориальная единица;1;1;from
Q2467727;Dimovo, Smolyan Province;государство;1;1;from
Q2467727;Dimovo, Smolyan Province;это частный случай понятия;1;1;from
Q2467727;Dimovo, Smolyan Province;численность населения;1;1;from
