entity;label;popularity
Q932302;Dingle;50
Q482534;Spiddal;37
Q2588739;Lettermore;37
Q958639;Glencolumbkille;30
Q667646;Glenties;29
Q1016267;Kilcar;28
Q736912;Ballyvourney;27
Q482400;Carraroe;25
Q915185;Inverin;24
Q1016318;Burtonport;23
Q1265808;Dungloe;23
Q1016302;Ballingeary;22
Q1016273;Cúil Aodha;22
Q1266246;Dunquin;22
Q803785;Ballynahown;22
Q2077247;Ranafast;21
Q2247547;Toormakeady;20
Q816116;Belmullet;20
Q788778;Gortahork;20
Q1755549;Achill Sound;20
Q2311794;Barna;19
Q177525;Falcarragh;19
Q2085894;Clonbur;18
Q798788;Ring;18
Q3776352;Downings;17
Q2012973;Furbo;17
Q1189299;Ballynagall;17
Q2474158;Ballinskelligs;17
Q3756411;Carna;16
Q2563229;Bunbeg;16
Q2672400;Maum;15
Q2528821;Brandon, County Kerry;15
Q2424891;Kilkieran;15
Q916008;Costelloe;15
Q936492;Teelin;15
Q3753938;Loch an Iúir;15
Q3775912;Kilgalligan;15
Q2078132;Annagry;15
Q2062739;Rosmuc;15
Q2147088;Cornamona;14
Q2084438;Belderrig;14
Q3596080;Lettermacaward;14
Q2566772;Rossport;14
Q2661340;Rossaveal;14
Q2085195;Kilnamartyra;13
Q3367679;Crolly;13
Q2078180;Cloghane;13
Q2672182;Aughleam;13
Q2078170;Carrigart;12
Q2672172;Ráth Cairn;12
Q2650181;Feothanach;12
Q2084408;Carrowteige;12
Q2078231;Fintown;12
Q1242535;Dooniver;12
Q3367637;Doochary;11
Q3756358;Derrybeg;11
Q692983;Magheraroarty;11
Q3775878;An Seanphobal;11
Q3776872;Camus, County Galway;10
Q2091058;Recess;10
Q3596086;Leabgarrow;10
Q5568527;Glengad;9
Q7862290;Tóin an tSeanbhaile;9
Q4851770;Ballintra;8
Q13156894;Tully;8
Q5315434;Dunlewey;7
Q1741252;Kilcommon;6
Q18562292;Baile na nGall;5
Q13157348;Gaeltacht na nDéise;4
Q13404123;Gaeltacht an Láir;4
Q3778640;Askill;3
Q12738628;Gaeltacht Corca Dhuibhne;3
