entity;label;popularity
Q3054227;Ismenius Lacus quadrangle;28
Q2170645;Tharsis;18
Q978544;Reiner Gamma;11
Q3341878;Nilo Syrtis;9
Q20669957;Syrtis Major;8
Q115300;Shangri-La;8
Q25907692;Liguria;7
Q24064250;Libya;6
Q3595471;Solis Lacus;6
Q3322097;Sinus Meridiani;6
Q114751;Aztlan;6
Q113932;Fensal;6
Q112516;Adiri;6
Q30892881;Memnonia;6
Q24064219;Claritas;6
Q24064249;Lemuria;6
Q24063974;Aeria;6
Q24064298;Sinai;5
Q24064319;Utopia;5
Q24064267;Moeris Lacus;5
Q25907713;Solitudo Promethei;5
Q112314;Quivira;5
Q25907696;Pleias;5
Q24064231;Edom;5
Q24064266;Moab;5
Q24064233;Elysium;5
Q24064270;Nepenthes;5
Q24064236;Euphrates;5
Q24064216;Chersonesus;5
Q25907683;Apollonia;5
Q24064240;Hiddekel;5
Q24064289;Phlegra;5
Q25907685;Australia;5
Q5063904;Cerberus;5
Q24064280;Ortygia;5
Q24064315;Trinacria;5
Q3621860;Mare Erythraeum;5
Q24064282;Oxus;5
Q24064268;Nectar;4
Q24064190;Amenthes;4
Q24064208;Boreosyrtis;4
Q24064209;Candor;4
Q24064210;Casius;4
Q24064269;Neith Regio;4
Q24064003;Aethiopis;4
Q24064211;Cebrenia;4
Q24064212;Cecropia;4
Q24064002;Aetheria;4
Q24064213;Ceraunius;4
Q24064277;Ogygis Regio;4
Q24064272;Niliacus Lacus;4
Q24064207;Baltia;4
Q24064200;Aonium Sinus;4
Q24064206;Ausonia;4
Q24064204;Arnon;4
Q24064276;Noachis;4
Q24064203;Argyre;4
Q24064275;Nix Olympica;4
Q24064202;Arcadia;4
Q24064201;Arabia;4
Q24064273;Nilokeras;4
Q24064271;Nereidum Fretum;4
Q24064215;Chalce;4
Q24064223;Cyclopia;4
Q24064217;Chryse;4
Q24064262;Margaritifer Sinus;4
Q24064243;Iapygia (Iapigia);4
Q24064244;II Thyle I;4
Q24064246;Jamuna;4
Q24064247;Juventae Fons;4
Q24064248;Laestrygon (Laestrigon);4
Q24064265;Meroe;4
Q24064252;Mare Acidalium;4
Q24064218;Chrysokeras;4
Q24064254;Mare Boreum;4
Q24064255;Mare Chronium;4
Q24064256;Mare Cimmerium;4
Q24064258;Mare Hadriacum;4
Q24064259;Mare Serpentis;4
Q24064260;Mare Sirenum;4
Q24064242;Hyperboreus (Lacus);4
Q24064239;Hellespontus;4
Q24064238;Hellas;4
Q24064237;Gehon;4
Q24064235;Eunostos;4
Q24064234;Eridania;4
Q24064232;Electris;4
Q24063987;Amazonis;4
Q24064229;Diacria;4
Q24064228;Deuteronilus;4
Q24064227;Deucalionis Regio;4
Q24064226;Depressio Hellespontica;4
Q24064225;Deltoton Sinus;4
Q24064224;Cidonia;4
Q24064261;Mare Tyrrhenum;4
Q24064222;Coprates;4
Q24064221;Copais Palus;4
Q24064230;Dioscuria;4
Q24064279;Ophir;4
Q24063971;Aeolis;4
Q24064316;Trivium Charontis;4
Q24064307;Tempe;4
Q24064309;Thaumasia;4
Q24064310;Thoth;4
Q24064312;Thymiamata;4
Q24064313;Tithonius Lacus;4
Q24064314;Tractus Albus;4
Q24064317;Uchronia;4
Q24064304;Syria;4
Q24064318;Umbra;4
Q24064320;Vulcani Pelagus;4
Q24064321;Xanthe;4
Q24064322;Yaonis Regio;4
Q24064323;Zephyria;4
Q25907684;Aurora;4
Q24064306;Tanais;4
Q24064303;Styx;4
Q25907687;Caduceata;4
Q24064291;Phrixi Regio;4
Q24064281;Oxia Palus;4
Q24064283;Panchaia;4
Q24064284;Pandorae Fretum;4
Q24064286;Phaethontis;4
Q24064288;Phison;4
Q24064290;Phoenicis Lacus;4
Q24064292;Promethei Sinus;4
Q24064301;Sithonius Lacus;4
Q24064293;Propontis;4
Q24064294;Protei Regio;4
Q24064295;Protonilus;4
Q24064296;Pyrrhae Regio;4
Q24064297;Scandia;4
Q24064300;Sinus Sabaeus;4
Q25907686;Borea;4
Q25907688;Cyllene;4
Q24036277;Hesperia;4
Q113913;Ching-tu;4
Q25907710;Solitudo Neptuni;4
Q25907711;Solitudo Persephones;4
Q25907712;Solitudo Phoenicis;4
Q25907714;Tricrena;4
Q48833053;Q48833053;4
Q48833056;Q48833056;4
Q113918;Mezzoramia;4
Q25907708;Solitudo Maiae;4
Q113925;Senkyo;4
Q114005;Tsegihi;4
Q114733;Aaru;4
Q114746;Belet;4
Q4302586;Mare Australe;4
Q24036260;Icaria;4
Q25907709;Solitudo Martis;4
Q25907707;Solitudo Lycaonis;4
Q25907689;Gallia;4
Q25907698;Solitudo Alarum;4
Q25907690;Heliocaminus;4
Q25907691;Hesperis;4
Q25907693;Pentas;4
Q25907694;Phaethontias;4
Q25907695;Pieria;4
Q25907697;Solitudo Admetei;4
Q25907699;Solitudo Aphrodites;4
Q25907706;Solitudo Iovis;4
Q25907700;Solitudo Argiphontae;4
Q25907701;Solitudo Atlantis;4
Q25907702;Solitudo Criophori;4
Q25907703;Solitudo Helii;4
Q25907704;Solitudo Hermae Trismegisti;4
Q25907705;Solitudo Horarum;4
Q24064278;Olympia;4
