entity;label;popularity
Q26644051;Two Archways And Associated Stone Staircases And Retaining Walls In Rivington Gardens At Sd 6390 1422;9
Q26312657;Archway, Steps  Memorial Cross To The First Lord Aldenham 3 Metres South Of Church Of St Michael And All Angels;8
Q17531881;Ornamental Archway, Approximately 350 Metres South Of Stoke Rochford Hall;8
Q17531870;Ornamental Archway 250 M South West From Hall;8
Q27081807;Archway To Rotherhithe Tunnel Approach;8
Q26433175;Archway About 50 Yards To South West Of Ince Castle;7
Q26514511;Arch Way Approximately 25 Metres South Of Carneadon;7
Q26655944;Remains Of Archway To Stables South Of Number 5;7
Q26665614;Archway To Rotherhithe Tunnel Approach;7
Q26665733;Archway Beneath Southern End Of London Bridge, Crossing Tooley Street;7
Q26355536;Archway Entrance From Holland Park;7
Q26617882;Archway In The Wilderness On The Point Of Cliff Edge At Ss 300266;7
Q48791689;Hillcrest Park Archway;7
Q55743926;Smiths Falls Collegiate Institute Archway;7
Q17531220;Outer Archway At Martholme;7
Q17534425;Archway At Southern End Of Laundry Court, Leading To Rear Of Kitchen Gardens, And Garden House Attached To South;7
Q26629249;Archway And Gate, About 30 Metres South Of Combe Sydenham;7
Q17538214;Archway, Formerly To Farm Hill Park;7
Q26615550;Archway On Lockyer Quay;7
Q26614410;Archway About 70 Metres South West Of Kitchen Garden Walls;7
Q26411194;Archway To Royal Mews;7
Q26312720;Archway Between Nos 8 And 9;7
Q26397900;Archway Between The 2 Blocks;7
Q26614554;Archway About 250 Yards To South East Of Ince Castle On The River Lynher;7
Q26468040;Archway To Left;6
Q26368150;Archway Leading To Nos 2 And 3 (The Priory) Church Road;6
Q26384332;Archway From St Denys Priory, In The Grounds Of Tudor House Museum, Situated To South Of The Rear Wall Of King John's Palace;6
Q26442852;Archway With Gates And Flanking Walls And Inner, Freestanding Archway To The Old Rectory;6
Q26398317;Archway Leading To Number 22 Between Numbers 20 And 24;6
Q26461522;Archway 30 Yards East Of The Castle;6
Q26461300;Archway At North-East Approach To Lower Lake, 175 Metres South Of Pondsmead;6
Q26356728;Archway To South Of The Reamins Of West Wall Of North Transept Of Abbey;6
Q26407074;Archway To Former Pitt House Garden In Woodland Approximately 5 Metres East Of Road;6
Q26447166;Archway In Compton Park At Ngr 596 167;6
Q26444782;Archway And Window Fragments Forming Gateway In East Wall Of Cannon Hall Gardens Approximately 50 Metres North East Of Ornamental Pool;6
Q26442089;Archway To Left;6
Q26442101;Archway To Right;6
Q26419902;Archway To Dean's Court;6
Q26409092;Archway And Door To Premises Of Millet And Smith,(Builders And Decorators);6
