entity;label;popularity
Q12892;Antwerp;8967
Q6602;Strasbourg;8448
Q78;Basel;5414
Q1309;Maastricht;4908
Q24639;Vancouver;4472
Q1017;Aachen;3396
Q40435;Buffalo;2168
Q4190;Passau;1500
Q157200;Zittau;1400
Q3834;Konstanz;1281
Q60453;Coevorden;1270
Q93358;Oradea;1114
Q25411;Helsingborg;1035
Q4077;Görlitz;1030
Q6596;Gorizia;894
Q572527;Großschönau;888
Q140147;Brest;882
Q591823;Náchod;700
Q156711;Uzhhorod;667
Q321197;Cieszyn;621
Q1789604;Krnov;599
Q278221;Berchtesgaden;578
Q170996;Galați;570
Q682544;Mikulov;566
Q158275;Varnsdorf;544
Q180083;Menton;535
Q5823;Ceuta;485
Q165195;Seifhennersdorf;472
Q6855;Lörrach;467
Q102158;Narva;400
Q149103;Rumburk;396
Q1007134;Eijsden;375
Q45240;Monte Carlo;366
Q4165497;Jesenice;347
Q9811;Baarle-Nassau;343
Q334874;Sighetu Marmației;340
Q57006;Emmerich am Rhein;332
Q83236;Chamonix-Mont-Blanc;326
Q1844;Vaduz;317
Q191754;Hendaye;302
Q486341;Kufstein;299
Q984930;Ylitornio;297
Q26590;Ciudad Juárez;287
Q789233;Balassagyarmat;277
Q505433;Waldshut-Tiengen;277
Q704033;Hrádek nad Nisou;276
Q13765;Puigcerdà;273
Q15979;Kehl;269
Q214938;Gyula;264
Q486545;Taraz;251
Q165131;Bad Muskau;251
Q22642;Sarreguemines;246
Q31331;Pello;244
Q22636;Wissembourg;241
Q312061;Gubin;240
Q622823;Uruguaiana;239
Q16008;Schwedt/Oder;238
Q494747;Guben;232
Q335506;Salto;231
Q5262;Riehen;227
Q202351;Giurgiu;225
Q220145;Mouscron;225
Q11585;Tulcea;223
Q824122;Tui;220
Q754725;Carei;218
Q156837;Kostrzyn nad Odrą;214
Q147929;Zgorzelec;210
Q16077;Rheinfelden (Baden);210
Q57908;Jöhstadt;208
Q61909;Weil am Rhein;208
Q271215;Corumbá;201
Q191759;Ventimiglia;200
Q193190;Famagusta;200
Q1013328;Petržalka;197
Q269667;Rheinfelden;196
Q2557122;Juárez Municipality;192
Q2913712;Ojinaga Municipality;189
Q572545;Forst (Lausitz);188
Q946780;Lanžhot;187
Q327749;Železná Ruda;186
Q63905;Kreuzlingen;185
Q202316;Foz do Iguaçu;185
Q116417;Sátoraljaújhely;184
Q488315;Lustenau;183
Q236609;Tende;182
Q302717;Muonio;179
Q527783;Stühlingen;179
Q1953211;Suchiate Municipality;178
Q698465;Bad Radkersburg;177
Q34993;Courmayeur;175
Q467020;Sospel;169
Q4686;Slavonski Brod;169
Q646498;Rivera;168
Q936067;Salla;167
Q7165;Portbou;165
Q64186;Bad Zurzach;163
Q321111;Breil-sur-Roya;155
Q49743;Visé;155
Q12281;Molló;155
Q13148;La Línea de la Concepción;154
Q466000;Koh Kong Province;154
Q754730;Salonta;153
Q49657;Schaan;152
Q244709;La Turbie;152
Q602441;Pétange;151
Q57926;Oberwiesenthal;151
Q527002;Dolní Dvořiště;150
Q625154;Komárom;149
Q387498;La Brigue;148
Q587746;Siret;147
Q849535;Doğubeyazıt;145
Q69191;Laufenburg;145
Q110989;Maaseik;144
Q553761;Neualbenreuth;141
Q222279;Bukavu;133
Q233733;Ferney-Voltaire;133
Q765491;Anáhuac Municipality;132
Q181389;Jestetten;131
Q384516;Saint-Louis;131
Q539801;Laufenburg (Baden);130
Q220668;Roquebrune-Cap-Martin;130
Q341197;České Velenice;130
Q649168;Negotin;129
Q180731;Gradiška;128
Q522404;Albbruck;128
Q243849;Elvas;127
Q671293;Gmünd;126
Q68111;Chiasso;126
Q798747;Mondorf-les-Bains;126
Q75110;Dandong;123
