entity;label;popularity
Q63438297;Timber Creek Campground;22
Q63565902;South Campground;21
Q63565907;Morefield Campground;20
Q2935203;Camp 4;19
Q7680864;Tamarack Flat Campground;19
Q63607900;North Campground;19
Q63636715;Summit Lake Campground;19
Q5567580;Glen Aulin High Sierra Camp;18
Q63610828;Manzanita Lake Campground;18
Q5182017;Crane Flat Campground;18
Q63565899;Watchman Campground;18
Q63561848;Two Medicine Campground;17
Q63560875;Many Glacier Campground;17
Q63713972;Merced Lake High Sierra Camp;17
Q63713824;May Lake High Sierra Camp;17
Q63438280;Pine Springs Campground;17
Q19867444;Blackwoods Campground;17
Q63565910;Glacier Basin Campground;17
Q63438421;Cedar Pass Campground;17
Q63565903;Devils Garden Campground;16
Q4966089;Bridalveil Creek Campground;16
Q63565891;Lava Point Campground;16
Q63565430;Big Meadows Campground;16
Q31489079;Rio Grande Village Campground;16
Q63707203;Wawona Campground;16
Q7230023;Porcupine Flat Campground;16
Q63716523;Upper Pines Campground;16
Q63710126;Sunrise High Sierra Camp;16
Q63709635;Vogelsang High Sierra Camp;16
Q63565912;Moraine Park Campground;16
Q8055921;Yosemite Creek Campground;16
Q63674668;Grant Village Campground;15
Q63674417;Canyon Campground;15
Q63721519;Kintla Lake Campground;15
Q63611036;Juniper Lake Campground;15
Q63565905;The Needles Campground;15
Q63954197;North Rim Campground;15
Q63686113;Lodgepole Campground;15
Q63615209;Belle Campground;15
Q63707340;Tuolumne Meadows Campground;15
Q63560525;Fish Creek Campground;15
Q63635218;Indian Cove Campground;15
Q63707036;Hodgdon Meadow Campground;15
Q63565486;Lewis Mountain Campground;15
Q63558355;Long Pine Key Campground;15
Q63954145;Mather Campground;14
Q63565909;Aspenglen Campground;14
Q63716540;Lower Pines Campground;14
Q63607704;Wheeler Peak Campground;14
Q63675196;Norris Campground;14
Q63686126;Potwisha Campground;14
Q63716555;North Pines Campground;14
Q63686097;Dorst Creek Campground;14
Q63686063;Buckeye Flat Campground;14
Q63677112;Cinnamon Bay Resort & Campground;14
Q63675254;Mammoth Hot Springs Campground;14
Q63675070;Lewis Lake Campground;14
Q63607816;Sunset Campground;14
Q54355635;Chisos Basin Campground;14
Q63635594;Jumbo Rocks Campground;14
Q63634926;Black Rock Campground;14
Q63614856;Wonder Lake Campground;14
Q63614849;Riley Creek Campground;14
Q63611064;Butte Lake Campground;14
Q63437791;South Rim Campground;14
Q63673829;Bridge Bay Campground;14
Q5915881;Housekeeping Camp;14
Q16253953;Bearpaw Meadow High Sierra Camp;14
Q20858299;Seawall Campground;14
Q54136104;Ardèche Camping;13
Q63675879;Jenny Lake Campground;13
Q63675392;Tower Fall Campground;13
Q63675378;Slough Creek Campground;13
Q63675143;Madison Campground;13
Q63565472;Loft Mountain Campground;13
Q63674872;Indian Creek Campground;13
Q63565538;Cottonwood Campground;13
Q63637065;Lost Creek Group Campground;13
Q63565779;Mammoth Cave Campground;13
Q63565802;Pinnacles Campground;13
Q63635737;White Tank Campground;13
Q63635440;Hidden Valley Campground;13
Q21936021;Wyangala Waters Holiday Park;13
Q27622959;Davy Brown Campground;13
Q63615225;Cottonwood Campground;13
Q63611157;Southwest Walk-In Campground;13
Q63565914;Longs Peak Campground;13
Q63607946;Piñon Flats Campground;13
Q63607636;Elk Mountain Campground;13
Q63565054;Cosby Campground;13
Q63675366;Pebble Creek Campground;13
Q63952345;Santa Rosa Island Campground;13
Q63721504;Bowman Lake Campground;13
Q63146456;Camp Maple Dell;13
Q64372331;Dunewood Campground;13
Q63954079;Desert View Campground;13
Q63952805;Furnace Creek Campground;13
Q63952797;Stovepipe Wells Campground;13
Q63564672;Balsam Mountain Campground;13
Q63721539;Saint Mary Campground;13
Q63605454;Ohanapecosh Campground;13
Q63562858;Cades Cove Campground;13
Q63721488;Apgar Campground;13
Q63706607;White Wolf Campground;13
Q63561166;Rising Sun Campground;13
Q63561475;Sprague Creek Campground;13
Q63614954;Elliott Key Campground;12
Q63607456;Juniper Campground;12
Q66360587;Stateline Campground;12
Q63675793;Colter Bay Campground;12
Q63609878;Houchin Ferry Campground;12
Q63609992;Maple Springs Group Campground;12
Q63954108;Indian Garden Campground;12
Q63611253;Warner Valley Campground;12
Q63614853;Teklanika River Campground;12
Q63639211;Mora Campground;12
Q63614983;Garden Key Campground;12
Q63637468;Deer Park Campground;12
Q63952838;Mesquite Spring Campground;12
Q63605401;Cougar Rock Campground;12
Q63952405;San Miguel Island Campground;12
Q63928207;Hosmer Grove Campground;12
Q63635891;Sheep Pass Campground;12
Q63636066;Ryan Campground;12
Q63751658;Lake Richie Canoe Campground;12
Q63718034;Little Yosemite Valley Campground;12
Q63686079;Cold Springs Campground;12
Q63676997;Lake Richie Campground;12
Q63438398;Sage Creek Campground;12
Q63560249;Avalanche Campground;12
Q63558097;Flamingo Campground;12
Q63564924;Cataloochee Campground;12
Q63565281;Mathews Arm Campground;12
Q63565838;Mazama Campground;12
Q63565493;Dundo Group Campground;12
Q72922304;Moraine Campground;11
Q63686145;South Fork Campground;11
Q63952788;Sunset Campground;11
Q63438477;Hozomeen Campground;11
Q63952073;Anacapa Island Campground;11
Q63565844;Lost Creek Campground;11
Q63636964;Volcano Adventure Camp;11
Q63889094;Kintla Lake Head Campground;11
Q63887001;Red Eagle Lake Head Campground;11
Q63885620;Glenns Lake Head Campground;11
Q63886989;Red Eagle Lake Foot Campground;11
Q63614851;Savage River Campground;11
Q63885599;Glenns Lake Foot Campground;11
Q63885436;Elizabeth Lake Head Campground;11
Q63885426;Elizabeth Lake Foot Campground;11
Q63676189;Gros Ventre Campground;11
Q63869826;Lake Janet Campground;11
Q63724827;Lake Ellen Wilson Campground;11
Q63717394;Hetch Hetchy Backpackers' Campground;11
Q63686048;Atwell Mill Campground;11
Q63564338;Abrams Creek Campground;11
Q63952832;Texas Springs Campground;11
Q63639325;Heart O' the Hills Campground;11
Q63687842;Bartlett Cove Campground;11
Q63607911;Fruita Campground;11
Q63607955;Boca Chita Key Campground;11
Q63604784;Elk Prairie Campground;11
Q63609014;Gulpha Gorge Campground;11
Q63607915;Cathedral Valley Campground;11
Q63954036;Cottonwood Campground;11
Q63607027;Cottonwood Campground;11
Q63566035;Jedediah Smith Campground;11
Q63953955;Bright Angel Campground;11
Q63952988;Fiddlers' Campground;11
Q2935513;Nāmakanipaio Campground;11
Q63605560;White River Campground;11
Q63604847;Gold Bluffs Beach Campground;11
Q63607697;Lower Lehman Creek Campground;11
Q63565216;Look Rock Campground;10
Q63565238;Smokemont Campground;10
Q63565092;Elkmont Campground;10
Q63675842;Headwaters Campground;10
Q63607700;Baker Creek Campground;10
Q63607696;Upper Lehman Creek Campground;10
Q63885086;Bowman Lake Head Campground;10
Q54870856;Woodland Trails Scout Camp;10
Q63604754;Mill Creek Campground;10
Q63676932;Three Mile Campground;10
Q63954355;Tuweep Campground;10
Q63751267;Beaver Island Campground;10
Q63751146;Grace Island Campground;10
Q63721530;Quartz Creek Campground;10
Q63718258;Backpackers' Campground;10
Q63605110;Sol Duc Campground;10
Q63564773;Big Creek Campground;10
Q7888589;Disney's Fort Wilderness Resort and Campground;10
Q63604994;Staircase Campground;10
Q66458956;Rampart Creek Campground;10
Q63611969;Brooks Camp Campground;10
Q63565077;Deep Creek Campground;10
Q63637804;Fairholme Campground;10
Q63928202;Palikū Campground;10
Q63565740;Duck Harbor Campground;10
