entity;label;popularity
Q217043;Olduvai Gorge;128
Q1538251;Gorges du Tarn;20
Q3111008;Montmaurin;19
Q997967;Buchberger Leite;15
Q1895173;Margaretenschlucht;14
Q668632;Schöllenen Gorge;14
Q15843336;Rumpelbachschlucht;13
Q2407088;Teufelskirche von Grünsberg;13
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;12
Q1616742;Schnittlinger Loch;12
Q19787598;Wolfsschlucht nördlich von Wallersberg;12
Q1366229;Ihlara;11
Q20771096;Bitterbachschlucht;10
Q17592592;Felsentäle;10
Q58424611;Ringelbachschlucht NW von Gössenheim;10
Q2227535;Saulochschlucht Deggendorf;10
Q58459827;Schlucht Salamandertal in Eckersdorf;9
Q14916370;Sil Canyon;9
Q58462432;Weißach-Schichten an der Ammer bei der Echelsbacher Brücke;9
Q3110971;Q3110971;9
Q58459969;Schlucht Arzloch NW von Mistelbach;9
Q57980543;Q57980543;9
Q60054188;Teufelslochgraben N von Oberwaiz;8
Q682568;Rofla Gorge;8
Q57981951;Ammerschlucht an der Scheibum;8
Q59286843;Höll-Graben SE von Mitterbach;7
Q59265971;Schlucht SE von Schlierberg;7
Q59286851;Torgraben SW von Grassau;6
Q24248552;Q24248552;6
Q59286875;Schlucht NNE von Sendelbach;6
Q59286874;Buntsandsteinschlucht Dörflinger Ruh SSW von Bad Brückenau;6
Q59286871;Neuwiesgraben-Schlucht S von Dittlofsroda;6
Q59286870;Kesselbachtobel S von Scheffau;6
Q59286869;Stelzenbachschlucht S vonr Burg Rothenfels;6
Q59286867;Schlucht Teufelsbackofen NW von Fiegenstall;6
Q59286866;Felsenschlucht der Kaisersäle an der Kampenwand;6
Q59286864;Einmündung der Wolfsteiner Ohe in die Ilz bei Fürsteneck;6
Q59286857;Klausenbachklamm SW von Blindau;6
Q59286855;Oligozän des Pötschgrabens ENE von Reit im Winkl;6
Q59286853;Schlucht Teufelsgesperr NW von Hirschling;6
Q7994654;White Drin Canyon;6
Q59286849;Schöne Gumpen des Pfanngrabens;6
Q59286847;Kesselbach-Schlucht mit Wasserfall;6
Q59286845;Teufelsgraben S von Hummenberg;6
Q59286841;Schlucht des Hermannsbachs NW von Mistelbach;6
Q59194320;Steinbruch Wup ESE von Rettenberg;6
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;6
Q59160617;Schlucht NW von Taxöldern;6
Q15051456;Arak gorges;5
Q8024823;Windy Canyon;5
Q2012934;Q2012934;5
Q6133415;Xiling Gorge;4
Q3110978;Q3110978;4
