entity;label;popularity
Q431383;climate of France;63
Q1724625;climate of the United States;41
Q1318388;climate of Europe;22
Q729130;climate of Asia;19
Q1049930;climate of Africa;10
Q2429868;climate of Armenia;10
Q2091594;climate of India;10
Q488130;climate of Antarctica;9
Q23793233;climate of North America;9
Q2911354;climate of Israel;9
Q1774389;climate of the United Kingdom;9
Q5133579;climate of North Dakota;8
Q47001473;climate of Japan;8
Q5133541;Climate of Georgia (U.S. state);8
Q5133540;climate of Florida;8
Q1774387;climate of Minnesota;8
Q2979167;climate of Hungary;8
Q5133602;climate of Texas;8
Q1058503;climate of Italy;8
Q5133578;climate of North Carolina;7
Q3271386;climate of California;7
Q5133568;climate of Missouri;7
Q5133582;climate of Oregon;7
Q5133565;climate of Massachusetts;7
Q5133553;climate of Illinois;7
Q4223567;climate of Argentina;7
Q4223607;climate of Serbia;7
Q5133609;climate of Virginia;7
Q23793241;climate of South America;7
Q2979157;climate of Colombia;7
Q5133584;climate of Pennsylvania;7
Q1777162;climate of Alaska;7
Q5133597;climate of South Carolina;7
Q1317950;climate of Spain;7
Q5133580;climate of New Zealand;6
Q5772669;climate of the Americas;6
Q4223621;climate of Chile;6
Q5133583;climate of Pakistan;6
Q5133552;climate of Hong Kong;6
Q5133548;climate of Greece;6
Q5133586;climate of Paraguay;6
Q5684316;climate of Venezuela;6
Q20576867;climate of Latvia;6
Q17995772;climate of Ecuador;6
Q5133607;climate of Uruguay;6
Q4223587;climate of Mexico;6
Q1774402;climate of Australia;6
Q2482145;climate of Iceland;6
Q4223561;climate of Azerbaijan;6
Q2281080;climate of Russia;6
Q3621349;climate of Brazil;6
Q1771431;Norway's climate;6
Q2485045;climate of the Philippines;5
Q2979131;climate of Yerevan;5
Q3680723;climate of Sweden;5
Q2979185;climate of the Alps;5
Q5133600;climate of Sydney;5
Q1967470;climate of Scotland;5
Q4223594;climate of Moscow;5
Q3647183;climate of Estonia;5
Q3380816;climate of Egypt;5
Q5133566;climate of Miami;5
Q5133575;climate of Muscat;4
Q5133571;climate of Multan;4
Q11895004;climate of Finland;4
Q5133576;climate of Nawabshah;4
Q5133567;climate of Milwaukee;4
Q2979133;climate of New York;4
Q5133613;climate of the British Isles;4
Q2587227;climate of Mars;4
Q5133596;climate of Sindh;4
Q5133610;climate of Zambia;4
Q24189202;climate of Melbourne;4
Q5133618;climate of the Twin Cities;4
Q5133617;climate of the Tampa Bay area;4
Q5133615;climate of the Los Angeles Basin;4
Q5133592;climate of Salt Lake City;4
Q5133593;climate of Romania;4
Q5133594;climate of Saudi Arabia;4
Q5133595;climate of Seoul;4
Q4223617;climate of South Africa;4
Q5133564;climate of Mecca;4
Q340134;climate of the Arctic;4
Q5133527;climate of Beaumont, Texas;4
Q5133529;climate of Budapest;4
Q18347959;climate of Little Rock, Arkansas;4
Q18204649;climate of ancient Rome;4
Q5133525;climate of Bismarck, North Dakota;4
Q5133535;climate of Dallas;4
Q5133537;climate of Dhaka;4
Q5133562;climate of Malta;4
Q17011732;climate of Madrid;4
Q5133543;climate of Grand Forks, North Dakota;4
Q5133544;climate of Faisalabad;4
Q5133546;climate of Gwadar;4
Q5133524;climate of Anchorage, Alaska;4
Q5133523;climate of Allentown, Pennsylvania;4
Q5133551;climate of Hyderabad, Pakistan;4
Q5133554;climate of Indonesia;4
Q5133555;climate of Islamabad;4
Q5133556;climate of Karachi;4
Q5133521;climate of Agra;4
Q16733424;climate of Ghana;4
Q377829;climate of Chicago;4
Q15720660;climate of Portugal;4
Q4223603;climate of Sochi;4
Q21384937;climate of London;3
Q5133612;climate of south-west England;3
Q5133614;climate of the Falkland Islands;3
Q5133611;climate of East Anglia;3
Q15527034;climate of Nova Scotia;3
Q18712857;climate of Rome;3
Q18127265;climate of Lisbon;3
Q17625416;climate of South Georgia and the South Sandwich Islands;3
Q16949243;climate of Bilbao;3
Q30587835;climate of Albania;3
Q29467480;climate of Rajasthan;3
Q6067906;climate of Marmara;3
Q13018663;climate of Thailand;3
Q16827109;climate of New England;3
Q5772626;climate of Buenos Aires;3
Q5133560;climate of Kaziranga National Park;3
Q5133608;climate of West Bengal;3
Q5133561;climate of Launceston, Tasmania;3
Q4223616;climate of Svalbard;3
Q5133520;climate of Adelaide;3
Q5133522;climate of Alabama;3
Q5133526;climate of Barcelona;3
Q5133528;climate of Bihar;3
Q5133530;climate of Cebu;3
Q5133532;climate of Columbus, Ohio;3
Q5133534;climate of Cyprus;3
Q5133536;climate of Delhi;3
Q5133539;climate of Dubai;3
Q5133542;climate of Gibraltar;3
Q5133547;climate of Himachal Pradesh;3
Q5133558;climate of Kolkata;3
Q5133606;climate of Vancouver;3
Q5133559;climate of Lahore;3
Q5133591;climate of San Diego;3
Q5133589;climate of Puerto Rico;3
Q5133603;climate of Titan;3
Q5133599;climate of Tasmania;3
Q5133598;climate of Tamil Nadu;3
Q5133563;climate of Manitoba;3
Q5133590;climate of Quetta;3
Q67759068;climate of Baku;3
Q5133587;climate of Peru;3
Q5133585;climate of Peshawar;3
Q5133581;climate of Oklahoma City;3
Q5133573;climate of Mumbai;3
Q5133570;climate of Mount Kenya;3
Q5133569;climate of Moncton;3
Q5111787;climate of Uranus;2
Q5133605;climate of Uttar Pradesh;2
Q3680718;climate of the Nordic countries;2
Q2979162;climate of the Drôme department;2
Q1850988;climate of Gujarat;2
Q16359783;climate of Kosovo;2
