entity;label;popularity
Q188895;Borsod-Abaúj-Zemplén County;502
Q188612;Pest County;404
Q190522;Somogy County;356
Q188890;Veszprém County;333
Q190518;Szabolcs-Szatmár-Bereg County;325
Q194273;Nógrád County;325
Q185374;Zala County;320
Q181018;Bács-Kiskun County;284
Q187693;Fejér County;257
Q187677;Vas County;238
Q191604;Heves County;237
Q190018;Komárom-Esztergom County;229
Q186195;Baranya County;220
Q191625;Tolna County;210
Q187753;Győr-Moson-Sopron County;199
Q185368;Hajdú-Bihar County;186
Q189655;Jász-Nagykun-Szolnok County;183
Q191616;Békés County;175
Q193031;Csongrád County;174
