entity;label;popularity
Q17426004;Room 105;36
Q3001058;cour du Commerce-Saint-André;29
Q19009948;cour Marly;28
Q3000918;cour Saint-Émilion;27
Q3001021;cour de la Ferme-Saint-Lazare;19
Q3000907;cour Saint-Éloi;18
Q3001038;cour des Petites-Écuries;18
Q3001019;cour de l'Étoile-d'Or;17
Q3000897;cour Jacques-Viguès;16
Q3001065;cour du Minervois;15
Q3000999;cour de Rohan;15
Q3001015;cour de l'Industrie;15
Q14629224;cour de Rome;15
Q3000891;cour Damoye;15
Q3001054;cour du Chêne-Vert;15
Q1494655;Kabinettsgarten;15
Q3000940;cour d'Alsace-Lorraine;14
Q3001033;cour des Bretons;14
Q3000902;cour Saint-Joseph;14
Q3001041;cour des Trois-Frères;14
Q3001053;cour du Bel-Air;14
Q3000910;cour Viguès;14
Q3001024;cour de la Métairie;14
Q3001035;cour des Fabriques;13
Q3001023;cour de la Maison-Brûlée;13
Q3001017;cour de l'Ours;13
Q10141;Cour des Voraces;13
Q3000898;cour Jasmin;13
Q3000892;cour Bérard;13
Q1685573;Kolonnadenhof;13
Q3000930;Cour Carrée;12
Q3001067;cour du Nom-de-Jésus;12
Q3000900;cour Lesage;12
Q3001022;cour de la Grâce-de-Dieu;12
Q3001062;cour du Liégat;12
Q3001037;cour des Fermes;12
Q3001063;cour du Marché-Saint-Antoine;12
Q11940488;Pati de la casa Gralla;12
Q26547700;1-5, Queens Court;12
Q3000895;cour Delépine;12
Q3001071;cour du Roi-François;11
Q3001061;cour du Ginkgo;11
Q14629257;cour du Havre;11
Q3001059;cour du Coq;11
Q14629258;cour de Rome;11
Q3000939;cour d'Alger;11
Q3000893;cour Debille;11
Q83366642;Q83366642;11
Q3000896;cour Greneta;11
Q3000998;Cour de Marbre du Château de Versailles;11
Q3000906;cour Saint-Pierre;11
Q3000903;cour Saint-Louis;10
Q3000911;cour Vendôme;10
Q3763936;Corte di Giarola;10
Q22967129;Q22967129;10
Q3001069;cour du Panier-Fleuri;10
Q3001072;cour du Saint-Esprit;10
Q48200453;Q48200453;9
Q17569364;Edinburgh, West Savile Terrace, Reid Memorial Church, Courtyard With Church-officer's House;9
Q1776407;Klostermühle Bockum-Hövel;9
Q26433828;Carveth Farmhouse And Outbuildings Around Courtyard To North East;9
Q28151925;Q28151925;9
Q50324946;Q50324946;9
Q27541490;Ngarara Place;9
Q22963425;Q22963425;9
Q29949897;Q29949897;9
Q3000901;cour Quellard;9
Q22933264;Q22933264;9
Q26235584;Chancellor's Court;8
Q3000909;cour Sedaine;8
Q42601344;Q42601344;8
Q32651356;Q32651356;8
Q32651206;Q32651206;8
Q22963282;Cour et bâtiments dépendant du presbytère;8
Q22964210;Q22964210;8
Q2539880;Q2539880;8
Q3001055;cour du Cantal;8
Q3001068;cour du Ponant;8
Q3001064;cour du Midi;8
Q3000904;cour Saint-Nicolas;8
Q29505643;Gate-house, with gate-piers and retaining wall to courtyard, Plas Rhianfa;8
Q1575248;Q1575248;8
Q20968314;cour du Levant;7
Q3001034;Cour des Cerfs;7
Q32651274;Q32651274;7
Q33106243;Q33106243;7
Q1639487;cour d'Honneur;7
Q29495033;The Courtyard (formerly known as Trevalyn Hall Service Wing);7
Q29501553;Courtyard walls and outbuilding to rear of Rectory;7
Q18901051;Privy Garden of the Palace of Whitehall;7
Q68029148;Newcastle Court;7
Q29501253;Courtyard Wall, Gates and Railings at Hoaldalbert;7
Q17305072;Q17305072;7
Q60644309;cour des Moirages;7
Q29498422;Courtyard and ranges at Mona;7
Q29492332;Courtyard With Gatepiers, Castle Malgwyn;6
Q29506327;Front courtyard and boundary wall at Craig-y-nos;6
Q29492837;1. Rear Courtyard Ranges at Glynne Arms, Glynne Way (N Side);6
Q29489695;SE courtyard range, incorporating bakehouse and cow house at Aberglasney;6
Q29505787;Garden & courtyard walls on W and SW sides of Doldowlod House↵(partly in Nantmel);6
Q29489693;NE courtyard range at Aberglasney, incorporating stables and cart shed;6
Q29488907;Courtyard to Rear of No.6b Marine Terrace;6
Q29488906;Courtyard to Rear of No.5a Marine Terrace;6
Q29488905;Courtyard to Rear of No.4 Marine Terrace;6
Q29506195;Garden and courtyard walls on W and SW side of Doldowlod House↵(partly in Llanyre);6
Q29501438;Courtyard stable block at Mynachdy;6
Q29505774;Courtyard of outbuildings at Hayston Hall;6
Q29493080;Courtyard Outbuildings to Rear of Rookwood, A438 (Se Side), Bronydd;6
Q29499305;Courtyard outbuildings and retaining walls to adjacent formal garden area at Glan Gwna Hall;6
Q29498748;Farm courtyard to Tir Pentre;6
Q29498476;Courtyard range immediately SW of Castle Farmhouse;6
Q29498273;Courtyard of farm buildings at Manorafon;6
Q29496864;Courtyard range at Brocastle;6
Q29495998;North range to Courtyard, Cefn Bryntalch;6
Q29487884;Stable Courtyard at Stanage Park,Ludlow Road,Stanage;6
Q29492838;2. Rear Courtyard Ranges at Glynne Arms, Glynne Way (N Side);6
Q29488028;Courtyard Ranges of Farm Buildings to North of Siluria,Yardro;6
Q29506387;Farm courtyard at Aberbran Fach;6
Q29487878;Courtyard Buildings (W & Nw Sides) at Heartsease,Ludlow Road,Stanage;6
Q17305087;cour Napoléon;6
Q1867192;Q1867192;6
Q65660787;Courtyard of the Chateau Litomyšl;6
Q3001090;Q3001090;6
Q3001014;cour de l'Horloge;6
Q29487774;Courtyard Ranges at Upper Dolley House, Dolley Green;6
Q15948442;cour Ovale;6
Q15805357;Deutrichs Hof;6
