entity;label;popularity
Q459173;Challenger Deep;14
Q1803925;Landsort Deep;12
Q1700129;Milwaukee Deep;9
Q2586548;Vityas Deep 1;6
Q1027846;Calypso Deep;6
Q1638398;Hurd's Deep;6
Q1491734;Galathea Depth;6
Q5631165;Sirena Deep;5
Q1208581;Diamantina Deep;5
Q1937156;Litke Deep;4
Q1538850;Q1538850;3
Q821940;Berlin abyss;3
Q81912879;Nanok Deep;3
Q847000;Laurentian fan;3
Q1618582;Q1618582;2
Q1628178;Q1628178;2
Q74245125;Lambert Deep;2
Q1018573;Q1018573;2
Q2586543;Q2586543;2
Q2553519;Q2553519;2
Q2453057;Q2453057;2
Q2098189;Q2098189;2
Q1943612;Molloy Deep;2
Q1034227;Q1034227;2
Q1148014;Q1148014;2
Q1288188;Q1288188;2
Q1691640;Q1691640;2
Q1686509;Jeffrey Deep;2
Q1335239;Q1335239;2
Q1478402;Q1478402;2
Q1668866;Q1668866;2
Q2586541;Q2586541;1
