entity;label;popularity
Q2074197;Belgrade District;193
Q1048139;Kolubara District;106
Q648718;South Bačka District;87
Q867803;Mačva District;82
Q1061076;Nišava District;79
Q478278;Zlatibor District;72
Q861539;Braničevo District;70
Q544118;Šumadija District;69
Q217331;Srem District;67
Q728041;North Banat District;66
Q477586;Bor District;61
Q1043446;Rasina District;58
Q1061082;Raška District;57
Q720030;South Banat District;56
Q967339;Zaječar District;53
Q425782;Central Banat District;52
Q1061099;Pčinja District;49
Q867816;Pomoravlje District;45
Q648758;North Bačka District;44
Q915380;Moravica District;43
Q876541;Jablanica District;41
Q735169;West Bačka District;38
Q580069;Pirot District;36
Q1048184;Toplica District;31
Q778561;Podunavlje District;29
Q1452368;Kosovo District;25
Q201085;Prizren District;13
