entity;label;popularity
Q3241674;Anse Royale;22
Q2287379;Takamaka;20
Q569453;Anse Boileau;19
Q803716;Baie Sainte Anne;16
Q2494551;Baie Lazare;16
Q2199897;Plaisance;15
Q569458;Anse-aux-Pins;15
Q3241696;Glacis;15
Q1231388;Grand'Anse Praslin;15
Q2280357;Les Mamelles;14
Q387293;Anse Etoile;14
Q1945413;Mont Fleuri;14
Q1928685;Cascade;14
Q2718315;Roche Caiman;14
Q1808165;Port Glaud;14
Q3245439;Bel Ombre;13
Q3241682;Mont Buxton;13
Q2278695;Saint Louis;13
Q2667004;Au Cap;13
Q1819963;La Rivière Anglaise;13
Q2877260;Pointe La Rue;12
Q3241690;Grand'Anse Mahé;12
Q815077;Bel Air;12
Q7479348;Beau Vallon;12
Q1094917;La Digue and Inner Islands;11
