entity;label;popularity
Q6440452;Kräppladiket;14
Q15844377;Q15844377;13
Q17048415;Q17048415;12
Q1985923;Nico Ditch;12
Q17127207;Q17127207;11
Q3431953;Rigole de Courpalet;10
Q18027064;Q18027064;10
Q42849927;Ringsloot around Sportheldenbuurt;10
Q15807674;Q15807674;9
Q32750372;Eicheln-Graben;9
Q2231045;Schanzengraben Zürich;9
Q2281414;Q2281414;8
Q2464113;Töpperschloot;8
Q1998000;Nordgraben;8
Q3327978;Q3327978;8
Q22980351;Q22980351;8
Q11733188;Q11733188;8
Q12364195;Q12364195;7
Q31809673;Ditch Number 35;7
Q1360400;Q1360400;7
Q33060581;Q33060581;7
Q22938261;Q22938261;7
Q49247251;East Bench Ditch;7
Q3079724;Q3079724;7
Q2045672;Packereigraben;7
Q61911211;Q61911211;7
Q2100518;Q2100518;7
Q16411253;Q16411253;6
Q16412854;Q16412854;6
Q19368529;Millionengraben;6
Q1475169;Q1475169;6
Q1812098;Q1812098;6
Q28530478;Q28530478;6
Q31272869;Q31272869;6
Q18625469;Q18625469;6
Q1957981;Mönchgraben;6
Q18011065;Q18011065;6
Q70111517;Q70111517;6
Q12379091;Q12379091;6
Q16412757;Q16412757;6
Q12371867;Q12371867;6
Q12377416;Q12377416;6
Q12365740;Q12365740;6
Q12366558;Q12366558;6
Q52390780;Q52390780;6
Q52346249;Q52346249;6
Q18625501;Q18625501;6
Q2919193;Begijnensloot;6
Q12371267;Q12371267;6
Q18626790;Q18626790;6
Q12372290;Q12372290;6
Q16411387;Q16411387;6
Q13138759;Yntemasleat;6
Q61912034;Q61912034;6
Q17659295;90m section of the north Oxfordshire Grim's Ditch 350m south of Grim's Dyke Farm;5
Q17659147;900m section of the north Oxfordshire Grim's Ditch 200m north of Grim's Dyke Farm, running north into Hark Wood;5
Q17658947;380m section of the north Oxfordshire Grim's Ditch 200m ENE of Kiddington Lodge;5
Q16410148;Q16410148;5
Q1014947;Q1014947;5
Q31272897;Q31272897;5
Q31272904;Q31272904;5
Q31272916;Q31272916;5
Q31274135;Q31274135;5
Q31274142;Q31274142;5
Q31274423;Q31274423;5
Q31274514;Q31274514;5
Q31274570;Q31274570;5
Q31274633;Q31274633;5
Q31275127;Q31275127;5
Q31275161;Q31275161;5
Q32202827;Q32202827;5
Q59614987;Q59614987;5
Q61911163;Q61911163;5
Q71272638;Q71272638;5
Q32200945;Q32200945;5
Q17659225;240m section of the north Oxfordshire Grim's Ditch between Grim's Dyke Farm and the B4437 Charlbury to Woodstock road;5
Q75794063;Q75794063;5
Q1880182;Q1880182;5
Q2216070;Q2216070;5
Q12374097;Q12374097;5
Q13137904;Skipsleat;5
Q22691056;Q22691056;4
Q42306528;Q42306528;4
Q42306541;Q42306541;4
Q49265222;Q49265222;4
Q17461229;Hennipsloot;4
Q16599152;Q16599152;4
Q41546250;Q41546250;4
Q65235276;Fischergraben;4
Q25616708;Q25616708;4
Q2297065;Stadsmolensloot;4
Q31273451;Q31273451;3
Q31275093;Q31275093;3
Q31271897;Q31271897;3
Q12375517;Q12375517;3
Q31272744;Q31272744;3
Q12375581;Q12375581;3
Q12377425;Q12377425;3
Q12378234;Q12378234;3
Q31273497;Q31273497;3
Q31273449;Q31273449;3
Q31273492;Q31273492;3
Q31273469;Q31273469;3
Q31273465;Q31273465;3
Q31273447;Q31273447;3
Q31273463;Q31273463;3
