entity;label;popularity
Q35827;Río de la Plata;151
Q867460;Long Island Sound;76
Q213517;Gironde estuary;73
Q1524840;Western Scheldt;59
Q1266165;Oosterschelde;51
Q1974485;Dniester Liman;44
Q1585393;Haringvliet;35
Q2619452;Tylihul Estuary;34
Q2392921;Khadzhibey Estuary;33
Q697092;Hokianga;32
Q2731872;Estuary of Bilbao;31
Q502233;Southampton Water;28
Q3059075;Thames estuary;27
Q12068771;Severn Estuary;23
Q3059074;estuary of the Saint Lawrence River;23
Q1314643;Lough Foyle;21
Q3215249;Tuggerah Lake;20
Q20575022;Mawddach Estuary;18
Q14935920;Vasse-Wonnerup Estuary;18
Q2837927;Ortigueira estuary;17
Q2750104;Shannon Estuary;17
Q2350307;Port Hacking;17
Q8843595;Estuário do Espírito Santo;16
Q5599921;Great Sandy Strait;16
Q479030;Port Stephens;15
Q1682481;Lake St. Lucia;15
Q5419753;Exe Estuary;15
Q5578622;Gold Coast Broadwater;15
Q1045001;Carrick Roads;14
Q3359189;Oyster Harbour;14
Q8023100;Wilson Inlet;14
Q74269;Hamoaze;13
Q22004786;Colne Estuary;13
Q3889761;Middle Harbour;12
Q15262475;Nornalup Inlet;12
Q3059071;Vilaine estuary;12
Q35439168;Khlong Khao Thalu;12
Q3059070;Loire estuary;12
Q1699839;Pittwater;12
Q1544365;Great Swanport;12
Q4778433;Anzali Lagoon;11
Q1149898;Alligator Rivers;11
Q4297036;Miusskiy Liman;11
Q3394949;Q3394949;11
Q2179048;Ria of Tina Menor;11
Q7963133;Wallis Lake;11
Q4650620;ACE Basin;10
Q2575947;Bahía Blanca;10
Q35440677;Khlong Ko Pan Yi;10
Q6530294;Leschenault Estuary;10
Q1293938;Upper Newport Bay;9
Q7680927;Tamar–Tavy Estuary;9
Q68623684;Peel-Harvey Estuarine System;9
Q34732051;Khlong Phlio;9
Q3503114;Gabon Estuary;9
Q7691149;Teacapan Estuary;9
Q28457574;Harrison Bay;9
Q5305656;Drakes Estero;9
Q6075063;Irwin Inlet;9
Q7322249;Ribble and Alt Estuaries;8
Q21551826;Westray Firth;8
Q5502980;Fresh Kills;8
Q1893304;Reloncaví Estuary;8
Q22035924;Mar Pequeno;8
Q34716940;Dniprovs’kyy Lyman;8
Q31934744;Estero Alemán;7
Q31934836;Estero La Manzanilla;7
Q31934806;Estero El Zapote;7
Q31933754;Bocana El Sayte;7
Q31579508;Estero de Tripa de Gallena;7
Q31934800;Estero El Tamarindo;7
Q31934793;Estero El Naranjal;7
Q31934787;Estero El Estampido;7
Q31934781;Estero El Encantado;7
Q31934773;Estero El Brujo;7
Q31933848;Canal Santa Rita;7
Q31933871;Cañada El Guichoso;7
Q31807527;Kuala Gigieng;7
Q31933749;Bocana El Pecho;7
Q31933704;Bocana de San Juan;7
Q31807528;Malujo Estuary;7
Q31934751;Estero Amatillo;7
Q31934844;Estero Las Bocanitas;7
Q31934768;Estero El Barraco;7
Q34717166;Estero Brasil;7
Q31934849;Estero Las Conchas;7
Q34716963;El Presidio;7
Q34717156;Estero Boca Tecuanillo;7
Q34717147;Estero Boca de Pascuales;7
Q34717120;Estero Batanga;7
Q34717112;Estero Batamotos;7
Q34717038;Estero Angola;7
Q34717030;Estero Aguachil;7
Q34717022;Estero Agua Zarca;7
Q34717012;Estero Agua Pepe;7
Q34716892;Buz’kyy Lyman;7
Q31934855;Estero Llano Largo;7
Q34716859;Berezans’kyy Lyman;7
Q31565536;Tutac Estero;7
Q33135725;Hever;7
Q32224468;Ampalam Creek;7
Q31934902;Estero Toluca;7
Q31934889;Estero San Juan;7
Q31934875;Estero Rincón Grande;7
Q31934870;Estero Managuara;7
Q31579459;Estero Marala;7
Q25284554;Estero El Papalón;7
Q31547585;Tavialan Estero;7
Q25282658;Estero El Venado;7
Q25283179;Estero de La Jagua;7
Q34717201;Estero Cabuyal;7
Q25283158;Estero El Espina;7
Q25283155;Cogollo Salamar;7
Q25282680;Estero de Los Comejenes;7
Q25282670;Estero Boca Torcida;7
Q25282665;Estero El Palacio;7
Q25282659;Estero El Torcidito;7
Q25282650;Estero de Las Mujeres;7
Q25283209;Estero Dorado;7
Q25282639;Estero Revienta Cadenas;7
Q25282635;Estero Butus;7
Q25282630;Estero Carrachi;7
Q25282619;Estero El Cedro;7
Q25282581;Estero La Simona;7
Q25282576;Estero Los Barrancones;7
Q25282572;Estero de Los Loros;7
Q25282567;Estero Palo Seco;7
Q25283189;Estero de La Berberia;7
Q25283290;Boca de Conchalitos;7
Q31520329;Busilac River;7
Q25284556;Estero El Jicaro;7
Q31472838;Po Estero;7
Q29988263;Cao'ejiang Kou;7
Q26763398;Narrabeen Lake;7
Q25285092;Estero Jiotillo;7
Q25284563;Estero Cabezas;7
Q25284560;Estero El Corcovado;7
Q25284558;Estero El Coyol;7
Q25284557;Estero El Cubolero;7
Q25284555;Estero El Lagarto;7
Q25282555;Estero Vuelta Grande;7
Q25284549;Estero Jiote Grande;7
Q25284547;Estero Las Tinajas;7
Q25284545;Estero Los Duros;7
Q25284544;Estero Los Langues;7
Q25284542;Estero Los Negros;7
Q25284538;Estero Playa Salada;7
Q25284536;Estero Río Viejo;7
Q25284535;Estero Salinitas;7
Q34717192;Estero Burubampo;7
Q34717665;Estero el Coco;7
Q34717210;Estero Cadeje;7
Q34717217;Estero Caimanes;7
Q34731738;Estero Viejo;7
Q34731721;Estero Verde;7
Q34731714;Estero Vallecitas;7
Q34731707;Estero Vallecitas;7
Q34731700;Estero Valentín;7
Q34731692;Estero Vaditos;7
Q34731683;Estero Uña de Gata;7
Q34731666;Estero Tía Sostenes;7
Q34731641;Estero Tiche;7
Q34731634;Estero Ticha;7
Q34731615;Estero Tecomate;7
Q34731607;Estero Techoa;7
Q34731590;Estero Taícury;7
Q34731581;Estero Taribola;7
Q34731573;Estero Tamecancari;7
Q34731556;Estero Sopahui;7
Q34731548;Estero Sin Punta;7
Q34731532;Estero Sejurime;7
Q34731087;Estero el Jiote;7
Q34731746;Estero Vindramo;7
Q34731754;Estero Vuelta del Tabaco;7
Q34731763;Estero Yameto;7
Q34732327;La Bocana;7
Q56055354;Ballymacoda;7
Q34732607;Port Beaver;7
Q34732575;Pargo;7
Q34732503;Ochakivs’ke Hyrlo;7
Q34732486;Novostambul’s’ke Hyrlo;7
Q34732444;Mto Kombe;7
Q34732351;Las Garzas;7
Q34732334;La Playa;7
Q34732310;Kuala Yan Kechil;7
Q34731779;Esteros Los Tubos;7
Q34732303;Kuala Yan;7
Q34732295;Kuala Tok Pasai;7
Q34732245;Kuala Raga;7
Q34732173;Kiliys’ke Hyrlo;7
Q34731972;Hyrlo Musuna;7
Q34731964;Hyrlo Murza;7
Q34731909;Gironde;7
Q34731787;Esteros Potrero Grande;7
Q34731077;Estero el Jagüey;7
Q34731061;Estero el Guachapore;7
Q34731054;Estero el Gringo;7
Q34717366;Estero Chiquero de los Puercos;7
Q34717510;Estero el Angosto;7
Q34717500;Estero El Ancresito;7
Q34717492;Estero el Ahogado;7
Q34717484;Estero Duranguito;7
Q34717465;Estero del Tigre;7
Q34717448;Estero de Punta Raza;7
Q34717427;Estero Cutantenia;7
Q34717394;Estero Ciega;7
Q34717340;Estero Chichirigote;7
Q34717568;Estero El Bracito;7
Q34717323;Estero Chacalilla;7
Q34717304;Estero Cañada de la Presita;7
Q34717295;Estero Cañada Atravesada;7
Q34717282;Estero Carnevaca;7
Q34717265;Estero Capoa;7
Q34717256;Estero Cangilones;7
Q34717247;Estero Canarilebe;7
Q34717226;Estero Cajones;7
Q34717518;Estero El Atilaneño;7
Q34717577;Estero El Brinco;7
Q34731036;Estero El Gato;7
Q34717734;Estero el Culantro;7
Q34731013;Estero el Esterón;7
Q34730995;Estero el Elote;7
Q34730881;Estero Colorado;7
Q34717803;Estero El Draguito;7
Q34717781;Estero el Desecho;7
Q34717773;Estero El Custodio;7
Q34717763;Estero el Curi;7
Q34717743;Estero El Culebro;7
Q34717727;Estero el Cuchillo;7
Q34717585;Estero el Bule;7
Q34717692;Estero El Corcho;7
