entity;label;popularity
Q62018088;Q62018088;14
Q5899995;Sabzevar Yakhchals 1;11
Q5903000;Sabzevar Yakhchals 2;11
Q28713690;Kalantar Yakhchal of Zaferaniye;11
Q24087837;National Training Centre Ice House;10
Q62108346;Ice house approximately 75 metres south west of Burton Manor;10
Q25346075;Thompson Icehouse;9
Q8342981;Cava Gran;9
Q26520260;Ice House And Dovecote Near Weir By Stank Bank;9
Q15948848;Q15948848;9
Q17846525;Castle Huntly, Ice House;9
Q62393424;Cava del Benicadell;9
Q84723047;Cava de l'Habitació;9
Q18215110;Q18215110;9
Q20083783;Q20083783;9
Q17803429;Craigdarroch, Ice House;8
Q62061880;Ceramic panel of Saint Anthony the Great;8
Q62061876;Ceramic panel of the Holy Family;8
Q62061877;Ceramic panel of Saint Dominic;8
Q62061878;Eucharistic panel of Ayora;8
Q61503247;Nevera del Pico;8
Q65662112;Nevera del Castellet;8
Q64399704;Nevera del Mas de la Nevera;8
Q73904597;Nevera, Polygon 17 Parcel 3 (Clot de la Neu);8
Q3108387;Q3108387;8
Q83137862;Pou del Canyó;8
Q61439659;Ice House;8
Q26548634;Ice House Approximately 25 Metres To Rear Of Number 4 The Bay Horse Public House;8
Q26400309;Ice House Approximately 2 Metres North Of Court Hall Farmhouse;7
Q26473981;Ice House;7
Q26675349;Ice House;7
Q26613421;Ice House To North-East Of Werrington Park (House);7
Q26614201;Ice House, Wall And Ash House 20 Metres North Of Golden Manor;7
Q26517711;Ice House;7
Q26598480;Ice House About 100 Metres North Of Cotehele House;7
Q26310187;Icehouse At Ngr Ss 7999 4939;7
Q26490663;Icehouse Lodge;7
Q61719109;Cueva Sabuquera ice house;7
Q27082385;Icehouse;7
Q26581997;Ice House;7
Q26469118;Ice House, Approximately 150 Metres North Of Crowcombe Court;7
Q62628259;Pouet de la Font de la Noguera;7
Q62628261;Pouet de la Font del Cantal;7
Q26651297;Ice House About 60 Metres West Of Sacomebury Farm House;7
Q62836405;Ice house at Font Fedra street;7
Q62837914;El Fornet de la Neu;7
Q26618503;Ice House 250 Metres East Of Combe House;7
Q63483829;Ice house of Olocau del Rey;7
Q86363997;Helero de Biar;7
Q26604221;Icehouse Approximately 150 Metres East Of Tapeley Park House;7
Q26380563;Ice House;7
Q26390516;Ice House 220 Metres North North West Of Killerton House;7
Q26380555;Ice House;7
Q26411085;Ice House;7
Q58436444;Icehouse approximately 30 metres to north of Brantwood, Coniston;7
Q57494556;Q57494556;7
Q56258642;Ice house;7
Q61719111;Q61719111;7
Q61719112;Guillamón ice house;7
Q37303790;Q37303790;7
Q26466608;Ice House;7
Q26389905;Ice House About 90 Metres South East Of Church Of St Thomas;7
Q62056553;Nevera del Frontó;7
Q62060989;Cava de Cortés;7
Q62060990;Cava del Canonge;7
Q62060991;Cava del Carrascar;7
Q26656003;Ice House At Cookridge Hall;7
Q26512691;Ice House West Of Chelston Cottage;7
Q62061874;Nevera de la Hunde;7
