entity;label;popularity
Q5918737;San Salvador Intendancy;20
Q2894090;León Intendancy;15
Q5918684;Comayagua Intendancy;13
Q5918674;Chiloé Intendancy;6
Q2881427;Lima Intendancy;5
Q5918687;Concepción Intendancy;5
Q5918679;Ciudad Real de Chiapas Intendancy;4
Q5655043;Salta del Tucumán Intendancy;4
Q5918690;Coquimbo Intendancy;4
Q5918744;Santiago de Chile Intendancy;4
Q1449476;Trujillo Intendancy;3
Q5918715;La Paz Intendancy;2
Q5918746;Tarma Intendancy;2
Q5918658;Arequipa Intendancy;2
Q5918693;Córdoba del Tucumán Intendancy;2
Q5918759;Cuzco Intendancy;2
Q5918741;Santa Cruz de la Sierra Intendancy;1
Q5918748;Valladolid Intendency;1
Q5918734;San Miguel de Tucumán Intendancy;1
Q5918725;Puno Intendancy;1
Q5918723;Puebla Intendency;1
Q5918721;Potosí Intendancy;1
Q5918696;Durango Intendency;1
Q5918709;Huancavelica Intendancy;1
Q5918705;Huamanga Intendancy;1
Q5918701;Guanajuato Intendency;1
Q5918699;Guadalajara Intendency;1
Q5918681;Cochabamba Intendancy;1
Q5918677;Chuquisaca Intendancy;1
Q5918671;Caracas Intendancy;1
Q5918664;Buenos Aires Intendancy;1
Q5918661;Arizpe Intendency;1
Q5197103;Cuyo Intendancy;1
Q5918763;Paraguay Intendancy;1
