entity;label;popularity
Q1018879;Hatzor;65
Q1487392;Kfar Giladi;58
Q1339887;Ein Harod;46
Q476835;Givat Brenner;44
Q2889969;Ein HaHoresh;41
Q2371396;Degania Alef;39
Q1938721;Mishmar HaEmek;38
Q2339223;Kabri;36
Q586687;Yagur;36
Q2296107;Kvutzat Kinneret;35
Q2916639;Hulda;35
Q135484;Sha'ar HaAmakim;33
Q1026840;Na'an;32
Q2916922;Tzora;32
Q2917286;Tel Yosef;31
Q536383;Lohamei HaGeta'ot;30
Q1026531;Sde Boker;30
Q2467005;Be'eri;30
Q2900562;Beit Alfa;30
Q941089;Gvat;29
Q745981;Revivim;29
Q2890527;Eilon;29
Q2915514;Shefayim;29
Q545232;Dafna;28
Q1000893;HaZore'a;28
Q2920170;Merhavia;28
Q1019478;Kfar Blum;28
Q383280;Afikim;28
Q166857;Gan Shmuel;28
Q634253;Yotvata;27
Q2920050;Nahshon;27
Q2890213;Ein HaShofet;27
Q166865;Ein Shemer;27
Q2916648;Afek;26
Q1678182;Yad Mordechai;26
Q2889536;Mizra;26
Q932073;Ramat HaKovesh;26
Q567912;Ayelet HaShahar;26
Q1325255;Sdot Yam;25
Q1011518;Revadim;25
Q1019154;Negba;25
Q955960;Gesher, Israel;25
Q257555;Nirim;25
Q1339896;Ein Gev;25
Q2918816;Nitzanim;25
Q2130036;Ramat Rachel;25
Q2920219;Kvutzat Yavne;24
Q2889421;Sa'ad;24
Q1254405;Ramat HaShofet;24
Q174275;Shoval;24
Q2890799;Gazit;24
Q2776946;Sarid;24
Q2888967;Dorot;24
Q2916378;Kiryat Anavim;24
Q2410542;Mahanayim;24
Q991372;Dan;23
Q595509;Mishmar HaSharon;23
Q2497285;Givat HaShlosha;23
Q2890599;HaGoshrim;23
Q2890412;Ma'abarot;23
Q2889411;Evron;23
Q2890402;Hanita;23
Q2890190;Mefalsim;23
Q951336;Megiddo, Israel;23
Q1525069;Ginosar;23
Q2920136;Einat;23
Q2889861;Yehiam;23
Q2916641;Yakum;23
Q1882183;Ma'agan Michael;23
Q2889024;Shamir;22
Q2916651;Givat Haim;22
Q2889247;Mishmarot;22
Q2916818;Ramot Menashe;22
Q2573500;Beit Zera;22
Q2606770;Ketura;22
Q2667322;Ramat Yohanan;22
Q1000987;Ein Carmel;22
Q2890256;Manara;22
Q748670;Ruhama;22
Q2916550;Sasa;22
Q249491;Kissufim;22
Q2889794;HaOgen;22
Q1011492;Lahav;22
Q830798;Beit Guvrin;22
Q1001622;Kfar Szold;22
Q1000997;Dalia;22
Q2915530;Rosh HaNikra;22
Q269858;Hahotrim;22
Q1000908;Geva;22
Q990653;Bror Hayil;21
Q2392212;Kfar Menahem;21
Q1026818;Mishmar HaNegev;21
Q2670809;Alonim;21
Q2889893;Givat Haim;21
Q1853103;Ashdot Ya'akov Ihud;21
Q2777361;Parod;21
Q7289093;Ramat Ef'al;21
Q1012741;Nahsholim;21
Q2777452;Ma'anit;21
Q405280;Beit Kama;20
Q2888533;Gesher HaZiv;20
Q2891264;Ma'ale HaHamisha;20
Q1026824;Or HaNer;20
Q2889950;Neve Yam;20
Q591269;Kfar Ruppin;20
Q2890277;Barkai;20
Q942371;Netiv HaLamed-Heh;20
Q2777748;Yiftah;20
Q1011505;Netzer Sereni;20
Q2777371;Kvutzat Shiller;20
Q2776880;Misgav Am;20
Q2889548;Usha;19
Q2777781;Hulata;19
Q2888729;Ein HaMifratz;19
Q2889257;Yahel;19
Q2889500;Ein Tzurim;19
Q2777198;Beit HaArava;19
Q2889806;Ga'ash;19
Q2916534;Yir'on;19
Q2891278;Nir Am;19
Q2890692;Bahan;19
Q2917058;Yizre'el;19
Q135274;Hukok;19
Q647488;Nahshonim;19
Q2122843;Ma'ale Gilboa;19
Q471949;Amir;19
Q2469471;Ein Gedi;19
Q924984;Ramat David;19
Q510685;Hamadia;19
Q1018902;Hatzerim;19
Q550025;Tirat Zvi;19
Q2369693;Nahal Oz;19
Q2776798;Lahavot HaBashan;19
Q261686;Kramim;19
Q2776845;Ginegar;19
Q2920290;Eyal;19
Q943058;Nir David;19
Q1022506;Degania Bet;18
Q1399102;Reshafim;18
Q1759981;Palmachim;18
Q1350054;Erez;18
Q2920089;Magal;18
Q2916606;Maoz Haim;18
Q2916529;Tel Yitzhak;18
Q2889939;El Rom;18
Q2916614;Rosh Tzurim;18
Q1018892;Urim;18
Q2777328;Kfar HaMaccabi;18
Q1011470;Neot Semadar;18
Q2916536;Grofit;18
Q2889781;Holit;18
Q1011502;Bar'am;18
Q1011482;Dvir;18
Q985533;Merom Golan;18
Q2890353;Beit Nir;18
Q2777789;Kalya;18
Q351620;Adamit;18
Q202898;Zikim;18
Q2890864;Ga'aton;18
Q2916860;Eilot;18
Q2614813;Be'erot Yitzhak;18
Q2890825;Moran;18
Q2564675;Elifaz;18
Q2888904;Beit Oren;18
Q2889811;Ravid;18
Q2890609;HaMa'apil;18
Q2468110;Gal On;18
Q2888686;Lavi;18
Q2920031;Glil Yam;18
Q2889835;Ma'ayan Baruch;18
Q2890586;Gat;17
Q2889908;Geshur;17
Q1000900;Yifat;17
Q285260;Afik;17
Q598607;Beit HaEmek;17
Q2890889;Alumim;17
Q2890314;Sufa;17
Q934250;Regavim;17
Q2777017;Snir;17
Q1011531;Gal'ed;17
Q2889431;Neve Harif;17
Q2888752;Ashdot Ya'akov Meuhad;17
Q1918793;Meirav;17
Q2888546;Masada;17
Q2916751;Dovrat;17
Q1026806;Kerem Shalom;17
Q2888861;Gevim;17
Q2889475;Niran;17
Q2889513;Nir Eliyahu;17
Q1011560;Nir Oz;17
Q2777378;Gonen;16
Q2776367;Lotan;16
Q2776997;Yas'ur;16
Q2916646;Ein Dor;16
Q2839359;Alumot;16
Q2916678;Neot Mordechai;16
Q2890547;Kfar Masaryk;16
Q2777329;Hanaton;16
Q546343;Heftziba;16
Q2890392;Hafetz Haim;16
Q2777759;Almog;16
Q2910412;Ami'ad;16
Q2095906;Ein HaNatziv;16
Q2890202;Harel;16
Q2889873;Sde Eliyahu;16
Q975999;Gezer;16
Q960557;Sha'alvim;16
Q2889225;HaOn;16
Q2890174;Eshbal;16
Q2890180;Kfar Aza;16
Q2889195;HaSolelim;16
Q731831;Sha'ar HaGolan;16
Q690804;Mashabei Sadeh;16
Q2889745;Gadot;16
Q2890805;Mitzpe Shalem;16
Q2909997;Ein Zivan;15
Q2915464;Ein HaShlosha;15
Q2916676;Sde Yoav;15
Q2916661;Tel Katzir;15
Q2916622;Harduf;15
Q2888564;Neve Eitan;15
Q2890725;Gvulot;15
Q937128;Beit Keshet;15
Q1399050;Mesilot;15
Q1399108;Shluhot;15
Q1777470;Migdal Oz;15
Q2115397;Kfar HaNassi;15
Q2890374;Pelekh;15
Q2889772;Tzova;15
Q2777455;Kfar HaHoresh;15
Q2890206;Ortal;15
Q2777524;Ein Harod;15
Q2888816;Gilgal;15
Q2916652;Re'im;14
Q2889233;Ein Harod;14
Q2888878;Shomria;14
Q2776930;Givat Haim;14
Q2777935;Karmia;14
Q2889466;Samar;14
Q2418411;Kfar Glikson;14
Q2920302;Mevo Hama;14
Q2889414;Lotem;14
Q2888762;Shomrat;14
Q2889847;Beit Rimon;14
Q2889953;Horshim;14
Q2889488;Gvar'am;14
Q2889963;Lehavot Haviva;14
Q2909681;Natur;14
Q2916631;Tze'elim;13
Q2890510;Metzer;13
Q2890219;Tuval;13
Q2777785;Sde Nehemia;13
Q2904783;Inbar;13
Q2888757;Matzuva;13
Q2891543;Ashdot Ya'akov;13
Q2910744;Yahad;13
Q2890636;Metzar;13
Q2916656;Ma'agan;13
Q2888787;Sa'ar;13
Q2777293;Ziv'on;13
Q2890654;Kfar Haruv;12
Q2575555;Yad Hana;12
Q2890030;Neve Ur;12
Q2916809;Sde Nahum;12
Q2916807;Malkia;12
Q2890019;Tlalim;12
Q2888639;Ma'ayan Tzvi;12
Q2889599;Magen;12
Q2890264;Nir Yitzhak;11
Q165623;Kadarim;11
Q2890663;Givat Oz;10
Q18191400;Q18191400;7
Q5349598;Ein Zeitim;6
Q7212096;Q7212096;5
Q5565575;Giv'ot Zaid;5
