entity;label;popularity
Q1000285;Dimmuborgir;13
Q7502370;Black Butte Crater Lava Field;10
Q826132;Lajat;8
Q6502661;Lavic Lake volcanic field;8
Q27012261;Q27012261;7
Q49298347;Cinder Cone Lava Beds;7
Q49298329;A. G. Aiken Lava Bed;7
Q49298343;Brockman Flat Lava Beds;6
Q49298506;Saddle Butte Lava Field;6
Q49298488;Lava Hills;6
Q49298439;Lambert Rocks;6
Q49298364;Ibkikwit Lava Bed;6
Q49298353;Fantastic Lava Beds;6
Q49298525;The Lava Beds;6
Q49298338;Blackfoot Lava Field;6
Q17079539;Kanehekili Fluctus;6
Q4945147;Boring Lava Field;6
Q1137348;Hallmundarhraun;6
Q863737;Harrat Kishb;5
Q27728740;Western Lava Fields;5
Q27728832;Lava Field;5
Q5984134;Ibkilwit Lava Bed;4
