entity;label;popularity
Q4667101;Aberglaslyn Pass;67
Q671415;Waidring;64
Q206248;Q206248;47
Q194450;Thermopylae;46
Q212946;Brenner Pass;44
Q25233;Gotthard Pass;42
Q623424;Great St Bernard Pass;37
Q751919;Llanberis Pass;34
Q1401156;Razdrto, Postojna;29
Q1200615;Despeñaperros;27
Q63600;Semmering Pass;25
Q471166;Simplon Pass;25
Q1345705;Little St Bernard Pass;24
Q1333807;Shipka Pass;24
Q222860;Reschen Pass;24
Q1334855;Stelvio Pass;24
Q732143;Col du Galibier;23
Q289898;Julier Pass;23
Q3367142;Pas de Bellecombe-Jacob;23
Q1107381;Maddalena Pass;23
Q911014;Dukla Pass;22
Q1165879;Darial Gorge;22
Q2981957;Howse Pass;22
Q569522;Loibl Pass;21
Q1072958;Chilkoot Pass;21
Q570647;Nufenen Pass;21
Q605243;Splügen Pass;21
Q13411496;Mont Cenis Pass;21
Q942322;Col du Tourmalet;20
Q877334;Timmelsjoch;20
Q872329;Turracher Höhe Pass;20
Q357138;Forch;20
Q1108953;Col de Tende;20
Q371791;Staller Sattel;20
Q389859;Somport;20
Q664978;Maloja Pass;20
Q666004;Lukmanier Pass;20
Q891257;Bolan Pass;20
Q2981956;Athabasca Pass;20
Q3374617;Pen-y-Pass;19
Q665026;Umbrail Pass;19
Q1156105;Crawford Notch;19
Q477193;Sella Nevea;19
Q1107509;Col du Lautaret;19
Q511182;Col Agnel;19
Q662117;Birnlücke;18
Q668339;Pfitscher Joch;18
Q1324562;Yumen Pass;18
Q452977;Lolo Pass;18
Q669026;Passo del Turchino;18
Q2982315;Col du Portillon;18
Q454931;Klammljoch;18
Q2982097;Col de Panissars;18
Q1779610;South Pass;18
Q1989399;Somosierra;18
Q934803;Transfăgărășan;18
Q894699;Arabakonak;18
Q1089225;Vršič Pass;17
Q629324;San Bernardino Pass;17
Q1229446;Krimmler Tauern;17
Q5484708;Franconia Notch;17
Q1137017;Khunjerab Pass;17
Q2982005;Col d'Èze;17
Q1193122;Jiayuguan;17
Q2982321;Taïbit Pass;17
Q684399;San Giacomo Pass;17
Q21330592;Portella de Baiau;17
Q3077180;Forester Pass;17
Q669135;Plöcken Pass;17
Q2981963;Logan Pass;17
Q1107430;Col de la Cayolle;17
Q1305618;Roncevaux Pass;17
Q2641320;Col du Pourtalet;16
Q693468;Muretto Pass;16
Q253818;Mendola Pass;16
Q2568141;Gate of Trajan;16
Q547474;Col de l'Iseran;16
Q2477016;Lagos de Covadonga;16
Q609320;Antronapass;16
Q11942396;Port de Rus;16
Q7846596;Trout Creek Pass;16
Q7921598;Vermilion Pass;16
Q49146445;Port de Boet;16
Q666263;Katschberg Pass;16
Q1107433;Col de la Faucille;16
Q666668;Grimsel Pass;16
Q2963792;Chinook Pass;16
Q1193166;Pordoi Pass;16
Q2981943;Akamina Pass;16
Q1107472;Col des Champs;16
Q1107545;col d'Izoard;16
Q6370511;Karikachi Pass;16
Q870342;Lötschen Pass;16
Q666086;Susten Pass;16
Q379948;San Pellegrino Pass;16
Q1008597;Gavia Pass;15
Q667398;Klausen Pass;15
Q1107475;Col de la Madeleine;15
Q681105;Stoss Pass;15
Q2981954;Cascade Pass;15
Q1133080;Cormet de Roselend;15
Q3398589;Port de Venasque;15
Q1552501;Gsieser Törl;15
Q948024;Col des Montets;15
Q11914637;Collada de Dellui;15
Q3400107;Horseshoe Pass;15
Q11942392;port de Caldes;15
Q665607;Monte Moro Pass;15
Q1107488;Col du Glandon;15
Q239460;Theodul Pass;15
Q127968;Sani Pass;15
Q667166;Septimer Pass;15
Q11914688;Collet de Contraix;15
Q1561072;Uspallata Pass;15
Q691297;Pas de Morgins;15
Q1700174;Neutscher Höhe;15
Q17605454;collada dels Gavatxos;15
Q6092315;Puerto de La Fuenfría;15
Q7420405;Santiam Pass;15
Q2788344;Puncak;15
Q547949;Puerto de Navacerrada;15
Q389416;Gemmi Pass;15
Q1256860;Three Pagodas Pass;15
Q1107405;Col de Turini;15
Q533765;Jaufenpass OK;15
Q533689;Col des Aravis;15
Q873457;Obdacher Sattel;15
Q11584236;Yatate pass;14
Q1107555;Col d'Aubisque;14
Q973532;Col de Montgenèvre;14
Q670156;Col de la Forclaz;14
Q874495;Iselsberg Pass;14
Q797792;Babusar Pass;14
Q782277;Hochjoch;14
Q868223;Col de la Colombière;14
Q1107533;Col d'Aspin;14
Q11915626;Coret de Oelhacrestada;14
Q670928;Col de Pierre Pertuis;14
Q949245;Schlappiner Joch;14
Q1414399;Penser Joch;14
Q1319012;Jablunkov Pass;14
Q11914535;coll de Travessani;14
Q11914659;collada del Montanyó;14
Q1398549;Vlárský Prŭsmyk;14
Q7195295;Pine Pass;14
Q21871884;Hochtor;14
Q5293849;Donahue Pass;14
Q1330063;Juyongguan;14
Q873978;Gerichtsberg Pass;14
Q11914626;collada Barrada;14
Q11914457;coll d'Abellers;14
Q944457;Tonale Pass;14
Q838548;Tangeh Savashi;14
Q1107518;Col d'Allos;14
Q8029827;Wolf Creek Pass;14
Q665816;Arlberg;14
Q3682779;Colle della Croce;14
Q604199;Bözberg Pass;14
Q1571977;Port de la Bonaigua;14
Q2438814;Togwotee Pass;14
Q498788;Haast Pass;14
Q27236032;Mono Pass;14
Q493994;Col de Bussang;14
Q2982248;Col du Béal;14
Q2982139;Vorotan Pass;14
Q1640612;Radstädter Tauern Pass;14
Q392568;Sattelegg Pass;14
Q2982011;Col de Banyuls;14
Q372467;Flüela Pass;14
Q1754407;Predil Pass;14
Q2858094;Apache Pass;14
Q365864;Gries Pass;14
Q365768;San Jorio Pass;14
Q2981976;Mamison Pass;14
Q361973;Flexen Pass;14
Q12292506;Q12292506;14
Q314878;Achen Pass;14
Q2981955;Craig Pass;14
Q16399273;Bechenagskiy Pereval;14
Q17588120;collada del Bony Blanc;14
Q11940378;pas de Trescazes;14
Q3925447;Q3925447;14
Q662646;Fuorn Pass;14
Q3925446;Puerto de Cotos;14
Q646742;Col de Bretolet;14
Q3954904;Sella di Corno;14
Q670012;Ruppen Pass;13
Q894357;Bosberg;13
Q1143302;Torugart Pass;13
Q17603659;coll de Fenerui;13
Q265759;Col de Vars;13
Q828162;Berthoud Pass;13
Q636165;Col des Mosses;13
Q665185;Grosse Scheidegg;13
Q1187710;Yablunytsia Pass;13
Q68025225;Q68025225;13
Q670023;Pragel Pass;13
Q1194223;Salang Pass;13
Q18004948;coll de la Montanyeta;13
Q2982125;Sylvan Pass;13
Q764281;Plateau de Beille;13
Q2982009;Col de Balme;13
Q668619;Gerlos Pass;13
Q2685264;Colle Sestriere;13
Q28381301;coll Mitjà;13
Q17593035;collada dels Carants;13
Q873934;Felbertauern;13
Q2981946;Allison Pass;13
Q128884;Cilician Gates;13
Q873294;Tuxer Joch;13
Q17587112;coll Arenós;13
Q12644949;Vratnik;13
Q17586723;colladó d’Aigüissi;13
Q1107460;Col de la Schlucht;13
Q361615;Karerpass;13
Q1107453;Col de la République;13
Q7231065;port de Cabús;13
Q4966632;Bridger Pass;13
Q867075;Zojila Pass;13
Q867063;Nangpa La;13
Q1107359;Col du Granon;13
Q2562349;Col de Manse;13
Q7380403;Rupin Pass;13
Q2982308;Col du Perthus;13
Q738592;Port d'Envalira;13
Q685718;Naßfeld Pass;13
Q641595;Furkelpass;13
Q7859140;Two Ocean Pass;13
Q11909968;bretxa Peyta;13
Q505944;Montagu Pass;13
Q547332;Shipki La;13
Q683628;Greina;13
Q11944130;Port de Colomèrs;13
Q2322315;Côte de La Redoute;13
Q11914489;coll de Comalesbienes;13
Q581865;Col de la Croix de Fer;13
Q187770;Zellerrain Pass;13
