entity;label;popularity
Q2844;Brasília;4482
Q36947;Salvador;2722
Q132997;Florianópolis;953
Q12829733;Belém;878
Q131620;Natal;707
Q1802783;Boa Saúde;702
Q40236;Manaus;688
Q167436;João Pessoa;516
Q193019;Juiz de Fora;465
Q168376;Vitória;461
Q165341;Teresina;437
Q170578;Aracaju;432
Q168929;Campo Grande;381
Q109188;Pelotas;367
Q740833;Santa Maria;349
Q155557;Blumenau;345
Q170762;Cuiabá;338
Q689868;Campos dos Goytacazes;326
Q192387;Londrina;319
Q156819;Joinville;313
Q330175;Piracicaba;311
Q110017;Caxias do Sul;310
Q869571;Rio Grande;269
Q166378;Cachoeira do Sul;266
Q28301;Olinda;258
Q180215;Macapá;257
Q119140;Bagé;251
Q194343;Feira de Santana;249
Q172512;Porto Velho;248
Q622823;Uruguaiana;239
Q188905;Ouro Preto;235
Q34028;Diamantina;235
Q188897;Nova Iguaçu;235
Q651906;Montes Claros;233
Q242906;Ponta Grossa;233
Q208669;Maringá;225
Q83114;São Gonçalo;222
Q762009;Lages;213
Q276176;Volta Redonda;205
Q622830;Caruaru;205
Q1439157;Criciúma;204
Q503852;Paranaguá;203
Q271215;Corumbá;201
Q694845;Mossoró;200
Q205681;Cascavel;198
Q525647;Passo Fundo;197
Q321331;Novo Hamburgo;193
Q622836;Teresópolis;189
Q202316;Foz do Iguaçu;185
Q468563;Nova Friburgo;185
Q542829;Angra dos Reis;182
Q740965;São João del Rei;182
Q373705;Ilhéus;182
Q842713;Itajaí;180
Q460750;Itabuna;180
Q318314;Ipatinga;178
Q462218;Governador Valadares;176
Q459690;São João de Meriti;169
Q80004;Coronel Fabriciano;168
Q688275;São Leopoldo;166
Q181056;Boa Vista;165
Q1638413;Itabira;164
Q1638425;Lavras;163
Q817227;Juazeiro do Norte;163
Q514256;Rio Pardo;162
Q817216;Poços de Caldas;162
Q659450;Santarém;161
Q1637446;Muriaé;152
Q926606;Divinópolis;150
Q949798;Pouso Alegre;150
