entity;label;popularity
Q2302964;Talsi Municipality;118
Q2321579;Ogre Municipality;108
Q1579113;Jelgava Municipality;102
Q369007;Tukums Municipality;102
Q932445;Ludza Municipality;94
Q2198472;Madona Municipality;93
Q1579076;Limbaži Municipality;90
Q519580;Dobele Municipality;84
Q1518841;Rēzekne Municipality;81
Q209187;Gulbene Municipality;75
Q3393445;Alūksne Municipality;73
Q2337266;Iecava Municipality;73
Q11068461;Ropaži Municipality;70
Q2299261;Saldus Municipality;70
Q960572;Daugavpils Municipality;69
Q2361012;Baltinava Municipality;68
Q2365998;Bauska Municipality;67
Q2299251;Sigulda Municipality;66
Q2299436;Vecumnieki Municipality;65
Q3019837;Ādaži Municipality;65
Q1959984;Smiltene Municipality;64
Q2171669;Garkalne Municipality;62
Q2989420;Aloja Municipality;62
Q2269685;Tērvete Municipality;62
Q2232018;Mārupe Municipality;61
Q2304902;Mālpils Municipality;61
Q2079428;Burtnieki Municipality;60
Q2337188;Kuldīga Municipality;60
Q2251931;Salacgrīva Municipality;60
Q1945263;Valka Municipality;59
Q2030886;Baldone Municipality;59
Q1345325;Ventspils Municipality;59
Q2268947;Ķekava Municipality;58
Q2072209;Ķegums Municipality;57
Q2018672;Balvi Municipality;56
Q2283334;Mazsalaca Municipality;56
Q2302998;Krimulda Municipality;55
Q2299214;Stopiņi Municipality;55
Q2018692;Beverīna Municipality;55
Q1934932;Auce Municipality;54
Q2277469;Preiļi Municipality;54
Q2304840;Kocēni Municipality;53
Q773027;Naukšēni Municipality;53
Q2079353;Babīte Municipality;53
Q371429;Saulkrasti Municipality;53
Q2451375;Olaine Municipality;53
Q2299415;Rūjiena Municipality;52
Q2343837;Ape Municipality;52
Q2304926;Ozolnieki Municipality;52
Q2079455;Engure Municipality;52
Q2299223;Strenči Municipality;52
Q2277489;Līvāni Municipality;51
Q2079406;Ērgļi Municipality;51
Q2361131;Dagda Municipality;51
Q2024643;Kandava Municipality;50
Q2453125;Carnikava Municipality;50
Q2286864;Skrīveri Municipality;49
Q2072154;Jaunpils Municipality;49
Q2299447;Sēja Municipality;49
Q2304893;Priekule Municipality;49
Q2337298;Ikšķile Municipality;49
Q2320320;Grobiņa Municipality;48
Q1920815;Vecpiebalga Municipality;48
Q1869075;Viļaka Municipality;48
Q2140753;Salaspils Municipality;48
Q279004;Lielvārde Municipality;47
Q1831695;Krāslava Municipality;47
Q2485015;Aizpute Municipality;47
Q2880128;Jaunjelgava Municipality;47
Q865649;Pļaviņas Municipality;47
Q2252820;Inčukalns Municipality;46
Q1892063;Amata Municipality;46
Q2122124;Rundāle Municipality;46
Q1995769;Alsunga Municipality;46
Q2025473;Ilūkste Municipality;45
Q2299231;Priekuļi Municipality;45
Q2395952;Kārsava Municipality;44
Q2161795;Nereta Municipality;44
Q2299239;Skrunda Municipality;43
Q2306846;Jaunpiebalga Municipality;43
Q2045300;Aglona Municipality;43
Q432596;Varakļāni Municipality;42
Q2416186;Mērsrags Municipality;41
Q865676;Aizkraukle Municipality;41
Q865717;Brocēni Municipality;40
Q1962356;Durbe Municipality;40
Q2274832;Dundaga Municipality;40
Q2093996;Viesīte Municipality;40
Q1579101;Jēkabpils Municipality;39
Q2072165;Lubāna Municipality;39
Q1989164;Cēsis Municipality;39
Q2124808;Rauna Municipality;38
Q3274762;Zilupe Municipality;38
Q865658;Aknīste Municipality;38
Q2124995;Rucava Municipality;38
Q865682;Koknese Municipality;38
Q2304831;Pārgauja Municipality;38
Q2302986;Roja Municipality;38
Q1942469;Pāvilosta Municipality;38
Q2375848;Sala Municipality;37
Q1023736;Līgatne Municipality;36
Q511151;Vaiņode Municipality;36
Q2277478;Krustpils Municipality;36
Q2106159;Riebiņi Municipality;35
Q1837354;Rugāji Municipality;35
Q2327041;Cesvaine Municipality;35
Q1950456;Nīca Municipality;35
Q2018681;Viļāni Municipality;34
Q1955102;Cibla Municipality;33
Q1023757;Vārkava Municipality;32
Q7396097;Sabile Municipality;7
Q7402727;Saka Municipality;6
Q16351026;Rozula Municipality;1
