entity;label;popularity
Q16050;Diekirch;209
Q741589;Wiltz;177
Q985402;Niederanven;172
Q284855;Mersch;159
Q659351;Ettelbruck;159
Q836075;Clervaux;153
Q602441;Pétange;151
Q921291;Mamer;136
Q687100;Redange;133
Q809603;Bertrange;130
Q24454;Troisvierges;128
Q985404;Wincrange;128
Q669155;Schifflange;127
Q798747;Mondorf-les-Bains;126
Q832342;Bettembourg;125
Q183841;Schengen;124
Q986400;Strassen;122
Q917508;Walferdange;122
Q985478;Steinfort;120
Q676957;Colmar-Berg;117
Q641381;Bourscheid;117
Q985382;Leudelange;116
Q985476;Sandweiler;116
Q986396;Rambrouch;116
Q1017425;Flaxweiler;115
Q985388;Garnich;115
Q958682;Habscht;112
Q776642;Käerjeng;111
Q921321;Hesperange;111
Q426998;Dippach;110
Q743393;Parc Hosingen;110
Q677804;Sanem;109
Q377847;Weiswampach;106
Q1143742;Kiischpelt;105
Q813727;Beckerich;103
Q985387;Mertert;102
Q660217;Consdorf;100
Q18693153;Beaufort;100
Q818891;Berdorf;98
Q432495;Kehlen;98
Q832382;Bettendorf;98
Q683922;Roeser;98
Q986392;Esch-sur-Sûre;98
Q742927;Heffingen;97
Q866692;Bissen;97
Q939625;Kayl;96
Q985471;Koerich;96
Q985149;Steinsel;95
Q1133688;Lac de la Haute-Sûre;95
Q985153;Rosport;94
Q986412;Dalheim;94
Q371757;Schieren;94
Q811880;Boulaide;93
Q513740;Putscheid;93
Q985333;Useldange;93
Q985477;Kopstal;92
Q985473;Vichten;91
Q985472;Tuntange;91
Q985383;Mompach;91
Q985392;Goesdorf;90
Q986590;Boevange-sur-Attert;90
Q1143756;Septfontaines;89
Q1365356;Tandel;89
Q985399;Wormeldange;89
Q1134542;Préizerdaul;89
Q596040;Contern;89
Q985397;Larochette;88
Q1017421;Saeul;88
Q1313580;Vallée de l'Ernz;88
Q1143707;Feulen;88
Q813593;Bech;87
Q985395;Lintgen;87
Q985390;Weiler-la-Tour;87
Q850734;Betzdorf;87
Q145727;Ell;86
Q939598;Mondercange;85
Q1016233;Fischbach;85
Q895269;Bous;84
Q1017400;Stadtbredimus;84
Q376454;Biwer;84
Q1017410;Lenningen;84
Q1017412;Waldbillig;84
Q256978;Lorentzweiler;83
Q956489;Schuttrange;83
Q986403;Erpeldange;83
Q985393;Nommern;83
Q985479;Manternach;82
Q985385;Winseler;82
Q1017402;Frisange;82
Q985196;Reisdorf;82
Q685611;Mertzig;82
Q166320;Wahl;80
Q783026;Reckange-sur-Mess;80
Q1017407;Waldbredimus;78
Q986417;Grosbous;76
Q25583657;Helperknapp;41
Q31734921;Rosport-Mompach;34
Q1017435;Heiderscheid;23
Q1398947;Wellenstein;22
Q1401990;Munshausen;21
Q28501327;Eschweiler;21
Q1401963;Burmerange;19
Q774592;Neunhausen;17
Q31811629;Kautenbach;13
Q20969792;Wilwerwiltz;11
Q17496568;Bascharage;10
Q7361259;Rollingergrund;9
Q20969230;Esch-sur-Alzette;9
Q16763715;Q16763715;3
Q25583424;Q25583424;3
Q61356726;Q61356726;2
