entity;label;popularity
Q130905;Gulf Stream;32
Q53842;Kuroshio Current;19
Q143888;Humboldt Current;16
Q1072306;South Equatorial Current;15
Q398548;Agulhas Current;11
Q55828;Antarctic Circumpolar Current;11
Q59676;Benguela Current;11
Q1126449;Norwegian Current;11
Q143917;East Australian Current;11
Q677292;Brazil Current;10
Q867775;North Equatorial Current;10
Q1257715;Indonesian Throughflow;10
Q577367;Antilles Current;10
Q1257727;Guinea Current;10
Q143663;North Pacific Current;9
Q211798;North Atlantic Current;9
Q3752376;Mindanao Current;9
Q281655;California Current;9
Q58440;Oyashio Current;9
Q1260903;West Greenland Current;8
Q1902975;Alaska Current;8
Q2576573;West Spitsbergen Current;8
Q47954;Labrador Current;8
Q1255913;Caribbean Current;8
Q60704612;Pacific North Equatorial Current;7
Q143920;Falkland Current;7
Q58708;Mozambique Current;7
Q60699236;Pacific South Equatorial Current;7
Q924509;West Australian Current;7
Q213197;Canary Current;7
Q52739461;Atlantic South Equatorial Current;7
Q495355;Tsushima Current;7
Q143660;East Greenland Current;7
Q6979551;North Brazil Current;6
Q1278535;Baffin Island Current;6
Q1267550;Somali Current;6
Q1263337;Portugal Current;6
Q1263083;Florida Current;6
Q24638315;Rullard Röst;6
Q1190478;Cromwell current;6
Q1140784;Davidson Current;6
Q1072729;Kamchatka Current;6
Q936874;Irminger Current;6
Q60260389;Atlantic North Equatorial Current;6
Q60698861;Indian South Equatorial Current;6
Q623748;East Korea Warm Current;6
Q600069;Indian Monsoon Current;6
Q24638316;Rull Röst;5
Q11556417;Tsugaru Warm Current;5
Q11246467;North Korea Cold Current;5
Q2467321;Lomonosov Current;5
Q142955;East Iceland Current;5
Q1566252;Tasman Outflow;5
Q377116;Loop Current;5
Q143926;Angola Current;5
Q1243936;Aleutian Current;5
Q143183;Transpolar Drift Stream;5
Q1279906;East Madagascar Current;5
Q1962901;North Cape Current;4
Q11527439;East Sakhalen Current;4
Q794045;Azores Current;4
Q143019;Cape Horn Current;4
Q19366479;Guiana current;4
Q1288064;Leeuwin Current;4
Q6599399;Svalbard Current;4
Q4652675;Atlantic meridional overturning circulation;4
Q1288085;South Atlantic Current;4
Q58736;Madagascar Current;4
Q2084008;Black Sea undersea river;3
Q19876639;Tasman Front;3
Q20057936;Panama Current;3
Q23578938;Agulhas Return Current;3
Q30680870;North Madagascar Current;3
Q4430623;Soya Warm Current;3
Q255833;Equatorial Stream;3
Q496182;Liman Current;3
Q19949840;Q19949840;2
Q11830474;Q11830474;1
Q46486819;Q46486819;1
