entity;label;popularity
Q453188;Baltimore–Washington Parkway;42
Q7540501;Sligo Creek Parkway;21
Q2488389;Eastern Parkway;19
Q2484254;Alewife Brook Parkway;12
Q7270321;Queen Elizabeth Driveway;11
Q167984;Nahant Beach Boulevard;10
Q1956931;Mystic Valley Parkway;10
Q630564;Arborway;8
Q1156354;Truman Parkway;8
Q6995312;Neponset Valley Parkway;8
Q1193015;West Roxbury Parkway;7
Q4744843;American River Parkway;7
Q5148102;Colonel By Drive;7
Q48743217;Rahway River Parkway;6
Q17108972;Long Sault Parkway;5
Q16918386;Paxtang Parkway;1
