entity;label;popularity
Q78372351;part of Dundonald civil parish in South Ayrshire council area;11
Q78372536;part of Oldhamstocks civil parish in East Lothian council area;11
Q78372326;part of Coylton civil parish in South Ayrshire council area;11
Q78372348;part of Dundonald civil parish in North Ayrshire council area;11
Q78610185;part of Ballantrae civil parish in South Ayrshire council area;11
Q78646823;part of Fala and Soutra civil parish in Scottish Borders council area;11
Q78372370;part of Edinkillie civil parish in Moray council area;11
Q78372383;part of Glenorchy and Inishail civil parish in Argyll and Bute council area;11
Q78372385;part of Glenorchy and Inishail civil parish in Highland council area;11
Q78372411;part of Innerwick civil parish in East Lothian council area;11
Q78372423;part of Kenmore civil parish in Perth and Kinross council area;11
Q78610175;part of Ardchattan and Muckairn civil parish in Argyll and Bute council area;11
Q78372320;part of Comrie civil parish in Perth and Kinross council area;11
Q78372459;part of Kirkliston civil parish in West Lothian council area;11
Q78372482;part of Lismore and Appin civil parish in Highland council area;11
Q78372324;part of Comrie civil parish in Stirling council area;11
Q78372588;part of Straiton civil parish in South Ayrshire council area;11
Q78646902;part of Stenton civil parish in East Lothian council area;11
Q78372580;part of Spott civil parish in East Lothian council area;11
Q78646887;part of Saline civil parish in Fife council area;11
Q78372558;part of Renfrew civil parish in Renfrewshire council area;11
Q78372359;part of Eastwood civil parish in East Renfrewshire council area;10
Q78372590;part of Straiton civil parish in East Ayrshire council area;10
Q78372369;part of Edinkillie civil parish in Highland council area;10
Q78372361;part of Eastwood civil parish in Glasgow City council area;10
Q78372545;part of Paisley civil parish in Glasgow City council area;10
Q78372403;part of Hamilton civil parish in South Lanarkshire council area;10
Q78610171;part of Abernethy civil parish in Perth and Kinross council area;10
Q78372598;part of Strathmiglo civil parish in Fife council area;10
Q78372603;part of Tillicoultry civil parish in Clackmannanshire council area;10
Q78372335;part of Dalrymple civil parish in East Ayrshire council area;10
Q78372606;part of Tillicoultry civil parish in Perth and Kinross council area;10
Q78372595;part of Strathblane civil parish in Stirling council area;10
Q78372584;part of Spott civil parish in Scottish Borders council area;10
Q78372408;part of Humbie civil parish in East Lothian council area;10
Q78372538;part of Oldhamstocks civil parish in Scottish Borders council area;10
Q78372413;part of Innerwick civil parish in Scottish Borders council area;10
Q78372419;part of Inveresk civil parish in East Lothian council area;10
Q78372431;part of Kilmaronock civil parish in West Dunbartonshire council area;10
