entity;label;popularity
Q17154;Gothic Quarter;53
Q1975755;Derybasivska Street;33
Q38778;Carnaby Street;30
Q5740988;Calle del Carmen;29
Q1347634;Strøget;27
Q629641;Baščaršija;25
Q27212874;avenida de Brasil;24
Q16964515;Gerrard Street;24
Q14537620;Theatinerstraße;23
Q153656;Kaufingerstraße;22
Q60752995;Sicilian Avenue;20
Q17325454;Neuhauser Straße;20
Q1658559;Limmatquai;18
Q906011;Breite Straße (Lübeck);18
Q7379785;Rundle Mall;18
Q2436772;Arena boulevard;17
Q2476530;De la Gauchetière Street;15
Q64211971;Swiss Court;15
Q64026176;Peter's Hill;15
Q1425039;Hohe Straße;15
Q1165325;Stephen Avenue;15
Q5087594;Chater Road;15
Q7567974;South Molton Street;14
Q64160504;Q64160504;14
Q5056027;Cecil Court;14
Q64314952;Leicester Street;13
Q5470501;Forrest Place;13
Q84903707;Prospector Square;13
Q801724;Bahnhofstraße;13
Q7370698;Rotuaari;12
Q3784477;Strøget;11
Q64416420;St Martin's Court;11
Q64214670;Newport Court;11
Q821696;Berliner Promenade;11
Q26807240;Q26807240;11
Q17018703;Sutton High Street;11
Q925558;Holm;11
Q10682171;Strædet;11
Q15605794;Bahnhofstraße (Hannover);10
Q56872984;Kaufhof;10
Q17310915;The Corso, Manly;10
Q1297354;Treppenstraße;10
Q16616810;paseo marítimo Carmen de Burgos;10
Q15943450;Kerkstraat;10
Q15877713;Langestraat;10
Q11813202;Q11813202;10
Q8255434;Madero Street;10
Q1625146;Holstenstraße;10
Q64956893;Q64956893;9
Q64416502;Adam and Eve Court;9
Q18985331;Centrumpassage;9
Q9259086;Ferhadija;9
Q84032181;More London Riverside;9
Q10667226;Sibeliusgången;9
Q317183;Freßgass;9
Q56054861;Halprin Open Space Sequence;9
Q15792338;Bahnhofstraße;9
Q6802710;McTavish Street;9
Q527049;16th Street Mall;8
Q1864920;Lister Meile (Hannover);8
Q62055432;Holstentörn (Kiel);8
Q59389842;Velika aleja;8
Q1740996;Kiel line;8
Q15264051;Olympic Way;8
Q7030309;Nicollet Mall;8
Q16332255;Fokionos Negri;7
Q1645316;Mall of Fame;7
Q84762526;Paseo Marítimo de Ribera;7
Q84031394;Duchess Walk;7
Q60750796;Woburn Walk;7
Q1615354;Herzogstraße;7
Q61139702;Q61139702;7
Q3449616;Prince Arthur Street;7
Q64779368;East Drive;7
Q16130145;Q16130145;6
Q133417;Sixth and a Half Avenue;6
Q863615;Q863615;6
Q6065656;Paseo de la Sexta;6
Q63987075;Fen Court;6
Q53196080;Q53196080;5
Q6774904;KKL Street, Beersheba;5
Q10367290;Q10367290;5
Q5647227;Handakos Street;4
Q25906236;Q25906236;4
Q26260792;Q26260792;4
Q66837332;Q66837332;3
Q30055827;Q30055827;2
