entity;label;popularity
Q1146988;quai d'Orsay;62
Q3412690;quai de Valmy;60
Q3412710;quai de la Rapée;45
Q747271;quai de la Tournelle;43
Q2976283;quai Branly;43
Q3090980;quai André-Citroën;43
Q3412685;quai de Jemmapes;42
Q3412630;quai Anatole-France;38
Q659386;quai des Grands-Augustins;38
Q3412643;quai Louis-Blériot;38
Q3412705;quai de la Gironde;38
Q659373;quai de Conti;38
Q3412696;quai de l'Oise;38
Q3412653;quai Panhard-et-Levassor;37
Q3412725;quai des Orfèvres;36
Q3412724;quai des Célestins;36
Q3412709;quai de la Mégisserie;34
Q3412688;quai de Montebello;34
Q3412716;quai de la Seine;34
Q3412645;quai Malaquais;34
Q3412735;quai du Louvre;33
Q3412682;quai de Gesvres;32
Q3412680;quai de Béthune;32
Q3412708;quai de la Marne;32
Q2741353;quai de l'Horloge;32
Q3090472;quai Voltaire;31
Q3412693;quai de l'Hôtel-de-Ville;31
Q3412676;quai d'Orléans;30
Q778365;quai de Bourbon;30
Q3412683;quai de Grenelle;29
Q3412707;quai de la Loire;29
Q2413436;quai d'Austerlitz;28
Q3412634;quai François-Mauriac;28
Q3412655;quai Saint-Michel;28
Q3412667;quai d'Anjou;27
Q3412637;quai Henri-IV;27
Q3412678;quai de Bercy;27
Q3412700;quai de la Corse;26
Q3412656;quai Saint-Exupéry;24
Q3412668;quai aux Fleurs;24
Q3412658;quai Saint-Bernard;24
Q3040432;quai François-Mitterrand;24
Q3412686;quai de Metz;21
Q3412736;quai du Marché-Neuf;21
Q3412697;quai de la Charente;21
Q3412671;quai d'Ivry;20
Q3412695;quai de l'Archevêché;19
Q3412738;quai Émile-Zola;19
Q3412703;quai de la Garonne;18
Q20723648;Q20723648;17
Q4311132;Fontanka River Embankment;17
Q3412670;quai d'Issy-les-Moulineaux;17
Q23017402;Q23017402;17
Q23017403;Q23017403;17
Q23016314;Q23016314;15
Q3412654;quai Saint-Vincent;15
Q7374719;Royal Pier;14
Q3412732;quai du Lot;14
Q23017394;Q23017394;13
Q23017398;Quai de la Prévalaye;13
Q62071166;Q62071166;13
Q23017400;Q23017400;13
Q3412631;quai Jean-Moulin;13
Q3412701;quai de la Gare;13
Q3412665;quai Victor-Augagneur;12
Q3412692;quai de l'Allier;12
Q61761586;Q61761586;12
Q60643156;Q60643156;11
Q36698458;Q36698458;11
Q23931548;Badhuiskade;11
Q3412651;quai Romain-Rolland;11
Q23017399;Q23017399;11
Q56640776;Q56640776;11
Q60628742;quai Antoine Riboud;11
Q61022354;Q61022354;11
Q61480630;Quai Lassagne;11
Q62010746;Q62010746;11
Q27956092;Quai des Bergues;11
Q16510509;quai de Bondy;11
Q61986959;Q61986959;10
Q56640742;Q56640742;10
Q3412662;quai Tilsitt;10
Q63536486;Q63536486;10
Q60561129;Q60561129;10
Q61641418;Q61641418;10
Q61650124;Quai des Célestins;10
Q60647866;quai Arlès Dufour;10
Q60852365;Q60852365;10
Q61944201;Q61944201;10
Q61650509;Q61650509;10
Q61568285;Quai Hippolyte-Jayr;10
Q28027959;Quai Turretini;9
Q28026641;Promenade des Lavandières;9
Q28026691;Promenade du Lac;9
Q28016716;Quai du Général-Guisan;9
Q33066452;Q33066452;9
Q4311103;Quay of Nazukin;9
Q38823552;Quai Claude-Bernard;9
Q55599253;Q55599253;9
Q55651907;Pescia Lungofiume;9
Q27955780;Quai du Mont-Blanc;9
Q61944034;Quai du Canada;9
Q65088754;Q65088754;9
Q65088997;Q65088997;9
Q80458630;Q80458630;9
Q27955877;Quai Gustave-Ador;9
Q28026506;Quai Wilson;9
Q3412713;quai des Antilles;9
Q23017404;Q23017404;9
Q3412635;quai Jules-Courmont;9
Q15943693;Q15943693;9
Q61944022;Q61944022;8
Q21819371;Троицкая набережная;8
Q62010757;Q62010757;8
Q20669837;quai Ernest-Renaud;8
Q27832318;Quai Madame de Warens;8
Q61775575;Q61775575;8
Q3412664;quai Turenne;8
Q23017401;Q23017401;7
Q56640820;Q56640820;7
Q20681863;quai Henri-Barbusse;7
Q23017408;Q23017408;7
Q64022317;Q64022317;7
Q64825612;Q64825612;7
Q23017407;Q23017407;7
Q84705682;Q84705682;7
Q26303488;Moyka embankment;7
Q22968192;Q22968192;6
Q20683179;quai de Versailles;6
Q84705274;Q84705274;6
Q5311021;Dublin quays;6
Q64843220;Q64843220;6
Q64825603;Q64825603;6
Q56794555;Q56794555;6
Q56640812;Q56640812;6
Q18745233;quai Hoche;6
Q28494634;Q28494634;5
Q23017396;Q23017396;5
Q23017397;Q23017397;5
Q59601208;Quai des Vennes, Liège;5
Q27267639;Q27267639;5
Q24575888;quai Amiral Jaureguiberry;5
Q4311184;набережные Санкт-Петербурга;5
Q18642436;quai André-Rhuys;5
Q23017406;Q23017406;5
Q16185262;Quai Saint-Pierre (Toulouse);5
Q24575896;quai Galuperie;5
Q28494682;Q28494682;5
Q28494681;Q28494681;5
Q20681064;quai du Cordon-Bleu;4
Q27910346;quai de Bercy;4
Q20681296;quai Dumont-d'Urville;4
Q20681781;quai du Halleray;4
Q24575891;quai Commandant Roquebert;4
Q20682063;quai de la Jonelière;4
Q20682325;quai du Marquis-d'Aiguillon;4
Q20682900;quai de Roche-Maurice;4
Q28494630;Q28494630;4
Q24575890;quai Augustin Chaho;4
Q24575889;quai Amiral Lespes;4
Q28494671;Q28494671;4
Q28494673;Q28494673;4
Q28496955;Q28496955;4
Q28496958;Q28496958;4
Q24575885;quai Amiral Antoine Sala;4
Q22683959;quai de l'École;4
Q53865170;Q53865170;4
Q53865164;Q53865164;4
Q59263348;Quai du Roi Albert (Liège);4
Q24575892;quai de Lesseps;4
Q24575887;quai Amiral Dubourdieu;3
Q24575893;quai de Montevideo;3
Q59205219;Quai Bonaparte (Liège);3
Q24575886;quai Amiral Bergeret;3
Q24575898;quai Pedros;3
Q27910347;quai des Carrières;3
Q24575895;quai Edmond Foy;3
Q59388363;Quai Timmermans (Liège);3
Q14378497;quai de Tounis;3
Q24575894;quai des Corsaires;3
Q59388366;Quai Banning (Liège);3
Q59651605;Quai Vercour (Liège);3
