entity;label;popularity
Q156150;Powys;5335
Q109128;Gwynedd;4189
Q213361;Pembrokeshire;2749
Q217840;Carmarthenshire;1821
Q817971;Conwy County Borough;1593
Q650682;Denbighshire;1551
Q217829;Ceredigion;1536
Q207176;Monmouthshire;1333
Q42617191;Isle of Anglesey;1316
Q24342199;City and County of Cardiff;971
Q843868;Wrexham County Borough;810
Q10996863;City and County of Swansea;755
Q844784;Vale of Glamorgan;692
Q505610;Flintshire;579
Q817960;Rhondda Cynon Taf;575
Q748078;Neath Port Talbot County Borough;550
Q11294004;Newport;540
Q748065;Caerphilly County Borough;459
Q643919;Torfaen;370
Q697126;Bridgend County Borough;357
Q3306663;Merthyr Tydfil County Borough;320
Q596885;Blaenau Gwent County Borough;170
