entity;label;popularity
Q17378257;Mato Grosso Province;17
Q616523;Cisplatina Province;14
Q17378391;Santa Catarina Province;13
Q17378260;Minas Gerais Province;13
Q10354757;São Paulo Province;12
Q10375978;São Pedro do Rio Grande do Sul Province;12
Q17351607;Pernambuco Province;11
Q17378381;Bahia Province;11
Q17378262;Rio de Janeiro Province;11
Q15392899;Goiás Province;11
Q17362492;Alagoas Province;10
Q17351564;Sergipe Province;10
Q15392767;Espírito Santo Province;10
Q15392495;Piauí Province;10
Q10354759;Grão-Pará Province;10
Q4740881;Amazonas Province;9
Q16622604;Ceará Province;9
Q7135581;Paraná Province;9
Q17378261;Paraíba Province;8
Q17378298;Maranhão Province;8
Q27494556;São João das Duas Barras;8
Q17351634;Rio Grande do Norte Province;7
Q7141441;Pará Province;2
