entity;label;popularity
Q466000;Koh Kong Province;154
Q810923;Battambang Province;142
Q785896;Kratié Province;130
Q652818;Siem Reap Province;130
Q834464;Pursat Province;127
Q142258;Kampong Cham Province;113
Q837889;Stung Treng Province;111
Q877468;Kampong Chhnang Province;108
Q856788;Prey Veng Province;103
Q220966;Sihanoukville Province;103
Q502148;Kampong Thom Province;102
Q748470;Kampot Province;95
Q502151;Preah Vihear Province;93
Q466031;Kandal Province;89
Q652830;Mondulkiri Province;87
Q747846;Ratanakiri Province;77
Q652867;Kampong Speu Province;73
Q3817;Banteay Meanchey Province;69
Q613345;Takéo Province;68
Q751864;Svay Rieng Province;62
Q629538;Oddar Meanchey Province;58
Q852089;Kep Province;35
Q506646;Pailin Province;33
Q15623578;Tbong Khmum Province;32
