entity;label;popularity
Q207795;Dornod Province;276
Q276195;Töv Province;192
Q213272;Dornogovi Province;189
Q192945;Govi-Altai Province;169
Q244788;Khövsgöl Province;167
Q234680;Selenge Province;163
Q191792;Bayan-Ölgii Province;162
Q244804;Sükhbaatar Province;160
Q239040;Khentii Province;154
Q192942;Uvs Province;150
Q234713;Övörkhangai Province;148
Q235579;Ömnögovi Province;147
Q167764;Zavkhan Province;140
Q194098;Khovd Province;139
Q276200;Bayankhongor Province;134
Q209774;Bulgan Province;129
Q207809;Arkhangai Province;112
Q211835;Dundgovi Province;106
Q18827;Darkhan-Uul Province;51
Q236333;Govisümber Province;49
Q234710;Orkhon Province;42
