entity;label;popularity
Q274126;Havana Province;1435
Q71140;León Province;1418
Q4018;Navarre;1408
Q55271;Burgos Province;1218
Q54925;Guadalajara Province;1005
Q82142;Granada Province;895
Q55182;Huesca Province;894
Q71113;Zamora Province;802
Q71080;Salamanca Province;776
Q5772;Region of Murcia;694
Q81803;Badajoz Province;685
Q55269;Palencia Province;664
Q55180;Zaragoza Province;662
Q55276;Soria;654
Q81977;Cáceres Province;640
Q55288;Province of Ávila;637
Q81978;Cádiz Province;626
Q81972;Córdoba Province;624
Q54955;Teruel Province;617
Q93366;Biscay;601
Q5727;La Rioja;592
Q95025;Jaén Province;586
Q54929;Toledo Province;570
Q55283;Segovia Province;566
Q95028;Málaga Province;564
Q54888;Cuenca Province;541
Q95088;Seville Province;536
Q95010;Gipuzkoa;533
Q71097;Valladolid Province;517
Q81802;Almería Province;495
Q54939;Valencia Province;491
Q95015;Huelva Province;434
Q81801;Araba / Álava;431
Q95038;Ourense Province;424
Q54932;Ciudad Real Province;406
Q54889;Albacete Province;403
Q82119;A Coruña Province;400
Q95027;Lugo Province;363
Q54942;Castellón Province;269
Q98392;Tarragona Province;258
Q81949;Barcelona Province;249
Q54936;Alicante Province;239
Q95086;Pontevedra Province;231
Q13904;Lleida Province;227
Q99976;Santa Cruz de Tenerife Province;199
Q24004403;Province of Asturias;187
Q7194;province of Girona;179
Q95080;Las Palmas Province;146
Q24004405;Madrid Province;60
Q921283;Santa Fe de Nuevo México;25
Q9063368;Province of Logroño;23
Q95007;Province of Cantabria;23
Q95006;Oviedo Province;22
Q2118332;Province of Calatayud;21
Q24271891;Murcia Province;19
Q2151125;Province of Villafranca;14
Q2884279;Province of Játiva;12
Q6088771;Province of Cartagena;9
Q31920747;Provincia de Cantabria;9
Q6088768;Q6088768;7
