entity;label;popularity
Q42399912;Klettergarten Baierbrunn;14
Q45167253;Schutzfelsen Pentling;14
Q57574137;Q57574137;13
Q54824962;Düsselbacher Wand;13
Q58008430;Q58008430;12
Q30134215;Rauhe Burg östlich Ebermergen;12
Q22830;Altschlossfelsen;10
Q1788528;Winzerer Höhen;10
Q57980226;Q57980226;10
Q21861373;Bärenwand;10
Q57441526;Q57441526;10
Q57278576;Q57278576;10
Q57134537;Q57134537;10
Q58010682;Q58010682;9
Q57980545;Q57980545;9
Q41762276;Nagelfluhfelsen;9
Q21871147;Graswand;9
Q21859043;Romariswand;9
Q21876322;Prägratwand;8
Q21862389;Pötschenwand;8
Q57980025;Q57980025;8
Q21861959;Steinerne Wand;7
Q21861280;Gsengwand;7
Q21859305;Graswand;7
Q1781341;Q1781341;6
Q64050389;Q64050389;6
Q1615367;Alpawand;4
Q26883842;Falaise de Cordis;3
Q4915715;Birchen Edge;3
Q64848240;Ledjanoj val Dorozhka;3
