entity;label;popularity
Q32014924;Salinas de Guaranao;14
Q32018939;Shory Dzhide-Kul';7
Q31943431;Salinas La Huesera;7
Q27690430;Kesret el Gani;7
Q27835756;Cuadro Salino;7
Q27835771;Cuadro Salino;7
Q31873429;Ayādim ‘Ubaylāt;7
Q31943426;Salinas El Carreto;7
Q31943428;Salinas El Palmo;7
Q31943429;Salinas El Socado;7
Q31943430;Salinas El Zamorancito;7
Q31943427;Salinas El Mapachín;7
Q31943432;Salinas La Zompopera;7
Q31971846;Norokeisoutwerke;7
Q32014910;Salina de Tiguadare;7
Q31943434;Salinas Las Mesitas;7
Q32018926;Shor Samankul';7
Q31943437;Salinas Muruhuaca;7
Q31943435;Salinas Los Quemados;7
Q31939195;La Salina;6
Q31875744;Al Qei‘a;6
Q31862649;Q31862649;6
Q26984847;Q26984847;6
Q27847951;Salinas Planillas de Navarro;6
Q32014914;Salina Obispo;6
Q27814940;Salina la Trinidad;6
Q27781396;Salinas del Rey Sur;6
Q27779791;Bajios de Ugarte;6
Q32014927;Salinas de Jacuque;6
Q26985319;Q26985319;6
Q29614995;Duxun Yanchang;6
Q26981272;Q26981272;6
Q26980213;Q26980213;6
Q26962064;Q26962064;6
Q26939913;Q26939913;6
Q26939918;Q26939918;6
Q26939934;Q26939934;6
Q26939953;Q26939953;6
Q26939962;Q26939962;6
Q26940359;Q26940359;6
Q26955224;Q26955224;6
Q26955293;Q26955293;6
Q26960277;Q26960277;6
Q26960497;Q26960497;6
Q26960582;Q26960582;6
Q26961412;Q26961412;6
Q26962221;Q26962221;6
Q26978211;Q26978211;6
Q26962373;Q26962373;6
Q26962374;Q26962374;6
Q26962375;Q26962375;6
Q26962659;Q26962659;6
Q20925817;Q20925817;6
Q26967032;Q26967032;6
Q26967238;Q26967238;6
Q26967239;Q26967239;6
Q26976018;Q26976018;6
Q26976113;Q26976113;6
Q26976118;Q26976118;6
Q26977033;Q26977033;6
Q32014930;Salinas de Los Hatos;6
Q3560840;Унгузская впадина;6
Q26939866;Q26939866;6
Q49097540;Q49097540;6
Q49097544;Q49097544;6
Q49097546;Q49097546;6
Q49097548;Q49097548;6
Q49097550;Q49097550;6
Q49097552;Q49097552;6
Q49097553;Q49097553;6
Q49097554;Q49097554;6
Q49097555;Q49097555;6
Q49097558;Q49097558;6
Q49097559;Q49097559;6
Q49097561;Q49097561;6
Q49097566;Q49097566;6
Q49097569;Q49097569;6
Q49097572;Q49097572;6
Q49097577;Q49097577;6
Q49097580;Q49097580;6
Q49097581;Q49097581;6
Q49097591;Q49097591;6
Q49097595;Q49097595;6
Q49097602;Q49097602;6
Q49097604;Q49097604;6
Q49097609;Q49097609;6
Q49097614;Q49097614;6
Q49097616;Q49097616;6
Q49097618;Q49097618;6
Q49097619;Q49097619;6
Q49097629;Q49097629;6
Q49097542;Q49097542;6
Q49097538;Q49097538;6
Q49097436;Q49097436;6
Q49097525;Q49097525;6
Q49097437;Q49097437;6
Q49097442;Q49097442;6
Q49097451;Q49097451;6
Q49097454;Q49097454;6
Q49097456;Q49097456;6
Q49097461;Q49097461;6
Q49097463;Q49097463;6
Q49097465;Q49097465;6
Q49097467;Q49097467;6
Q49097470;Q49097470;6
Q49097472;Q49097472;6
Q49097473;Q49097473;6
Q49097477;Q49097477;6
Q49097479;Q49097479;6
Q49097483;Q49097483;6
Q49097486;Q49097486;6
Q49097489;Q49097489;6
