entity;label;popularity
Q24554;Arinsal;25
Q24486;La Cortinada;24
Q1120573;Sant Julià de Lòria;20
Q24562;Sispony;18
Q24558;Pal;17
Q24475;Ansalonga;15
Q24551;Anyós;15
Q24495;Sornàs;15
Q3820973;La Massana;15
Q24611;Nagol;14
Q24656;Aixovall;14
Q24415;Prats;14
Q24499;Segudet;14
Q24622;Llumeneres;14
Q24556;Erts;14
Q24392;Ransol;13
Q24641;Bixessarri;13
Q24390;Meritxell;13
Q24459;Vila;13
Q24625;Juberri;12
Q24650;Aubinyà;12
Q24668;Aixirivall;12
Q386802;Canillo;12
Q24388;Incles;12
Q24371;L'Aldosa de Canillo;12
Q24478;Arans;11
Q24629;Fontaneda;11
Q24630;Certers;11
Q24566;Escàs;10
Q24411;El Vilar;10
Q24540;L'Aldosa de la Massana;10
Q24379;El Forn;9
Q24417;Els Plans;7
